HorizonNr,Upper_m,Lower_m,ths_volFrac,thr_volFrac,alpha_perMeter,npar_,ksat_mmDay,tort_,gravel_volFrac
-,m,m,volume fraction (-),volume fraction (-),perMeter,-,mm per day,-,volume fraction (-)
1,0.0000,-0.0700,0.4138,0,4.7679,1.2293,1095.1600,-3.9190,0.3800
2,-0.0700,-0.2500,0.4138,0,4.7679,1.2293,1095.1600,-3.9190,0.6200
3,-0.2500,-2.0000,0.3839,0,2.0,1.3041,832.9700,-3.7380,0.6200
