dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay,densef_percent,height_percent,lai_percent,sai_percent
YYYY-MM-DD,MJ/Day/m2,degree C,degree C,kPa,m per s,mm per day,percent,percent,percent,percent
2000-01-01,3.1104,0,-6.7,0.42181,1.5,0,100,100,47.32081,100
2000-01-02,3.888,1,-6.7,0.45537,2.1,0,100,100,47.32081,100
2000-01-03,4.752,3.3,-6.8,0.51239,2.1,0,100,100,47.32081,100
2000-01-04,4.752,2,-7.2,0.45599,1.5,0,100,100,47.32081,100
2000-01-05,3.9744,3.5,-3.3,0.54127,2.1,0,100,100,47.32081,100
2000-01-06,4.1472,2.3,-5.9,0.50137,1.4,0,100,100,47.32081,100
2000-01-07,4.9248,3.5,-6,0.5083,1.8,0,100,100,47.32081,100
2000-01-08,4.2336,1.3,-7.8,0.43123,1.4,0,100,100,47.32081,100
2000-01-09,3.9744,3.7,-3.6,0.51749,0.8,0,100,100,47.32081,100
2000-01-10,4.752,4.7,-0.4,0.59079,1.4,0,100,100,47.32081,100
2000-01-11,5.3568,3.8,-4.4,0.47135,2.2,0,100,100,47.32081,100
2000-01-12,5.4432,2.5,-6.7,0.43548,1.9,0,100,100,47.32081,100
2000-01-13,5.616,2.1,-7.9,0.41761,1.8,0,100,100,47.32081,100
2000-01-14,5.7024,1.7,-8.8,0.37642,1.5,0,100,100,47.32081,100
2000-01-15,5.616,2.7,-8,0.45751,1.1,0,100,100,47.32081,100
2000-01-16,1.728,-1.2,-3.2,0.43694,1.6,0,100,100,47.32081,100
2000-01-17,5.4432,0.2,-6.2,0.39061,0.8,0,100,100,47.32081,100
2000-01-18,3.6288,5.2,-8,0.52192,1.1,0,100,100,47.32081,100
2000-01-19,6.1344,4.6,-4.8,0.48913,0.8,0,100,100,47.32081,100
2000-01-20,6.3072,1.8,-6.2,0.41734,1.4,0,100,100,47.32081,100
2000-01-21,5.8752,2.1,-7.9,0.4003,1,0,100,100,47.32081,100
2000-01-22,2.5056,-0.3,-7.9,0.40635,1.2,1,100,100,47.32081,100
2000-01-23,4.8384,2.9,-1,0.57115,2.5,2.5,100,100,47.32081,100
2000-01-24,6.6528,2.7,-4.2,0.47071,1.3,0,100,100,47.32081,100
2000-01-25,7.2576,0,-8.7,0.33358,0.6,0,100,100,47.32081,100
2000-01-26,7.5168,-0.3,-10.3,0.32117,1.4,0,100,100,47.32081,100
