date,Tr,scen
2011-06-20,2.116842580758154,Control
2011-06-21,1.4885974900872294,Control
2011-06-22,0.9816354090184709,Control
2011-06-23,2.4268909993814685,Control
2011-06-24,2.4111734445399575,Control
2011-06-25,2.4275573883823363,Control
2011-06-26,2.3817460640361228,Control
2011-06-27,2.225218915226573,Control
2011-06-28,1.6235026376761639,Control
2011-06-29,1.9337937931266833,Control
2011-06-30,2.127102618871249,Control
2011-07-01,2.0555447953222616,Control
2011-07-02,2.2728807453310798,Control
2011-07-03,2.0547438475055264,Control
2011-07-04,2.181039187234946,Control
2011-07-05,1.8725069848735838,Control
2011-07-06,1.5474400199016136,Control
2011-07-07,1.4497352590105905,Control
2011-07-08,1.8764751581989962,Control
2011-07-09,1.6417025533909675,Control
2011-07-10,2.272210396808454,Control
2011-07-11,2.1949361335092052,Control
2011-07-12,0.18711040666686662,Control
2011-07-13,1.7003531530705818,Control
2011-07-14,2.4617892264018773,Control
2011-07-15,2.3085047855601353,Control
2011-07-16,0.2780276491496506,Control
2011-07-17,2.168287274401105,Control
2011-07-18,0.7051936050775165,Control
2011-07-19,1.5686142591342505,Control
2011-07-20,1.8071531986184803,Control
2011-07-21,2.3460492589410133,Control
2011-07-22,1.5710247724502655,Control
2011-07-23,1.876383752708628,Control
2011-07-24,2.1024063382444966,Control
2011-07-25,1.8649160432341871,Control
2011-07-26,1.5399584370111452,Control
2011-07-27,1.455992147910681,Control
2011-07-28,2.0950119699168073,Control
2011-07-29,1.9432007100184014,Control
2011-07-30,1.9716093627434952,Control
2011-07-31,1.9305750273909454,Control
2011-08-01,1.877539828682858,Control
2011-08-02,1.1000317076101809,Control
2011-08-03,1.8746473569506228,Control
2011-08-04,1.5841935870471995,Control
2011-08-05,1.4441089746174347,Control
2011-08-06,0.6891638201129138,Control
2011-08-07,1.1854952804731393,Control
2011-08-08,0.9776438439700907,Control
2011-08-09,1.7193996153573177,Control
2011-08-10,1.1849835067055052,Control
2011-08-11,1.1777331821156547,Control
2011-08-12,1.793233206403108,Control
2011-08-13,1.2477569807741862,Control
2011-08-14,1.258473249579211,Control
2011-08-15,1.82706188770139,Control
2011-08-16,1.7985100913412218,Control
2011-08-17,1.676145769092608,Control
2011-08-18,1.5665260547377837,Control
2011-08-19,1.8759380937371612,Control
2011-08-20,1.8067488177073319,Control
2011-08-21,1.7240315158929849,Control
2011-08-22,1.6343369438768083,Control
2011-08-23,1.5990192700222614,Control
2011-08-24,1.3864068871244306,Control
2011-08-25,1.3928564694236745,Control
2011-08-26,1.0856619223526984,Control
2011-08-27,1.506145271307156,Control
2011-08-28,1.6191455104806725,Control
2011-08-29,1.6296636798209414,Control
2011-08-30,1.7331958389398439,Control
2011-08-31,1.402792421024269,Control
2011-09-01,1.373572856237052,Control
2011-09-02,1.2610035763645753,Control
2011-09-03,0.032266131654334645,Control
2011-09-04,1.0912197946395006,Control
2011-09-05,1.7244282015687369,Control
2011-09-06,1.4472769786867563,Control
2011-09-07,1.6829196811635703,Control
2011-09-08,1.9105431121677132,Control
2011-09-09,1.8978526004043934,Control
2011-09-10,1.5991092805308154,Control
2011-09-11,1.507511331344173,Control
2011-09-12,1.6922382116816308,Control
2011-09-13,1.5361912475875585,Control
2011-09-14,1.6107865452903638,Control
2011-09-15,1.5918526052901256,Control
2011-09-16,0.1760592605416784,Control
2011-09-17,0.08034724148781716,Control
2011-09-18,0.3344032541636693,Control
2011-09-19,1.414104846542679,Control
2011-09-20,1.4597393198292403,Control
2011-09-21,1.4900987989358165,Control
2011-09-22,1.4524815943153206,Control
2011-09-23,1.4858394718438455,Control
2011-09-24,1.4894881597248344,Control
2011-09-25,1.4954568944597249,Control
2011-09-26,1.4588356256940722,Control
2011-09-27,1.4927578276533215,Control
2011-09-28,1.4668841744599737,Control
2011-09-29,1.451761963394987,Control
2011-09-30,1.399424799273885,Control
2011-10-01,1.3246307508186386,Control
2011-10-02,1.2589235280214073,Control
2011-10-03,0.3033042466343715,Control
2011-10-04,0.14207295350022128,Control
2011-10-05,0.9441485974741797,Control
2011-10-06,0.22631156049786383,Control
2011-10-07,0.013616798878821635,Control
2011-10-08,0.8454541501229034,Control
2011-10-09,0.0612515829187681,Control
2011-10-10,0.03381174229425427,Control
2011-10-11,0.009737849329625181,Control
2011-10-12,0.004150431394681691,Control
2011-10-13,0.004011959505626409,Control
2011-10-14,0.003957810682072195,Control
2011-10-15,0.0039030435446993604,Control
2011-10-16,0.0038476492857423624,Control
2011-10-17,0.0037916190627252573,Control
2011-10-18,0.00373494396375128,Control
2011-10-19,0.0036776148599836373,Control
2011-10-20,0.003619622943656785,Control
2011-10-21,0.0035609590512235205,Control
2011-10-22,0.0035016142621094788,Control
2011-10-23,0.0034415794995434775,Control
2011-10-24,0.055591206449129404,Control
2011-10-25,0.3245460589598956,Control
2011-10-26,0.5752402358994915,Control
2011-10-27,0.2876018399965954,Control
2011-10-28,0.4479358370636658,Control
2011-10-29,0.3236082432182417,Control
2011-10-30,0.2515928983553969,Control
2011-10-31,0.45996458988423466,Control
2011-11-01,0.3417350530875463,Control
2011-11-02,0.7333460557366189,Control
2011-11-03,0.6893142946955485,Control
2011-11-04,0.469926513536071,Control
2011-11-05,0.42874745472424963,Control
2011-11-06,0.2708437177791053,Control
2011-11-07,0.6226038946627885,Control
