DateTime,Symbol,Amount
2003-09-22T00:00:00.0000000+02:00,H2,-100.09
2003-10-20T00:00:00.0000000+02:00,O18,-13.53
2003-10-20T00:00:00.0000000+02:00,H2,-99.04
2003-11-17T00:00:00.0000000+01:00,O18,-13.85
2003-11-17T00:00:00.0000000+01:00,H2,-100.46
2003-12-15T00:00:00.0000000+01:00,O18,-13.72
2003-12-15T00:00:00.0000000+01:00,H2,-102.41
2004-01-12T00:00:00.0000000+01:00,O18,-13.61
2004-01-12T00:00:00.0000000+01:00,H2,-100.09
2004-02-09T00:00:00.0000000+01:00,O18,-13.72
2004-02-09T00:00:00.0000000+01:00,H2,-101.06
2004-04-05T00:00:00.0000000+02:00,O18,-13.42
2004-04-05T00:00:00.0000000+02:00,H2,-98.69
2004-05-03T00:00:00.0000000+02:00,O18,-13.69
2004-05-03T00:00:00.0000000+02:00,H2,-100.57
2004-05-31T00:00:00.0000000+02:00,H2,-106.81
2004-05-31T00:00:00.0000000+02:00,O18,-14.59
2004-06-28T00:00:00.0000000+02:00,O18,-14.89
2004-06-28T00:00:00.0000000+02:00,H2,-110.54
2004-07-26T00:00:00.0000000+02:00,O18,-14.53
2004-07-26T00:00:00.0000000+02:00,H2,-106.59
2004-08-23T00:00:00.0000000+02:00,O18,-13.8
2004-08-23T00:00:00.0000000+02:00,H2,-99.32
2004-09-20T00:00:00.0000000+02:00,O18,-14.01
2004-09-20T00:00:00.0000000+02:00,H2,-102.06
2004-10-18T00:00:00.0000000+02:00,O18,-13.65
2004-10-18T00:00:00.0000000+02:00,H2,-99.77
2004-11-15T00:00:00.0000000+01:00,O18,-13.66
2004-11-15T00:00:00.0000000+01:00,H2,-99.19
2004-12-13T00:00:00.0000000+01:00,O18,-14.01
2004-12-13T00:00:00.0000000+01:00,H2,-102.52
2005-01-10T00:00:00.0000000+01:00,O18,-13.93
2005-01-10T00:00:00.0000000+01:00,H2,-101.87
2005-02-07T00:00:00.0000000+01:00,O18,-14.05
2005-02-07T00:00:00.0000000+01:00,H2,-101.93
2005-03-07T00:00:00.0000000+01:00,O18,-13.94
2005-03-07T00:00:00.0000000+01:00,H2,-100.06
2005-04-04T00:00:00.0000000+02:00,O18,-13.68
2005-04-04T00:00:00.0000000+02:00,H2,-97.91
2005-05-02T00:00:00.0000000+02:00,O18,-13.81
2005-05-02T00:00:00.0000000+02:00,H2,-99.69
2005-05-30T00:00:00.0000000+02:00,O18,-14.14
2005-05-30T00:00:00.0000000+02:00,H2,-104.5
2005-06-27T00:00:00.0000000+02:00,O18,-14.14
2005-06-27T00:00:00.0000000+02:00,H2,-102.93
2005-07-25T00:00:00.0000000+02:00,O18,-13.79
2005-07-25T00:00:00.0000000+02:00,H2,-100.24
2005-08-22T00:00:00.0000000+02:00,O18,-13.62
2005-08-22T00:00:00.0000000+02:00,H2,-98.88
2005-09-19T00:00:00.0000000+02:00,O18,-13.81
2005-09-19T00:00:00.0000000+02:00,H2,-101.3
2005-10-17T00:00:00.0000000+02:00,O18,-13.71
2005-10-17T00:00:00.0000000+02:00,H2,-99.41
2005-11-14T00:00:00.0000000+01:00,O18,-13.85
2005-11-14T00:00:00.0000000+01:00,H2,-101.53
2005-12-12T00:00:00.0000000+01:00,O18,-13.78
2005-12-12T00:00:00.0000000+01:00,H2,-100.26
2006-01-09T00:00:00.0000000+01:00,O18,-13.77
2006-01-09T00:00:00.0000000+01:00,H2,-100.46
2006-02-06T00:00:00.0000000+01:00,O18,-13.81
2006-02-06T00:00:00.0000000+01:00,H2,-100.86
2006-03-06T00:00:00.0000000+01:00,O18,-13.53
2006-03-06T00:00:00.0000000+01:00,H2,-98.25
2006-04-03T00:00:00.0000000+02:00,O18,-13.16
2006-04-03T00:00:00.0000000+02:00,H2,-95.44
2006-05-01T00:00:00.0000000+02:00,O18,-13.41
2006-05-01T00:00:00.0000000+02:00,H2,-98.72
2006-05-29T00:00:00.0000000+02:00,O18,-14.14
2006-05-29T00:00:00.0000000+02:00,H2,-103.68
