date,scenario,TWD_pd,TWD_md,TWD_pdn,MDS_norm,year,month
2011-01-01,control,94.59470045,118.5061205,0.6119582035033281,0.1682344733321407,2011,1
2011-01-01,irrigation stop,240.71960176666667,291.07088573333334,1.7890112916071048,0.4320536789380035,2011,1
2011-01-02,control,118.5061205,130.71315175,0.7850446779281454,0.08351046327949153,2011,1
2011-01-02,irrigation stop,296.88453696666664,328.3012431,2.277268985766604,0.2726103648988551,2011,1
2011-01-03,control,125.83033925,130.71315175,0.8380621565514461,0.03049298465619069,2011,1
2011-01-03,irrigation stop,312.3341851,320.4722059333333,2.4056746056188825,0.07076219611138901,2011,1
2011-01-04,control,130.71315175,140.47877675,0.8734071423003134,0.06583797040505791,2011,1
2011-01-04,irrigation stop,331.8654351,357.837842,2.5796498850939797,0.20834990655053826,2011,1
2011-01-05,control,135.59596425,144.43711005,0.9087521280491806,0.05914598619531733,2011,1
2011-01-05,irrigation stop,346.9316533333333,365.85363973333335,2.702058893707945,0.15592363759445413,2011,1
2011-01-06,control,136.26653715,171.77969375,0.9136061726380476,0.18428740406154656,2011,1
2011-01-06,irrigation stop,335.3213667333333,322.0998101,2.5840520050049594,-0.11432591888988144,2011,1
2011-01-07,control,62.35377674,46.04727189,0.37857734174378577,-0.1228891326714714,2011,1
2011-01-07,irrigation stop,107.2560601,76.98483915666667,0.9083226311000837,-0.31606511232485196,2011,1
2011-01-08,control,40.381120488,45.26393299,0.21952490585940596,0.030492984670667994,2011,1
2011-01-08,irrigation stop,60.05553926666667,85.79475006666667,0.41065326838277777,0.16336800692415496,2011,1
2011-01-09,control,60.075130905,94.022427865,0.34720354503468753,0.22179616701643556,2011,1
2011-01-09,irrigation stop,94.23522676666667,121.36123853333333,0.6290975505928694,0.19378254965561195,2011,1
2011-01-10,control,95.27846827,98.97487049,0.576963078758491,0.023033646267710185,2011,1
2011-01-10,irrigation stop,113.76647676666667,110.51126843333334,0.7756159943776694,-0.026606541681854105,2011,1
2011-01-11,control,96.53346424,94.09205799,0.5823242321517675,-0.017672492874433614,2011,1
2011-01-11,irrigation stop,97.4904351,86.21905865333333,0.6601163226797941,-0.08486981939356465,2011,1
2011-01-12,control,86.76783924,84.32643299,0.5164862617467096,-0.017672492874433614,2011,1
2011-01-12,irrigation stop,74.70397676666667,71.44876843333334,0.48963867545618245,-0.026606541681854105,2011,1
2011-01-13,control,81.88502674,81.88502674,0.48599327709051887,0,2011,1
2011-01-13,irrigation stop,68.1935601,66.56595593333333,0.43554314601146005,-0.009939875015187467,2011,1
2011-01-14,control,72.11940174,72.11940174,0.42500730777813756,0,2011,1
2011-01-14,irrigation stop,60.05553926666666,59.169931115333334,0.3782345332030295,-0.0020372010114116106,2011,1
2011-01-15,control,59.97764873,55.02955799,0.35154364057151677,-0.0308357785437084,2011,1
2011-01-15,irrigation stop,51.00362304666667,50.28991426666666,0.32069356161310875,-0.0047456167442462395,2011,1
2011-01-16,control,52.58815174,52.58815174,0.30303536915337476,0,2011,1
2011-01-16,irrigation stop,50.04324698933333,56.652366916666665,0.31715743036562216,0.04517540491402691,2011,1
2011-01-17,control,52.58815174,55.587817515,0.30303536915337476,0.0180810257190444,2011,1
2011-01-17,irrigation stop,52.0306674,64.93835176666667,0.3265788273229579,0.08731967649609905,2011,1
2011-01-18,control,52.58815174,49.784743215,0.30303536915337476,-0.024859491026196355,2011,1
2011-01-18,irrigation stop,61.8659225,61.31758527833334,0.3942525502900276,-0.005742004170573733,2011,1
2011-01-19,control,50.14674549,57.47096424,0.2805108751862646,0.043313476437947765,2011,1
2011-01-19,irrigation stop,60.560357671333335,64.22464298766667,0.3807565354237738,0.024951144417309,2011,1
2011-01-20,control,67.23658924,65.53454719999999,0.38481032093659373,-0.014520065719266935,2011,1
2011-01-20,irrigation stop,65.85224715433334,54.946428854333334,0.4223743465077495,-0.07685905405984307,2011,1
2011-01-21,control,39.052419498,41.50390625,0.20769553255646842,0.015104828826078422,2011,1
2011-01-21,irrigation stop,42.151893433333335,54.179343976000006,0.2659157927962915,0.09584027864316123,2011,1
2011-01-22,control,36.62109375,41.50390625,0.19230737672635614,0.03049298465619069,2011,1
2011-01-22,irrigation stop,57.25292673333333,94.23522676666667,0.39000776337684095,0.2738230836421852,2011,1
2011-01-23,control,37.051930145,56.15234375,0.19456981644173713,0.13426550218741137,2011,1
2011-01-23,irrigation stop,110.51126843333333,168.3695502333333,0.7690739427413656,0.4398502668066398,2011,1
2011-01-24,control,57.307768635,90.33203125,0.33975477172518587,0.2364954471460332,2011,1
2011-01-24,irrigation stop,173.254324,222.81595593333333,1.2619758336436837,0.46003936695500935,2011,1
2011-01-25,control,95.703125,107.421875,0.6190113040691143,0.08094636492314011,2011,1
2011-01-25,irrigation stop,230.95397676666667,248.85762259999998,1.8062309800130407,0.17076219611138901,2011,1
2011-01-26,control,101.445993215,124.3876901,0.6588726775457554,0.12022663136394494,2011,1
2011-01-26,irrigation stop,230.24897176666667,225.63031853333334,1.8095347104676596,-0.04848995444416349,2011,1
2011-01-27,control,115.3190104,119.62890625,0.7220196819507506,0.02748444267225957,2011,1
2011-01-27,irrigation stop,198.40189343333333,217.67203046666666,1.5612283842299515,0.12617555164799932,2011,1
2011-01-28,control,119.62890625,146.1943506,0.7495041246230101,0.15556331417129232,2011,1
2011-01-28,irrigation stop,219.56074759999998,239.87758786666666,1.7056652348923749,0.16620178852596046,2011,1
2011-01-29,control,136.73833345,146.484375,0.84905440733139,0.056031130168977546,2011,1
