date,predawn_mean,midday_mean,predawn_sd,midday_sd,meta
2022-10-19,-0.758,-1.448,0.04147288270665548,0.15221695043588282,control
2022-10-19,-0.712,-1.476,0.04764451699828639,0.07668115805072333,stop
2022-10-20,-0.8620000000000001,-1.312,0.12934020600296295,0.07330302403948513,stop
2023-09-01,-0.62,-1.06,0.12041594578792293,0.12942179105544785,control
2023-09-01,-0.58,-0.98,0.08366600265340754,0.24135036772294335,irrigation
2023-09-01,-0.66,-0.96,0.15572411502397437,0.10246950765959599,stop
2023-09-22,-0.53,-0.77,0.07582875444051551,0.1717556403731767,control
2023-09-22,-0.38,-0.86,0.10368220676663861,0.10839741694339397,irrigation
2023-09-22,-0.39,-0.78,0.1140175425099138,0.2361143790623519,stop
2023-10-11,-1.1300000000000001,-1.65,0.130384048104053,0.158113883008419,control
2023-10-11,-0.69,-1.01,0.04183300132670376,0.12449899597988734,irrigation
2023-10-11,-0.85,-1.49,0.10606601717798214,0.19811612756158947,stop
2023-10-26,-0.56,-0.56,0.0651920240520265,0.04183300132670376,control
2023-10-26,-0.35,-0.41000000000000003,0.07905694150420949,0.09617692030835673,irrigation
2023-10-26,-0.52,-0.56,0.057008771254956896,0.08215838362577492,stop
2024-05-16,-0.47000000000000003,-0.86,0.04472135954999579,0.15165750888103102,control
2024-05-16,-0.47000000000000003,-0.9,0.04472135954999579,0.07905694150420946,irrigation
2024-05-16,-0.4,-0.87,0.07071067811865477,0.07582875444051547,stop
2024-06-13,-0.31666666666666665,-0.6666666666666666,0.02886751345948128,0.1527525231651947,control
2024-06-13,-0.3,-0.525,0.04082482904638629,0.04999999999999999,irrigation
2024-06-13,-0.2833333333333333,-0.4666666666666667,0.02886751345948128,0.05773502691896256,stop
2024-06-14,-0.6900000000000001,-1.06,0.12449899597988734,0.08215838362577493,control
2024-06-14,-0.65,-1.01,0.04999999999999999,0.11937336386313321,irrigation
2024-06-14,-0.6,-1.1,0.1457737973711325,0.09354143466934853,stop
2024-07-05,-0.7166666666666667,-0.8166666666666667,0.028867513459481315,0.02886751345948125,control
2024-07-05,-1.025,-1.275,0.028867513459481315,0.050000000000000044,irrigation
2024-07-05,-1.25,-1.575,0.05773502691896263,0.1258305739211792,stop
2024-07-06,-0.8200000000000001,-1.3699999999999999,0.057008771254956896,0.10954451150103323,control
