date,site,treatment,depth,descr,ECS,SWP,TEM,VWC,SWP_corr
2023-12-19,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.2,4.287627027972028,NA,-0.2
2023-12-19,PFY_SC11,roof,-1.2,below panel center,41.01962388888889,-0.1,6.569083083333334,0.31191068518518517,-0.1
2023-12-19,PFY_SC11,roof,-0.8,below panel center,40.12449796296296,-0.1,5.439863421296296,0.13053064814814816,-0.1
2023-12-19,PFY_SC11,roof,-0.1,below panel center,15.86286648148148,-0.1,2.9034814814814816,0.2826261759259259,-0.1
2023-12-19,PFY_SC12,roof_vpd,-1.2,below panel edge,96.02505258064517,-0.1,6.749999983870968,0.34338674193548385,-0.1
2023-12-19,PFY_SC12,roof_vpd,-0.8,below panel edge,54.87844064516129,-0.1,5.818236532258064,0.3050016451612903,-0.1
2023-12-19,PFY_SC12,roof_vpd,-0.1,below panel edge,15.137197741935484,-0.1,3.661284935483871,0.30451903225806454,-0.1
2023-12-19,PFY_SC13,roof,-1.2,below panel edge to center,45.91843186915888,-0.1,6.9673417943925235,0.323668476635514,-0.1
2023-12-19,PFY_SC13,roof,-0.8,below panel edge to center,40.173333271028035,-0.2,6.392900308411215,0.28799882242990654,-0.2
2023-12-19,PFY_SC13,roof,-0.1,below panel edge to center,20.533087943925235,-0.7789470280373831,3.8342024906542056,0.17370969158878505,-0.7789468776960213
2023-12-19,PFY_SC14,irrigation_vpd,-1.2,NA,22.350752361111113,-0.1,6.877328118055556,0.19569341666666668,-0.1
2023-12-19,PFY_SC14,irrigation_vpd,-0.8,NA,28.215243055555554,-0.1347175902777778,5.913057291666667,0.2839319027777778,-0.1347175902777778
2023-12-19,PFY_SC14,irrigation_vpd,-0.1,NA,22.081875069444443,-2.6353379027777777,3.241315961805556,0.1912059375,-2.6350448351398104
2023-12-19,PFY_SC15,irrigation_vpd,-1.2,NA,49.38493764150943,-0.1,6.879577825471698,0.30186034905660375,-0.1
2023-12-19,PFY_SC15,irrigation_vpd,-0.8,NA,52.55282141509434,-0.1,6.305854551886793,0.3243419716981132,-0.1
2023-12-19,PFY_SC15,irrigation_vpd,-0.1,NA,5.456656990566038,-0.1,3.542589495283019,0.23087724528301887,-0.1
2023-12-19,PFY_SC16,roof_vpd,-1.2,below panel edge,32.18687094339623,-0.1,6.99424887264151,0.29098964150943396,-0.1
2023-12-19,PFY_SC16,roof_vpd,-0.8,below panel edge,37.20137754716981,-0.10132075471698114,6.0252955283018865,0.3228092641509434,-0.10132075471698114
2023-12-19,PFY_SC16,roof_vpd,-0.1,below panel edge,23.00678490566038,-0.1,4.084105231132075,0.24845208490566037,-0.1
2023-12-19,PFY_SC17,roof,-1.2,below panel edge to center,28.748685238095238,-0.1,7.5,0.27673997142857143,-0.1
2023-12-19,PFY_SC17,roof,-0.8,below panel edge to center,41.645761904761905,-0.1,6.621904761904761,0.321558180952381,-0.1
2023-12-19,PFY_SC17,roof,-0.1,below panel edge to center,18.750186285714285,-0.16798729523809525,4.125998352380952,0.22313398095238096,-0.16798729523808437
2023-12-19,PFY_SC18,control,-1.2,NA,50.350780192307695,-0.1,7.0409193894230775,0.2985438653846154,-0.1
2023-12-19,PFY_SC18,control,-0.8,NA,34.80293269230769,-0.2668974230769231,6.155774038461539,0.2789453557692308,-0.2668974230729092
2023-12-19,PFY_SC18,control,-0.1,NA,6.897708346153846,-0.6638076730769231,4.075911855769231,0.20700805769230768,-0.6638074964397667
2023-12-19,PFY_SC3,irrigation,-1.2,NA,57.50467125,-0.1,7.021528142361111,0.30002303472222225,-0.1
2023-12-19,PFY_SC3,irrigation,-0.8,NA,78.74504986111111,-0.1,6.4273998854166665,0.353876625,-0.1
2023-12-19,PFY_SC3,irrigation,-0.1,NA,21.358738541666668,-0.09374073611111111,4.087777767361111,0.28523340277777776,-0.09075925694444445
2023-12-19,PFY_SC4,irrigation,-1.2,NA,49.151672072072074,-0.1,6.761488738738739,0.3328439369369369,-0.1
2023-12-19,PFY_SC4,irrigation,-0.8,NA,22.380706576576575,-0.1,6.005407554054054,0.3193686216216216,-0.1
2023-12-19,PFY_SC4,irrigation,-0.1,NA,29.58398936936937,-0.1,3.2633288243243244,0.2717924864864865,-0.1
2023-12-19,PFY_SC6,roof_vpd,-1.2,not below panel,92.0815033027523,-0.1,6.333262995412844,0.2966500642201835,-0.1
2023-12-19,PFY_SC6,roof_vpd,-0.8,not below panel,66.66597064220184,-0.1,5.700374605504587,0.3459266513761468,-0.1
2023-12-19,PFY_SC6,roof_vpd,-0.1,not below panel,6.949915403669725,-0.6778837706422018,2.7769884311926605,0.19522222935779818,-0.6772455395666293
2023-12-19,PFY_SC701,control,-1.2,NA,31.09077951048951,-0.13600816083916084,6.8017511643356645,0.3106874055944056,-0.13600816083916084
2023-12-19,PFY_SC701,control,-0.8,NA,17.479949160839162,-0.1,5.876392374125874,0.20719545454545454,-0.1
2023-12-19,PFY_SC701,control,-0.1,NA,0.7354106573426573,-0.7821025244755245,3.192693472027972,0.20874086013986015,-0.7821004164183053
2023-12-19,PFY_SC901,irrigation,-1.2,NA,23.85031462962963,-0.09489969444444445,6.907131944444445,0.3248874537037037,-0.09295525
2023-12-19,PFY_SC901,irrigation,-0.8,NA,27.533990925925927,-0.1,6.138891203703704,0.2511652962962963,-0.1
2023-12-19,PFY_SC901,irrigation,-0.1,NA,26.878090277777776,-0.1,3.307782398148148,0.2375445277777778,-0.1
2023-12-20,PFY_SC1,control,-1.2,NA,69.24864583333333,-0.1,6.807015621527778,0.3170136666666667,-0.1
2023-12-20,PFY_SC1,control,-0.8,NA,84.62361111111112,-2.4201758194444443,6.0531267361111105,0.3180533194444444,-2.4197382963107836
2023-12-20,PFY_SC1,control,-0.1,NA,0.6416666736111111,-0.23937036805555556,3.5227592430555554,0.087949625,-0.2393703680555339
2023-12-20,PFY_SC10,irrigation_vpd,-1.2,NA,38.595185416666666,-0.1,6.866012145833333,0.28080338194444443,-0.1
2023-12-20,PFY_SC10,irrigation_vpd,-0.8,NA,27.673020833333332,-0.1,6.169483788194444,0.29193915972222223,-0.1
2023-12-20,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.20062036805555555,4.46900925,NA,-0.20062036805555555
2023-12-20,PFY_SC11,roof,-1.2,below panel center,40.394687708333336,-0.1,6.472782986111111,0.3087816597222222,-0.1
2023-12-20,PFY_SC11,roof,-0.8,below panel center,39.577083333333334,-0.09798147916666668,5.326149881944445,0.12710519444444446,-0.09756944444444444
2023-12-20,PFY_SC11,roof,-0.1,below panel center,15.270532222222222,-0.1,2.9773830972222224,0.2788340763888889,-0.1
2023-12-20,PFY_SC12,roof_vpd,-1.2,below panel edge,94.73981451388889,-0.1,6.6782343611111115,0.34202502083333336,-0.1
2023-12-20,PFY_SC12,roof_vpd,-0.8,below panel edge,53.75427083333334,-0.11235184722222223,5.762119791666667,0.3033287777777778,-0.11200925694444445
2023-12-20,PFY_SC12,roof_vpd,-0.1,below panel edge,14.297291736111111,-0.0988148125,3.9240451249999997,0.30180246527777776,-0.0982638888888889
2023-12-20,PFY_SC13,roof,-1.2,below panel edge to center,43.590347361111114,-0.1,6.895039354166666,0.3216428611111111,-0.1
2023-12-20,PFY_SC13,roof,-0.8,below panel edge to center,38.15972222222222,-0.2036064791666667,6.324029513888888,0.28623505555555556,-0.2036064791666655
2023-12-20,PFY_SC13,roof,-0.1,below panel edge to center,20.26375,-1.2935833194444444,4.061892927083333,0.17052313194444443,-1.2935780031705881
2023-12-20,PFY_SC14,irrigation_vpd,-1.2,NA,21.823611111111113,-0.1,6.788476274305556,0.19067902083333332,-0.1
2023-12-20,PFY_SC14,irrigation_vpd,-0.8,NA,28.195138888888888,-0.3399120277777778,5.835279513888889,0.28194247222222224,-0.33991202765509443
2023-12-20,PFY_SC14,irrigation_vpd,-0.1,NA,22.07990722222222,-4.661861069444445,3.6960196527777778,0.18754969444444444,-4.659027436586907
2023-12-20,PFY_SC15,irrigation_vpd,-1.2,NA,49.04024305555556,-0.1,6.819414354166667,0.2989346041666667,-0.1
2023-12-20,PFY_SC15,irrigation_vpd,-0.8,NA,51.02576388888889,-0.0995787013888889,6.205279510416666,0.3226141388888889,-0.09930555555555556
2023-12-20,PFY_SC15,irrigation_vpd,-0.1,NA,5.476388840277778,-0.09714814583333334,3.9581724340277775,0.22703827777777777,-0.0958287013888889
2023-12-20,PFY_SC16,roof_vpd,-1.2,below panel edge,31.370833333333334,-0.14082754861111113,6.921876156250001,0.28652022222222223,-0.14082754861111113
2023-12-20,PFY_SC16,roof_vpd,-0.8,below panel edge,36.630625,-0.26026388194444444,5.933719326388889,0.31980711805555556,-0.2602638819421497
2023-12-20,PFY_SC16,roof_vpd,-0.1,below panel edge,22.637523194444444,-0.1,4.1301655,0.24427708333333334,-0.1
2023-12-20,PFY_SC17,roof,-1.2,below panel edge to center,27.71534722222222,-0.0990914375,7.422504628472223,0.27073254166666666,-0.09861111111111112
2023-12-20,PFY_SC17,roof,-0.8,below panel edge to center,40.30493055555556,-0.09930092361111112,6.56861515625,0.3194236458333333,-0.09923147916666668
2023-12-20,PFY_SC17,roof,-0.1,below panel edge to center,18.34655097222222,-0.9712407013888888,4.344186326388889,0.21779170833333333,-0.9712354834690958
2023-12-20,PFY_SC18,control,-1.2,NA,49.05754638888889,-0.10908565277777778,6.949414329861112,0.29637878472222223,-0.10797454166666667
2023-12-20,PFY_SC18,control,-0.8,NA,33.548680555555556,-1.5084767847222222,6.058370368055555,0.2759055763888889,-1.5083884205838174
2023-12-20,PFY_SC18,control,-0.1,NA,6.597719930555556,-2.123300847222222,4.281234944444445,0.20243379166666667,-2.123152928910062
2023-12-20,PFY_SC3,irrigation,-1.2,NA,57.25489569444444,-0.1,6.94101040625,0.2993965069444444,-0.1
2023-12-20,PFY_SC3,irrigation,-0.8,NA,78.80069444444445,-0.1,6.35,0.3526336875,-0.1
2023-12-20,PFY_SC3,irrigation,-0.1,NA,21.530428194444443,-0.1,4.323594888888889,0.28204981944444446,-0.1
2023-12-20,PFY_SC4,irrigation,-1.2,NA,48.33052111111111,-0.1,6.694171291666667,0.3315794097222222,-0.1
2023-12-20,PFY_SC4,irrigation,-0.8,NA,22.134722222222223,-0.1,5.935312486111111,0.3183494375,-0.1
2023-12-20,PFY_SC4,irrigation,-0.1,NA,28.658808194444443,-0.1,3.670878451388889,0.2687444375,-0.1
2023-12-20,PFY_SC6,roof_vpd,-1.2,not below panel,90.35208333333333,-0.1,6.234657399305555,0.29431838194444443,-0.1
2023-12-20,PFY_SC6,roof_vpd,-0.8,not below panel,65.49586805555556,-0.1,5.584723958333333,0.3442548125,-0.1
2023-12-20,PFY_SC6,roof_vpd,-0.1,not below panel,6.656967625,-4.18899525,3.01491203125,0.1937505486111111,-4.186551792982616
2023-12-20,PFY_SC701,control,-1.2,NA,30.022916666666667,-0.2,6.708476850694445,0.30771563888888886,-0.2
2023-12-20,PFY_SC701,control,-0.8,NA,16.465972222222224,-0.0988148125,5.744170715277778,0.20345372916666665,-0.09860647916666668
2023-12-20,PFY_SC701,control,-0.1,NA,0.3840277777777778,-3.650536888888889,3.201763888888889,0.20550265277777777,-3.6489608056338865
2023-12-20,PFY_SC901,irrigation,-1.2,NA,24.570173611111112,-0.1,6.813094909722222,0.3237250972222222,-0.1
2023-12-20,PFY_SC901,irrigation,-0.8,NA,27.501458333333332,-0.09839814583333334,6.038788774305556,0.2486366736111111,-0.09708333333333334
2023-12-20,PFY_SC901,irrigation,-0.1,NA,26.89583340277778,-0.1,3.5230347013888887,0.23424781944444445,-0.1
2023-12-21,PFY_SC1,control,-1.2,NA,69.53819444444444,-0.1,6.722261579861111,0.31569945833333335,-0.1
2023-12-21,PFY_SC1,control,-0.8,NA,83.368125,-5.954342520833333,6.011495364583333,0.31606908333333333,-5.947552640944734
2023-12-21,PFY_SC1,control,-0.1,NA,0.9242823958333334,-0.34979166666666667,4.089283545138889,0.08753899305555556,-0.34979166665930966
2023-12-21,PFY_SC10,irrigation_vpd,-1.2,NA,38.44365763888889,-0.1,6.800000000000001,0.2788463888888889,-0.1
2023-12-21,PFY_SC10,irrigation_vpd,-0.8,NA,27.338159722222223,-0.1,6.170030090277778,0.28929554166666666,-0.1
2023-12-21,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.299375,4.861995361111111,NA,-0.29937499999994444
2023-12-21,PFY_SC11,roof,-1.2,below panel center,40.02712951388889,-0.1,6.376010993055555,0.3058717361111111,-0.1
2023-12-21,PFY_SC11,roof,-0.8,below panel center,38.8528125,-0.13805092361111113,5.262291666666667,0.12393813888888888,-0.13805092361111113
2023-12-21,PFY_SC11,roof,-0.1,below panel center,15.446875208333333,-0.1,3.5202858576388887,0.277343625,-0.1
2023-12-21,PFY_SC12,roof_vpd,-1.2,below panel edge,92.80489597222223,-0.1,6.6453848368055555,0.33980154166666665,-0.1
2023-12-21,PFY_SC12,roof_vpd,-0.8,below panel edge,52.14725694444444,-0.7686805208333334,5.751595486111111,0.3006997847222222,-0.7686781780225154
2023-12-21,PFY_SC12,roof_vpd,-0.1,below panel edge,13.745786944444445,-0.24769906944444445,4.367031236111111,0.29804159722222223,-0.24769906944441336
2023-12-21,PFY_SC13,roof,-1.2,below panel edge to center,41.775775625,-0.1,6.85,0.319591875,-0.1
2023-12-21,PFY_SC13,roof,-0.8,below panel edge to center,36.67576388888889,-0.3,6.3,0.28431463194444445,-0.2999999999999429
2023-12-21,PFY_SC13,roof,-0.1,below panel edge to center,20.484340416666665,-1.7468148055555555,4.575984934027778,0.16807741666666667,-1.7467850281929471
2023-12-21,PFY_SC14,irrigation_vpd,-1.2,NA,21.237383958333332,-0.1,6.75,0.18632325694444443,-0.1
2023-12-21,PFY_SC14,irrigation_vpd,-0.8,NA,28.004166666666666,-0.9970370138888889,5.850377892361111,0.28019675,-0.9970347165105112
2023-12-21,PFY_SC14,irrigation_vpd,-0.1,NA,22.02078701388889,-5.737296256944444,4.199945590277777,0.18499856944444446,-5.731551489890291
