date,scenario,sf
2012-11-18,control,0.068592552
2012-11-18,irrigation stop,0.10395974399999999
2012-11-19,control,0.068592552
2012-11-19,irrigation stop,0.10395974399999999
2012-11-20,control,0.068592552
2012-11-20,irrigation stop,0.10395974399999999
2012-11-21,control,0.068592552
2012-11-21,irrigation stop,0.10395974399999999
2012-11-22,control,0.068592552
2012-11-22,irrigation stop,0.10395974399999999
2012-11-23,control,0.068592552
2012-11-23,irrigation stop,0.10395974399999999
2012-11-24,control,0.068592552
2012-11-24,irrigation stop,0.10395974399999999
2012-11-25,control,0.068592552
2012-11-25,irrigation stop,0.10395974399999999
2012-11-26,control,0.068592552
2012-11-26,irrigation stop,0.10395974399999999
2012-11-27,control,0.068592552
2012-11-27,irrigation stop,0.10395974399999999
2012-11-28,control,0.068592552
2012-11-28,irrigation stop,0.10395974399999999
2012-11-29,control,0.068592552
2012-11-29,irrigation stop,0.10395974399999999
2012-11-30,control,0.068592552
2012-11-30,irrigation stop,0.10395974399999999
2012-12-01,control,0.068592552
2012-12-01,irrigation stop,0.10395974399999999
2012-12-02,control,0.068592552
2012-12-02,irrigation stop,0.10395974399999999
2012-12-03,control,0.068592552
2012-12-03,irrigation stop,0.10395974399999999
2012-12-04,control,0.068592552
2012-12-04,irrigation stop,0.10395974399999999
2012-12-05,control,0.068592552
2012-12-05,irrigation stop,0.10395974399999999
2012-12-06,control,0.068592552
2012-12-06,irrigation stop,0.10395974399999999
2012-12-07,control,0.068592552
2012-12-07,irrigation stop,0.10395974399999999
2012-12-08,control,0.068592552
2012-12-08,irrigation stop,0.10395974399999999
2012-12-09,control,0.068592552
2012-12-09,irrigation stop,0.10395974399999999
2012-12-10,control,0.068592552
2012-12-10,irrigation stop,0.10395974399999999
2012-12-11,control,0.068592552
2012-12-11,irrigation stop,0.10395974399999999
2012-12-12,control,0.068592552
2012-12-12,irrigation stop,0.10395974399999999
2012-12-13,control,0.068592552
2012-12-13,irrigation stop,0.10395974399999999
2012-12-14,control,0.068592552
2012-12-14,irrigation stop,0.10395974399999999
2012-12-15,control,0.068592552
2012-12-15,irrigation stop,0.10395974399999999
2012-12-16,control,0.068592552
2012-12-16,irrigation stop,0.10395974399999999
2012-12-17,control,0.068592552
2012-12-17,irrigation stop,0.10395974399999999
2012-12-18,control,0.068592552
2012-12-18,irrigation stop,0.10395974399999999
2012-12-19,control,0.068592552
2012-12-19,irrigation stop,0.10395974399999999
2012-12-20,control,0.068592552
2012-12-20,irrigation stop,0.10395974399999999
2012-12-21,control,0.068592552
2012-12-21,irrigation stop,0.10395974399999999
2012-12-22,control,0.068592552
2012-12-22,irrigation stop,0.10395974399999999
2012-12-23,control,0.068592552
2012-12-23,irrigation stop,0.10395974399999999
2012-12-24,control,0.068592552
2012-12-24,irrigation stop,0.10395974399999999
2012-12-25,control,0.068592552
2012-12-25,irrigation stop,0.10395974399999999
2012-12-26,control,0.068592552
2012-12-26,irrigation stop,0.10395974399999999
2012-12-27,control,0.068592552
2012-12-27,irrigation stop,0.10395974399999999
2012-12-28,control,0.068592552
2012-12-28,irrigation stop,0.10395974399999999
2012-12-29,control,0.068592552
2012-12-29,irrigation stop,0.10395974399999999
2012-12-30,control,0.068592552
2012-12-30,irrigation stop,0.10395974399999999
2013-03-11,irrigation stop,1.3569917606666666
2013-03-12,irrigation stop,1.3489493353333333
2013-03-13,control,0.15676308266666666
2013-03-13,irrigation stop,0.167919369
2013-03-14,control,0
2013-03-14,irrigation stop,0
2013-03-15,control,0
2013-03-15,irrigation stop,0
2013-03-16,control,0
2013-03-16,irrigation stop,0
2013-03-17,control,0
2013-03-17,irrigation stop,0
2013-03-18,control,1.830658006
2013-03-18,irrigation stop,4.643439782333333
2013-03-19,control,13.50435724875
2013-03-19,irrigation stop,17.707883133750002
2013-03-20,control,11.229704104666666
2013-03-20,irrigation stop,18.50776280125
2013-03-21,control,15.156614764166667
2013-03-21,irrigation stop,20.393070984416667
2013-03-22,control,22.951934321416665
2013-03-22,irrigation stop,26.522403142166667
2013-03-23,control,21.010181492
2013-03-23,irrigation stop,26.148686722166666
2013-03-24,control,15.394970305
2013-03-24,irrigation stop,21.284809595583333
2013-03-25,control,2.0965442244999997
2013-03-25,irrigation stop,6.517239688
2013-03-26,control,8.849881880916666
2013-03-26,irrigation stop,17.454123942
2013-03-27,control,21.965173167083332
2013-03-27,irrigation stop,28.537729457250002
2013-03-28,control,7.27917346025
2013-03-28,irrigation stop,13.699655625833334
2013-03-29,control,1.2303081210833333
2013-03-29,irrigation stop,2.179306616
2013-03-30,control,1.8806269249999998
2013-03-30,irrigation stop,5.301420459416667
2013-03-31,control,21.067973437166668
2013-03-31,irrigation stop,29.373749211333333
2013-04-01,control,23.35058196975
2013-04-01,irrigation stop,30.730052936249997
2013-04-02,control,27.109096086999998
2013-04-02,irrigation stop,34.85100089391667
2013-04-03,control,19.521648811583333
2013-04-03,irrigation stop,26.717721116666667
2013-04-04,control,27.008456492666667
2013-04-04,irrigation stop,33.65343380308333
2013-04-05,control,18.12526169808333
2013-04-05,irrigation stop,25.250575004916666
2013-04-06,control,25.76645433741667
2013-04-06,irrigation stop,31.35254163491667
2013-04-07,control,23.250272690166668
2013-04-07,irrigation stop,30.035052106333332
2013-04-08,control,13.278278037
2013-04-08,irrigation stop,20.711961027166666
2013-04-09,control,1.748414987
2013-04-09,irrigation stop,3.2251644845833334
2013-04-10,control,27.99645688675
2013-04-10,irrigation stop,33.239968172833336
2013-04-11,control,26.11188172241667
2013-04-11,irrigation stop,30.543743941000002
2013-04-12,control,26.05192934025
2013-04-12,irrigation stop,30.540870062000003
2013-04-13,control,31.788821667416666
2013-04-13,irrigation stop,35.680188881666666
2013-04-14,control,38.721005415166665
2013-04-14,irrigation stop,42.91321637641667
2013-04-15,control,38.904496347333335
2013-04-15,irrigation stop,42.23648872366667
2013-04-16,control,0.8226607422500001
2013-04-16,irrigation stop,0.6977739750833334
2013-04-17,control,0
2013-04-17,irrigation stop,0
2013-04-18,control,0
2013-04-18,irrigation stop,0
2013-04-19,irrigation stop,0
2013-04-20,irrigation stop,0
2013-04-21,irrigation stop,0.09867347700000001
2013-04-22,irrigation stop,0
2013-04-23,irrigation stop,0
2013-04-24,irrigation stop,0
2013-04-25,irrigation stop,0
2013-04-26,irrigation stop,0
2013-04-27,irrigation stop,0
2013-04-28,irrigation stop,34.43738421416667
2013-04-29,control,5.584648903166667
2013-04-29,irrigation stop,10.056339266
2013-04-30,control,36.89930754233333
2013-04-30,irrigation stop,25.309948493666667
2013-05-01,control,47.52836742691667
2013-05-01,irrigation stop,30.067153414416666
2013-05-02,control,37.01237077966667
2013-05-02,irrigation stop,37.27223805291666
2013-05-03,control,11.243480250833333
2013-05-03,irrigation stop,14.0417389815
2013-05-04,control,39.78652183858333
2013-05-04,irrigation stop,43.53466578041667
2013-05-05,control,41.125883970000004
2013-05-05,irrigation stop,26.854751884749998
2013-05-06,control,15.615277843249999
2013-05-06,irrigation stop,13.694485481083333
2013-05-07,control,41.46771057583334
2013-05-07,irrigation stop,26.80640088166667
2013-05-08,control,45.982311932083334
2013-05-08,irrigation stop,48.11890314295
2013-05-09,control,32.452324571666665
2013-05-09,irrigation stop,41.804627702333335
2013-05-10,control,19.933623512916668
2013-05-10,irrigation stop,28.415580463416667
2013-05-11,control,0.2897429904166666
2013-05-11,irrigation stop,0.6680558766666667
2013-05-12,control,0
2013-05-12,irrigation stop,0.3338208523333333
2013-05-13,control,0
2013-05-13,irrigation stop,0
2013-05-16,control,0
2013-05-16,irrigation stop,0
2013-05-17,control,0
2013-05-17,irrigation stop,0
2013-05-18,control,42.107882619166666
2013-05-18,irrigation stop,55.78760000616666
2013-05-19,control,20.64356022725
2013-05-19,irrigation stop,34.16286086616667
2013-05-20,control,31.498010220333335
2013-05-20,irrigation stop,36.68942734808333
2013-05-21,control,29.226164566916665
2013-05-21,irrigation stop,36.41128966375
2013-05-22,control,27.755749023999996
2013-05-22,irrigation stop,33.504520793
2013-05-23,control,36.307986808083335
2013-05-23,irrigation stop,40.85037975766667
2013-05-24,control,34.301526039083335
2013-05-24,irrigation stop,43.70247705566666
2013-05-25,control,32.772694154999996
2013-05-25,irrigation stop,42.662854556166664
2013-05-26,control,32.816699717333336
2013-05-26,irrigation stop,25.216047293583333
2013-05-27,control,42.92045529991667
2013-05-27,irrigation stop,46.94302157216667
2013-06-05,control,46.27726735466666
2013-06-05,irrigation stop,48.27713642541667
2013-06-06,control,49.0858254325
2013-06-06,irrigation stop,53.47959083683334
2013-06-07,control,48.61462592066667
2013-06-07,irrigation stop,53.45671790075
2013-06-08,control,47.027279074999996
2013-06-08,irrigation stop,53.262689130666665
2013-06-09,control,25.688637410749998
2013-06-09,irrigation stop,35.43727964475
2013-06-10,control,30.988878961333334
2013-06-10,irrigation stop,41.16762390458333
2013-06-11,control,46.78957451833333
2013-06-11,irrigation stop,54.4836134405
2013-06-12,control,45.48522832925
2013-06-12,irrigation stop,56.03176116658334
2013-06-13,control,46.24418961675
2013-06-13,irrigation stop,61.72089924475
2013-06-14,control,27.700674521666667
2013-06-14,irrigation stop,40.619451027833335
2013-06-15,control,38.58943466825
2013-06-15,irrigation stop,21.477722784833333
2013-06-16,control,42.69804814983333
2013-06-16,irrigation stop,23.826094835166668
2013-06-17,control,42.13144077725
2013-06-17,irrigation stop,23.050242068166668
2013-06-18,control,39.51203597316667
2013-06-18,irrigation stop,48.709019063750006
2013-06-19,control,34.45485056
2013-06-19,irrigation stop,20.610268159666667
2013-06-20,control,24.90130273766667
2013-06-20,irrigation stop,14.91281896825
2013-06-21,control,32.41645750783333
2013-06-21,irrigation stop,18.019362227833334
2013-06-22,control,30.283442958083334
2013-06-22,irrigation stop,42.0230690835
2013-06-23,control,36.13714187833334
2013-06-23,irrigation stop,52.46470936433333
2013-06-24,control,33.21335174041667
2013-06-24,irrigation stop,51.35020034916667
2013-06-25,control,41.51317048733333
2013-06-25,irrigation stop,58.762712506
2013-06-26,control,41.08028173658333
2013-06-26,irrigation stop,55.76724555008333
2013-06-27,control,27.799603126833333
2013-06-27,irrigation stop,44.59991219408333
2013-06-28,control,35.311377528250006
2013-06-28,irrigation stop,63.02692480333334
2013-06-29,control,1.9019238335833335
2013-06-29,irrigation stop,2.7628678987499997
2013-06-30,control,42.03833115758333
2013-06-30,irrigation stop,49.27940254966667
2013-07-01,control,47.68957952625
2013-07-01,irrigation stop,60.529619049
2013-07-02,control,44.816405086083336
2013-07-02,irrigation stop,56.23066731641667
2013-07-03,control,7.096329164916667
2013-07-03,irrigation stop,15.118036080416665
2013-07-04,control,38.11771156391667
2013-07-04,irrigation stop,45.42588773408333
2013-07-05,control,46.62675655966667
2013-07-05,irrigation stop,56.670087092
2013-07-06,control,45.414717108333335
2013-07-06,irrigation stop,58.20358440841666
2013-07-07,control,42.46039749658333
2013-07-07,irrigation stop,58.061028056750004
2013-07-08,control,38.5453027655
2013-07-08,irrigation stop,54.53375910158333
2013-07-09,control,35.05062926191667
2013-07-09,irrigation stop,52.42038992183333
2013-07-10,control,40.231314640166666
2013-07-10,irrigation stop,56.72264658825
2013-07-11,control,42.655615244416666
2013-07-11,irrigation stop,62.340180685916664
2013-07-12,control,40.26263321133334
2013-07-12,irrigation stop,60.66297661075001
2013-07-13,control,37.05715482158334
2013-07-13,irrigation stop,55.919647967
2013-07-14,control,42.386874880583335
2013-07-14,irrigation stop,64.09212739233334
2013-07-15,control,41.027217930000006
2013-07-15,irrigation stop,62.16579835491667
2013-07-16,control,41.11465970875
2013-07-16,irrigation stop,63.006268817750005
2013-07-17,control,21.058581891083335
2013-07-17,irrigation stop,31.71207871275
2013-07-18,control,21.970193629583335
2013-07-18,irrigation stop,34.40252585983333
2013-07-19,control,41.24422894516667
2013-07-19,irrigation stop,55.76989069566667
2013-07-20,control,44.005129851999996
2013-07-20,irrigation stop,58.04460474174999
2013-07-21,control,43.962790002000006
2013-07-21,irrigation stop,59.23334511558333
2013-07-22,control,37.79267404233333
2013-07-22,irrigation stop,52.841522188249996
2013-07-23,control,40.15745524383333
2013-07-23,irrigation stop,56.24050633208333
2013-07-24,control,36.94524162016667
2013-07-24,irrigation stop,51.49767915983333
2013-07-25,control,42.357000111666665
2013-07-25,irrigation stop,24.428943393083333
2013-07-26,control,42.04693316858334
2013-07-26,irrigation stop,57.62007576758333
2013-07-27,control,41.69798945083333
2013-07-27,irrigation stop,57.945841274
2013-07-28,control,36.90691702633333
2013-07-28,irrigation stop,23.61461172683333
2013-07-29,control,1.88698085875
2013-07-29,irrigation stop,1.8861808200833332
2013-07-30,control,44.47460877658333
2013-07-30,irrigation stop,56.04945841133333
2013-07-31,control,51.17278561758334
2013-07-31,irrigation stop,59.76525253483334
2013-08-01,control,52.31679803083333
2013-08-01,irrigation stop,61.921383537249994
2013-08-02,control,52.18480621716667
2013-08-02,irrigation stop,63.532961449333335
2013-08-03,control,43.35007810208333
2013-08-03,irrigation stop,54.1606931215
2013-08-04,control,43.154579099833335
2013-08-04,irrigation stop,54.20213384458334
2013-08-05,control,46.405926932
2013-08-05,irrigation stop,59.09534352358333
2013-08-06,control,36.1817929025
2013-08-06,irrigation stop,49.293821313916666
2013-08-07,control,12.378616524833333
2013-08-07,irrigation stop,22.594334319583332
2013-08-08,control,12.295394517916666
2013-08-08,irrigation stop,16.16579663108333
2013-08-09,control,30.78146661341667
2013-08-09,irrigation stop,37.22723118825
2013-08-10,control,50.16768187925
2013-08-10,irrigation stop,56.2902641945
2013-08-11,control,50.22967202233333
2013-08-11,irrigation stop,56.802879132499996
2013-08-12,control,49.820419184083335
2013-08-12,irrigation stop,58.59028805383333
2013-08-13,control,45.96996156591667
2013-08-13,irrigation stop,55.53100767466667
2013-08-14,control,42.7749994315
2013-08-14,irrigation stop,55.884051497
2013-08-15,control,44.386205953
2013-08-15,irrigation stop,58.61948045225
2013-08-16,control,44.10808559741666
2013-08-16,irrigation stop,59.453743371083334
2013-08-17,control,43.938179062416665
2013-08-17,irrigation stop,60.480573777000004
2013-08-18,control,42.42876872191667
2013-08-18,irrigation stop,59.953443508666666
2013-08-19,control,19.48386148075
2013-08-19,irrigation stop,31.168495538916666
2013-08-20,control,42.36121262416667
2013-08-20,irrigation stop,60.227935888333334
2013-08-21,control,41.63277368875
2013-08-21,irrigation stop,60.16224422808333
2013-08-22,control,40.87535955158333
2013-08-22,irrigation stop,59.03458531675
2013-08-23,control,40.40159983475
2013-08-23,irrigation stop,58.296367751666665
2013-08-24,control,12.454108677499999
2013-08-24,irrigation stop,23.316820477083333
2013-08-25,control,26.664752896333333
2013-08-25,irrigation stop,41.68311101408333
2013-08-26,control,37.63319902133333
2013-08-26,irrigation stop,50.83260891925
2013-08-27,control,34.08068474425
2013-08-27,irrigation stop,46.20122722791667
2013-08-28,control,40.64708867941667
2013-08-28,irrigation stop,52.32644697141667
2013-08-29,control,40.31261391741667
2013-08-29,irrigation stop,53.26507674283333
2013-08-30,control,40.01725991683333
2013-08-30,irrigation stop,53.77134568716667
2013-08-31,control,39.69165747416667
2013-08-31,irrigation stop,56.35124940775
2013-09-01,control,37.0232144965
2013-09-01,irrigation stop,54.3509047755
2013-09-02,control,37.76121936125
2013-09-02,irrigation stop,55.82771999566667
2013-09-03,control,38.615505569583334
2013-09-03,irrigation stop,57.80505126758334
2013-09-04,control,38.37506642075
2013-09-04,irrigation stop,58.13488471816666
2013-09-05,control,35.941856606
2013-09-05,irrigation stop,54.77221395916666
2013-09-06,control,36.13691226975
2013-09-06,irrigation stop,55.766240311749996
2013-09-07,control,30.492877034333333
2013-09-07,irrigation stop,47.15560503016667
2013-09-08,control,14.262554279416667
2013-09-08,irrigation stop,22.913692984833332
2013-09-09,control,1.07550882075
2013-09-09,irrigation stop,1.4321152108333335
2013-09-10,control,33.17019982591667
2013-09-10,irrigation stop,46.1946866355
2013-09-11,control,31.376597317250003
2013-09-11,irrigation stop,44.91425235275
2013-09-12,control,31.764261244083336
2013-09-12,irrigation stop,44.20959248641667
2013-09-13,control,37.23372016025
2013-09-13,irrigation stop,45.98580125466667
2013-09-14,control,35.439802921916666
2013-09-14,irrigation stop,45.894440832
2013-09-15,control,2.233120919
2013-09-15,irrigation stop,3.513086491416667
2013-09-16,control,1.0172366858333333
2013-09-16,irrigation stop,0.9868586941666666
2013-09-17,control,28.307786446916666
2013-09-17,irrigation stop,40.32214807
2013-09-18,control,16.431501051833333
2013-09-18,irrigation stop,20.40476110775
2013-09-19,control,35.35938974916667
2013-09-19,irrigation stop,42.826063798916664
2013-09-20,control,37.068150702
2013-09-20,irrigation stop,42.78986056025
2013-09-21,control,35.867120073833334
2013-09-21,irrigation stop,43.273382473249995
2013-09-22,control,35.69950300508333
2013-09-22,irrigation stop,43.940029368833336
2013-09-23,control,36.66363771983333
2013-09-23,irrigation stop,45.56216279425
2013-09-24,control,36.680206940333335
2013-09-24,irrigation stop,45.604887845250005
2013-09-25,control,36.407266375999995
2013-09-25,irrigation stop,44.687749471416666
2013-09-26,control,19.817399119500003
2013-09-26,irrigation stop,28.506634529916667
2013-09-27,control,29.022989482666667
2013-09-27,irrigation stop,35.953461043749996
2013-09-28,control,29.65244819191667
2013-09-28,irrigation stop,40.19027489583333
2013-09-29,control,28.3224277335
2013-09-29,irrigation stop,39.35171620083334
2013-09-30,control,18.1569196605
2013-09-30,irrigation stop,23.90835259316667
2013-10-01,control,24.2602400315
2013-10-01,irrigation stop,31.817597770166664
2013-10-02,control,29.439444725
2013-10-02,irrigation stop,36.91893757125
2013-10-03,control,28.1524515005
2013-10-03,irrigation stop,38.47153723091667
2013-10-04,control,24.00571089625
2013-10-04,irrigation stop,34.305699238416665
2013-10-05,control,12.483495692583332
2013-10-05,irrigation stop,18.151829848333335
2013-10-06,control,24.50791554008333
2013-10-06,irrigation stop,31.358672359416666
2013-10-07,control,25.25141042725
2013-10-07,irrigation stop,31.001410797833334
2013-10-08,control,22.80054899825
2013-10-08,irrigation stop,28.897748206916667
2013-10-09,control,11.6944821515
2013-10-09,irrigation stop,18.773055769916667
2013-10-10,control,1.4865784243333333
2013-10-10,irrigation stop,3.3357962058333333
2013-10-11,control,13.187784613166667
2013-10-11,irrigation stop,22.547237789416666
2013-10-12,control,8.959196397500001
2013-10-12,irrigation stop,13.908905524583334
2013-10-13,control,14.569278250583334
2013-10-13,irrigation stop,20.787129566416667
2013-10-14,control,17.533954205249998
2013-10-14,irrigation stop,23.74446813
2013-10-15,control,9.800741943999999
2013-10-15,irrigation stop,15.939335641583334
2013-10-16,control,12.472730998749999
2013-10-16,irrigation stop,18.738662670083333
2013-10-17,control,14.321757232083334
2013-10-17,irrigation stop,17.831848519250002
2013-10-18,control,16.63565733225
2013-10-18,irrigation stop,20.5439942865
2013-10-19,control,21.00722713533333
2013-10-19,irrigation stop,26.096202429916666
2013-10-20,control,14.673807812749999
2013-10-20,irrigation stop,20.334054354083335
2013-10-21,control,17.436235878166666
2013-10-21,irrigation stop,22.451014804083332
2013-10-22,control,27.1918315195
2013-10-22,irrigation stop,32.45698003766667
2013-10-23,control,6.697623661
2013-10-23,irrigation stop,11.532049530750001
2013-10-24,control,4.98066138975
2013-10-24,irrigation stop,4.669935622083333
2013-10-25,control,21.620723987583332
2013-10-25,irrigation stop,28.37247445725
2013-10-26,control,15.238661264000001
2013-10-26,irrigation stop,19.650506757833334
2013-10-27,control,5.575360069166667
2013-10-27,irrigation stop,10.370705500166666
2013-10-28,control,21.20394051308333
2013-10-28,irrigation stop,28.138734110666665
2013-10-29,control,3.3218927991666667
2013-10-29,irrigation stop,7.201110143916667
2013-10-30,control,3.768946805333333
2013-10-30,irrigation stop,7.1970297421666665
2013-10-31,control,6.452076310583333
2013-10-31,irrigation stop,9.815675172416666
2013-11-01,control,5.2463834233333335
2013-11-01,irrigation stop,9.533558431583334
2013-11-02,control,0.814601832
2013-11-02,irrigation stop,2.9332955580833335
2013-11-03,control,6.091651829916667
2013-11-03,irrigation stop,9.768574873
2013-11-04,control,4.153560000083333
2013-11-04,irrigation stop,7.9544172702500004
2013-11-05,control,3.3141426069166666
2013-11-05,irrigation stop,6.789570674916666
2013-11-06,control,6.081646477416667
2013-11-06,irrigation stop,12.115363005583333
2013-11-07,control,1.7045085835833333
2013-11-07,irrigation stop,2.6622451050000002
2013-11-08,control,3.3882931543333332
2013-11-08,irrigation stop,7.8798750665
2013-11-09,control,3.4379852233333335
2013-11-09,irrigation stop,8.100303259333334
2013-11-10,control,3.2038849750000002
2013-11-10,irrigation stop,1.5878954286666667
2013-11-11,control,2.0121959209166667
2013-11-11,irrigation stop,0.9316501029166666
2013-11-12,control,1.5962367175833332
2013-11-12,irrigation stop,2.117901965916667
2013-11-13,control,0.8123977970833334
2013-11-13,irrigation stop,2.9169951151666664
2013-11-14,control,0.8619644069166666
2013-11-14,irrigation stop,1.99856543375
2013-11-15,control,0.8840484314999999
2013-11-15,irrigation stop,1.4373614796666667
2013-11-16,control,2.16502741775
2013-11-16,irrigation stop,1.27844936
2013-11-17,control,1.2973325274166667
2013-11-17,irrigation stop,1.9446718261666667
2013-11-18,control,2.4484853404166667
2013-11-18,irrigation stop,5.9733737505
2013-11-19,control,2.0311986524166668
2013-11-19,irrigation stop,7.563880272916666
2013-11-20,control,0.7297625236666667
2013-11-20,irrigation stop,0.5011477766666667
2013-11-21,control,0.9983363191666665
2013-11-21,irrigation stop,0.32513926741666666
2013-11-22,control,1.1955347304166666
2013-11-22,irrigation stop,0.7620080505
2013-11-23,control,1.7297169452499999
2013-11-23,irrigation stop,1.5515638434166665
2013-11-24,control,1.3228945470833333
2013-11-24,irrigation stop,1.9217085809166667
2013-11-25,control,0.2795551885
2013-11-25,irrigation stop,0.5653777735833333
2013-11-26,control,2.0703063709166667
2013-11-26,irrigation stop,1.8843626569166667
2013-11-27,control,1.9514127265833334
2013-11-27,irrigation stop,2.9752969605833335
2013-11-28,control,1.6767089604166667
2013-11-28,irrigation stop,2.6857048074166663
2013-11-29,control,1.5639823750833335
2013-11-29,irrigation stop,1.2885053615833333
2013-11-30,control,0.18349482591666666
2013-11-30,irrigation stop,0.13154665466666668
2013-12-01,control,0.2891674736666667
2013-12-01,irrigation stop,4.3309208665000005
2013-12-02,control,0.44030033366666665
2013-12-02,irrigation stop,0.40684792258333335
2013-12-03,control,6.477975571416666
2013-12-03,irrigation stop,0.0423877605
2013-12-04,control,1.50938712875
2013-12-04,irrigation stop,0.3193223895
2013-12-05,control,0.06348830425
2013-12-05,irrigation stop,2.5360919699166664
2013-12-06,control,2.918693025916667
2013-12-06,irrigation stop,1.869184477
2013-12-07,control,2.8424167655833332
2013-12-07,irrigation stop,4.08381627625
2013-12-08,control,0
2013-12-08,irrigation stop,0.5641949903333333
2013-12-09,control,3.2556145145833333
2013-12-09,irrigation stop,0.21203750316666667
2013-12-10,control,2.4726895694166666
2013-12-10,irrigation stop,2.8353599285
2013-12-11,control,1.8823306910833333
2013-12-11,irrigation stop,2.8622309110833335
2013-12-12,control,0.0462587755
2013-12-12,irrigation stop,1.1846209521666666
2013-12-13,control,0.42287072158333333
2013-12-13,irrigation stop,0.17133156900000002
2013-12-14,control,8.405018808583334
2013-12-14,irrigation stop,4.89441542325
2013-12-15,control,3.45880022075
2013-12-15,irrigation stop,4.593492187833333
2013-12-16,control,0.25949802725000004
2013-12-16,irrigation stop,2.620887326666667
2013-12-17,control,0
2013-12-17,irrigation stop,1.2916848079166667
2013-12-18,control,0
2013-12-18,irrigation stop,1.20650140025
2013-12-19,control,0.30485115791666667
2013-12-19,irrigation stop,0.86159729525
2013-12-20,control,1.3971035822499998
2013-12-20,irrigation stop,0.456585664
2013-12-21,control,1.2472900488333334
2013-12-21,irrigation stop,1.2094948484166668
2013-12-22,control,0.11035931958333334
2013-12-22,irrigation stop,0.6109695690833333
2013-12-23,control,0
2013-12-23,irrigation stop,0.48108546333333335
2013-12-24,control,2.0740656704166667
2013-12-24,irrigation stop,1.5687090711666665
2013-12-25,control,0.7323097005
2013-12-25,irrigation stop,0.2920498025
2013-12-26,control,0.8541835686666667
2013-12-26,irrigation stop,2.2887126253333334
2013-12-27,control,1.4636295496666667
2013-12-27,irrigation stop,2.0136777158333334
2013-12-28,control,3.0807544204166666
2013-12-28,irrigation stop,1.66697577675
2013-12-29,control,0.20583421666666665
2013-12-29,irrigation stop,1.8803510930833334
2013-12-30,control,2.3207593417499996
2013-12-30,irrigation stop,0.7802457709166666
2013-12-31,control,3.763868656233333
2013-12-31,irrigation stop,2.2502046479666666
2014-01-01,control,1.8743478783333334
2014-01-01,irrigation stop,1.5779925662499998
2014-01-02,control,0.7497963569166666
2014-01-02,irrigation stop,1.0471688625833333
2014-01-03,control,2.324795839
2014-01-03,irrigation stop,2.4620214876666666
2014-01-04,control,0.23222553258333334
2014-01-04,irrigation stop,0.27705666191666667
2014-01-05,control,0.6260617774999999
2014-01-05,irrigation stop,1.1015059234166666
2014-01-06,control,3.0703476580833335
2014-01-06,irrigation stop,1.6987439263333335
2014-01-07,control,0.9561116510000001
2014-01-07,irrigation stop,2.175491667666667
2014-01-08,control,0.7618311904166667
2014-01-08,irrigation stop,2.18504371975
2014-01-09,control,1.3925864771666667
2014-01-09,irrigation stop,1.9758914599166668
2014-01-10,control,0.7432711285
2014-01-10,irrigation stop,3.1437672826666665
2014-01-11,control,1.278204314
2014-01-11,irrigation stop,0.97080167125
2014-01-12,control,1.85069083125
2014-01-12,irrigation stop,0.6558569051666667
2014-01-13,control,1.5288673756666666
2014-01-13,irrigation stop,1.41019766575
2014-01-14,control,0.9719275369166667
2014-01-14,irrigation stop,1.9256498959166668
2014-01-15,control,1.6091064773333335
2014-01-15,irrigation stop,1.9413810873333333
2014-01-16,control,1.8116606979166667
2014-01-16,irrigation stop,5.225097884583334
2014-01-17,control,1.0629130935
2014-01-17,irrigation stop,1.2186606065833332
2014-01-18,control,3.2276094613333335
2014-01-18,irrigation stop,2.8652612625000002
2014-01-19,control,3.9929484336666663
2014-01-19,irrigation stop,9.333748445333333
2014-01-20,control,1.7769694188333331
2014-01-20,irrigation stop,0.2521129235833333
2014-01-21,control,1.1332185710833333
2014-01-21,irrigation stop,1.7143592155833334
2014-01-22,control,2.433544183583333
2014-01-22,irrigation stop,0.7297065257500001
2014-01-23,control,1.51846788175
2014-01-23,irrigation stop,3.0202428235000003
2014-01-24,control,1.1122584806666667
2014-01-24,irrigation stop,2.13223680275
2014-01-25,control,5.3764208275000005
2014-01-25,irrigation stop,5.704735717916667
2014-01-26,control,0.7707134815833334
2014-01-26,irrigation stop,2.6037063365833335
2014-01-27,control,0.25336472908333335
2014-01-27,irrigation stop,0.73194376125
2014-01-28,control,4.405916065166667
2014-01-28,irrigation stop,2.7588481995833334
2014-01-29,control,3.9025444929999997
2014-01-29,irrigation stop,4.6006789475
2014-01-30,control,0.9795052066666667
2014-01-30,irrigation stop,0.7456631355833333
2014-01-31,control,1.8585362259166667
2014-01-31,irrigation stop,1.0597836627500001
2014-02-01,control,2.06842792525
2014-02-01,irrigation stop,1.9477556115833332
2014-02-02,control,0.8608195923333333
2014-02-02,irrigation stop,1.20056141925
2014-02-03,control,2.2327371393333335
2014-02-03,irrigation stop,2.7615349895000003
2014-02-04,control,0.49648416900000003
2014-02-04,irrigation stop,0.6103579400833333
2014-02-05,control,1.3746638746666668
2014-02-05,irrigation stop,5.2100493199999995
2014-02-06,control,2.8890618175
2014-02-06,irrigation stop,1.9342735995
2014-02-07,control,0.80701441175
2014-02-07,irrigation stop,2.1753909113333334
2014-02-08,control,1.7916274861666666
2014-02-08,irrigation stop,2.16233672275
2014-02-09,control,2.118907646833333
2014-02-09,irrigation stop,3.8566758678333333
2014-02-10,control,3.8076577382500005
2014-02-10,irrigation stop,11.218712036416667
