date,treatment,depth,SWP_corr,VWC
2023-12-18,control,-1.2,-0.1,0.31054333333333334
2023-12-18,control,-0.8,-0.16666666666664764,0.27058353333333335
2023-12-18,control,-0.1,-0.23333333333329528,0.17009626666666666
2023-12-18,irrigation,-1.2,-0.1,0.31988
2023-12-18,irrigation,-0.8,-0.1,0.30917791666666666
2023-12-18,irrigation,-0.1,-0.1,0.267129
2023-12-18,irrigation_vpd,-1.2,-0.1,0.2625754571428571
2023-12-18,irrigation_vpd,-0.8,-0.1,0.30251797142857145
2023-12-18,irrigation_vpd,-0.1,-0.6910253462159005,NA
2023-12-18,roof,-1.2,-0.1,0.3066685
2023-12-18,roof,-0.8,-0.13333333333333333,0.24829194444444444
2023-12-18,roof,-0.1,-0.23333333317982655,0.22941683333333335
2023-12-18,roof_vpd,-1.2,-0.1,0.29588558333333337
2023-12-18,roof_vpd,-0.8,-0.1,0.3359075833333333
2023-12-18,roof_vpd,-0.1,-0.1,0.22465225
2023-12-19,control,-1.2,-0.11200272027972029,0.30923965282634036
2023-12-19,control,-0.8,-0.31777286763753854,0.2687904992715618
2023-12-19,control,-0.1,-0.5179168343786166,0.16823169251813003
2023-12-19,irrigation,-1.2,-0.09765175000000001,0.3192514751209543
2023-12-19,irrigation,-0.8,-0.1,0.308136847639306
2023-12-19,irrigation,-0.1,-0.09691975231481482,0.2648568056806807
2023-12-19,irrigation_vpd,-1.2,-0.1,0.2602447097865447
2023-12-19,irrigation_vpd,-0.8,-0.1115725300925926,0.30104382296049514
2023-12-19,irrigation_vpd,-0.1,-0.9783482783799368,NA
2023-12-19,roof,-1.2,-0.1,0.30410637774975685
2023-12-19,roof,-0.8,-0.13333333333333333,0.24669588384347857
2023-12-19,roof,-0.1,-0.3489780576447019,0.22648994948903065
2023-12-19,roof_vpd,-1.2,-0.1,0.31034214922170045
2023-12-19,roof_vpd,-0.8,-0.10044025157232706,0.32457918689612686
2023-12-19,roof_vpd,-0.1,-0.2924151798555431,0.24939778217384104
2023-12-20,control,-1.2,-0.13599151388888892,0.3070360300925926
2023-12-20,control,-0.8,-1.3422443986870891,0.26580420833333335
2023-12-20,control,-0.1,-2.003828034199828,0.16529535648148147
2023-12-20,irrigation,-1.2,-0.1,0.31823367129629626
2023-12-20,irrigation,-0.8,-0.09902777777777778,0.3065399328703704
2023-12-20,irrigation,-0.1,-0.1,0.26168069212962963
2023-12-20,irrigation_vpd,-1.2,-0.1,0.2568056689814815
2023-12-20,irrigation_vpd,-0.8,-0.17973919440354993,0.2988319236111111
2023-12-20,irrigation_vpd,-0.1,-1.6518255020104504,NA
2023-12-20,roof,-1.2,-0.09953703703703705,0.3003856875
2023-12-20,roof,-0.8,-0.13346913425925888,0.24425463194444444
2023-12-20,roof,-0.1,-0.7882711622132279,0.22238297222222222
2023-12-20,roof_vpd,-1.2,-0.11360918287037039,0.30762120833333334
2023-12-20,roof_vpd,-0.8,-0.15742437962886474,0.32246356944444443
2023-12-20,roof_vpd,-0.1,-1.461605227290502,0.2466100324074074
2023-12-21,control,-1.2,-0.4139613638448675,0.3049146921296296
2023-12-21,control,-0.8,-4.270335680054152,0.26296078472222223
2023-12-21,control,-0.1,-3.0753354936579917,0.16426953935185185
2023-12-21,irrigation,-1.2,-0.1,0.3171927407407407
2023-12-21,irrigation,-0.8,-0.1,0.30496444675925927
2023-12-21,irrigation,-0.1,-0.1,0.26041007407407407
2023-12-21,irrigation_vpd,-1.2,-0.1,0.25378064351851853
2023-12-21,irrigation_vpd,-0.8,-0.41023688004054076,0.29685062037037035
2023-12-21,irrigation_vpd,-0.1,-2.048781052185634,NA
2023-12-21,roof,-1.2,-0.21445215803208575,0.2965015949074074
2023-12-21,roof,-0.8,-0.2078194421296077,0.2417707685185185
2023-12-21,roof,-0.1,-1.2780571735727586,0.22023068518518518
2023-12-21,roof_vpd,-1.2,-0.13333333333333333,0.30461408796296296
2023-12-21,roof_vpd,-0.8,-0.5414219304218119,0.3199229490740741
2023-12-21,roof_vpd,-0.1,-1.5387303363054226,0.24423743055555555
2023-12-22,control,-1.2,-1.9190880913738178,0.30297975694444446
2023-12-22,control,-0.8,-7.549109600237493,0.26067484027777776
2023-12-22,control,-0.1,-1.125236814016931,0.16722491435185186
2023-12-22,irrigation,-1.2,-0.1,0.31620100925925926
2023-12-22,irrigation,-0.8,-0.11205864120370372,0.30358325462962965
2023-12-22,irrigation,-0.1,-0.1,0.2641851087962963
2023-12-22,irrigation_vpd,-1.2,-0.12976466203703585,0.25125526851851854
2023-12-22,irrigation_vpd,-0.8,-0.8880850894405201,0.2951896898148148
2023-12-22,irrigation_vpd,-0.1,-1.7526610933613613,NA
2023-12-22,roof,-1.2,-0.8490710178801324,0.29338773611111113
2023-12-22,roof,-0.8,-0.333790120319205,0.23997704166666667
2023-12-22,roof,-0.1,-0.7994872804462271,0.2210276875
2023-12-22,roof_vpd,-1.2,-0.16349344212961187,0.3019432962962963
2023-12-22,roof_vpd,-0.8,-1.8250786253366962,0.31771085416666667
2023-12-22,roof_vpd,-0.1,-1.0225819390019786,0.24387874074074073
2023-12-23,control,-1.2,-3.322065644393902,0.30121555555555557
2023-12-23,control,-0.8,-8.858218822628661,0.2588675486111111
2023-12-23,control,-0.1,-2.121844681734067,0.16491794675925925
2023-12-23,irrigation,-1.2,-0.1,0.3155444606481481
2023-12-23,irrigation,-0.8,-0.14680401157406667,0.30256004166666667
2023-12-23,irrigation,-0.1,-0.11229012268518519,0.26159837037037037
