tree,value,year,month,day,wp,h,m,meta
600,-15.6,2025,9,16,md,16,30,Control
597,-14.8,2025,9,16,md,16,30,Control
679,-15,2025,9,16,md,16,30,Roof_vpd
604,-14,2025,9,16,md,16,30,Control
647,-12.3,2025,9,16,md,16,30,Roof_vpd
677,-13.7,2025,9,16,md,16,30,Roof_vpd
756,-13.4,2025,9,16,md,16,30,Irrigation
754,-14.8,2025,9,16,md,16,30,Irrigation
755,-10.3,2025,9,16,md,16,30,Irrigation
757,-11,2025,9,16,md,16,30,Irrigation
795,-10.6,2025,9,16,md,16,30,Irrigation_vpd
796,-10.05,2025,9,16,md,16,30,Irrigation_vpd
937,-11.7,2025,9,16,md,16,30,Irrigation_vpd
797,-10.8,2025,9,16,md,16,30,Irrigation_vpd
820,-11.6,2025,9,16,md,16,30,Irrigation_vpd
819,-9.4,2025,9,16,md,16,30,Irrigation_vpd
