date,cum_d_prec,td,cum_d_tran,int_loss,cum_d_slvp,flow,sens
2010-01-01,0.4,1.3877787807814457e-17,0.053053391376237075,0.14472478501413974,0.0,1.3678071869206634,default
2010-01-02,0.0,2.0816681711721685e-17,0.040908120713975066,0.0,0.0766082290703066,2.3345635490144927,default
2010-01-03,0.0,2.0816681711721685e-17,0.037773705426532626,0.0,0.0424438236956544,2.458757383365685,default
2010-01-04,1.3,-3.469446951953614e-18,0.011405419869465286,0.13389688320112,0.0,2.2038685962920774,default
2010-01-05,0.0,-1.3877787807814457e-17,0.016357540767933,0.0,0.0,1.924068039812019,default
2010-01-06,0.0,-3.469446951953614e-18,0.016498737476398097,0.0,0.0,1.6964797043168454,default
2010-01-07,0.0,1.3877787807814457e-17,0.025493517168289792,0.0,0.0,1.5161138499599771,default
2010-01-08,0.0,-1.734723475976807e-17,0.024370355372355046,0.0,0.012279517854047435,1.3667792150983185,default
2010-01-09,1.7,-2.0816681711721685e-17,0.014039734723122484,0.17509592418608,0.0,1.2373031704005018,default
2010-01-10,0.0,0.0,0.016755773920138856,0.0,0.0,1.1293030533436916,default
2010-01-11,0.0,-6.938893903907228e-18,0.019844705326217404,0.0,0.0,1.0433099457867043,default
2010-01-12,0.0,3.122502256758253e-17,0.025856881231286547,0.0,0.0,0.9734782087169376,default
2010-01-13,0.5,2.42861286636753e-17,0.026599883462879934,0.1560430551470804,0.0,0.9152326524474818,default
2010-01-14,0.0,3.122502256758253e-17,0.02996839558821196,0.0,0.01632538748324515,0.865732628796289,default
2010-01-15,0.0,-1.3877787807814457e-17,0.05884198231979834,0.0,-0.008783716032695572,0.8199990439369453,default
2010-01-16,5.9,2.0816681711721685e-17,0.0195977841795592,1.0123248182303302,0.0,0.7752280106649071,default
2010-01-17,0.4,1.3877787807814457e-17,0.06810067559834337,0.12850726382246644,0.0,0.7493267222814831,default
2010-01-18,0.0,1.3877787807814457e-17,0.07670733592941872,0.0,-0.02139871978883029,0.7632885983760059,default
2010-01-19,0.0,-2.7755575615628914e-17,0.04242234880548039,0.0,-0.005938423475800279,0.7915431524485882,default
2010-01-20,0.0,3.122502256758253e-17,0.030510465091990843,0.0,-0.00041056203184118567,0.7967570092565524,default
2010-01-21,0.0,-1.734723475976807e-17,0.031003466953435976,0.0,-0.04005162335898088,0.7813371209541653,default
2010-01-22,0.0,-9.020562075079397e-17,0.037508254169123775,0.0,-0.004525635288953736,0.7544668822961158,default
2010-01-23,0.0,-2.0816681711721685e-17,0.04781631571524417,0.0,-0.0002491287200982392,0.722356979947081,default
2010-01-24,0.0,-4.85722573273506e-17,0.04570540866909196,0.0,-0.001912003332803315,0.6885164439617669,default
2010-01-25,0.0,-2.0816681711721685e-17,0.059479339882581674,0.0,0.0069262709486793556,0.6547956044994064,default
2010-01-26,0.0,-3.8163916471489756e-17,0.027078569466355774,0.0,0.008026699277888492,0.6221950474916198,default
2010-01-27,0.0,-4.5102810375396984e-17,0.027952818021787847,0.0,0.00026453697379827737,0.5913703389612589,default
2010-01-28,0.3,0.0,0.01831406146511885,0.055628102186985606,0.0,0.5627216728517527,default
2010-01-29,9.4,1.3010426069826053e-18,0.003136370010025972,0.5529149357207584,0.0,0.5385177961459285,default
2010-01-30,0.0,0.0,0.02732897172195156,0.38057095994489315,0.0,0.5375901551691888,default
2010-01-31,0.0,-6.938893903907228e-18,0.025583443930318646,0.0,0.0,0.561187305871456,default
2010-02-01,0.0,-3.469446951953614e-18,0.023168539337651554,0.0,0.0,0.5799020621963284,default
2010-02-02,0.0,2.7755575615628914e-17,0.0289803049839645,0.0,0.0,0.5887438006483467,default
2010-02-03,0.0,4.85722573273506e-17,0.059612072338102146,0.0,0.0,0.5906904176416042,default
2010-02-04,0.0,0.0,0.17986579257255153,0.0,0.0,0.5923992552126354,default
2010-02-05,4.7,-2.0816681711721685e-17,0.02865844962408958,0.5751155680264652,0.013134901622500032,0.6019848061707874,default
2010-02-06,0.0,-6.938893903907228e-18,0.06147528885999698,-1.1102230246251565e-16,0.009733260694613876,0.6376756777572751,default
2010-02-07,0.0,5.551115123125783e-17,0.2708413948657284,0.0,0.013383704428113208,0.691218553243807,default
2010-02-08,0.0,0.0,0.174629134065175,0.0,0.025229524793140827,0.7196712698126194,default
2010-02-09,1.1,2.7755575615628914e-17,0.0678264483666925,0.28757351028087025,0.0,0.7205131597690758,default
2010-02-10,0.0,1.3877787807814457e-17,0.039428927829863306,0.0,0.03766045054595826,0.7100363778798287,default
2010-02-11,0.0,6.938893903907228e-18,0.03860679047551958,0.0,0.027795417862240115,0.6960014495943623,default
2010-02-12,0.0,1.3877787807814457e-17,0.04070614235762765,0.0,0.02217949467270129,0.6748030760132254,default
2010-02-13,0.0,-1.3877787807814457e-17,0.045515935686010284,0.0,0.02073832536023015,0.64864884457002,default
2010-02-14,0.0,2.0816681711721685e-17,0.04177439595383239,0.0,0.012768234591956137,0.6203907736119182,default
2010-02-15,0.0,2.7755575615628914e-17,0.054294484524100135,0.0,0.02156824521859883,0.591884082630006,default
2010-02-16,0.0,-5.551115123125783e-17,0.15097213187060138,0.0,0.04787631226748462,0.5640834711875727,default
2010-02-17,0.0,3.3306690738754696e-16,0.5646023277961755,0.0,0.07784093401204698,0.5368463022894958,default
2010-02-18,0.0,1.1102230246251565e-16,0.5672470731157228,0.0,0.04312541159902824,0.5085332778813334,default
2010-02-19,0.0,2.7755575615628914e-17,0.13037210193000376,0.0,0.028335090830411237,0.4786640446014505,default
2010-02-20,0.0,5.551115123125783e-17,0.34507127632257506,0.0,0.054788680119121774,0.44969255237722905,default
2010-02-21,0.0,-1.6653345369377348e-16,0.4991693262064682,0.0,0.0573236760780858,0.42291729269907236,default
2010-02-22,0.0,-1.1102230246251565e-16,0.7450450444533203,0.0,0.05366639927317545,0.39741442725824894,default
2010-02-23,0.0,-5.551115123125783e-17,0.41443326509552886,0.0,0.03214214688976921,0.37227493703000675,default
2010-02-24,0.0,1.1102230246251565e-16,0.5075518636891827,0.0,0.028841242290452457,0.3480935892420586,default
2010-02-25,7.3,-1.1102230246251565e-16,0.31910326792616234,0.941858623632067,0.030819950843112353,0.3264828152216611,default
2010-02-26,1.4,1.3877787807814457e-17,0.10289393491285237,0.509633671516174,0.0,0.32150227017135824,default
2010-02-27,0.0,1.1102230246251565e-16,0.4054612342479357,0.0,0.07510994207647781,0.3391346075343927,default
2010-02-28,0.0,-1.1102230246251565e-16,0.30656562160635265,0.0,0.05491702215819824,0.35637297282782965,default
2010-03-01,0.0,0.0,0.6282844154274159,0.0,0.06122016508260113,0.36360602638765765,default
2010-03-02,0.0,3.885780586188048e-16,0.3941511448265329,0.0,0.06654453750902192,0.3615889289173572,default
2010-03-03,0.0,1.6653345369377348e-16,0.4652083019107157,0.0,0.07751283984857904,0.3530961686401227,default
2010-03-04,0.0,-5.551115123125783e-17,0.21005214887996426,0.0,0.034043812310123475,0.34092608594406426,default
2010-03-05,0.0,-8.326672684688674e-17,0.14379429058457377,0.0,0.0395800312327996,0.327243243918059,default
2010-03-06,0.0,1.0408340855860843e-16,0.06211271352480485,0.0,0.03379693773551129,0.31368528132133605,default
2010-03-07,0.0,5.551115123125783e-17,0.26799918991518756,0.0,0.05702498238761212,0.30098611909907835,default
2010-03-08,0.0,0.0,0.08593555975200619,0.0,0.03539568730353869,0.2890226025971591,default
2010-03-09,0.0,2.7755575615628914e-17,0.06576020020351686,0.0,0.03271931883413156,0.2777402094932847,default
2010-03-10,0.0,1.3877787807814457e-17,0.07226638929532629,0.0,0.036067316264350696,0.2673761146795034,default
2010-03-11,0.0,1.3877787807814457e-17,0.05177836068834891,0.0,0.025208170920773872,0.25792479028625226,default
2010-03-12,0.0,1.6653345369377348e-16,0.36648535830771284,0.0,0.03552322876864297,0.2492365656630434,default
2010-03-13,0.0,-5.551115123125783e-17,0.33218412696157684,0.0,0.03723774063790441,0.24076974777715782,default
2010-03-14,0.0,5.551115123125783e-17,0.45569530671974623,0.0,0.04297513400454185,0.23207875698284514,default
2010-03-15,0.0,0.0,0.785997993214393,0.0,0.0676990741245734,0.2230202767626258,default
