scen,swc_nse10,swc_rmse10,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,trans_cor,trans_nse,max_trans,ann_trans
default,0.893378746470103,0.01111488219838117,0.7258141449929194,0.018964215338259576,0.7192681620664068,0.6039381060007414,0.752648391813458,-3.0511012921249883,4.076959253665438,337.5371847035692
positive,0.8928045157128532,0.0111447727525474,0.7251643043241403,0.018986675331661335,0.7159350962831823,0.6036429056535031,0.7536820539031852,-3.0684712223108477,4.076959253665438,340.2480114890113
negative,0.8679379737226667,0.012370064107610398,0.683603722655108,0.02037173590821438,0.6969789994410701,0.5348225434472995,0.7413198438384053,-2.9491506646450785,4.076959253665438,331.49091315915837
