dates,precip,globrad,windspeed,tmax,tmin,tmean,vappres
2024-01-01,0,1.4939424000000001,0.346625,2.74859,-1.0682366666666665,0.7536823993055556,0.6321295308059044
2024-01-02,7.972,2.9453658,0.21564583333333334,6.09737,-0.8097033333333333,2.4521652662037035,0.6314412633059434
2024-01-03,5.632,1.1074356,0.44377083333333334,8.344978000000001,-0.08067,4.043645636574074,0.7589569353511358
2024-01-04,1.664,2.901639,0.3412777777777778,7.314806,2.3435550000000003,4.843991677083333,0.7645827916287384
2024-01-05,7.266,1.270929,0.2457638888888889,5.542425,0.7971716666666666,2.7733425300925925,0.6854185198036459
2024-01-06,0.376,2.6571906000000003,0.2905902777777778,4.848958166666666,0.9095366666666667,2.9094563819444446,0.6873112407683108
2024-01-07,0,2.9509518000000003,0.3697986111111111,4.81781,0.29422166666666666,1.9027529039351851,0.6151916254957157
2024-01-08,0.005,2.5635174000000003,0.27129166666666665,2.2794133333333333,-1.1684350000000001,0.2942659166666667,0.5256493917077818
2024-01-09,0,2.7587070000000002,0.19065277777777778,2.3924383333333337,-1.5796333333333332,-0.36367564467592595,0.5004014701917865
2024-01-10,0,2.7876942,0.3588263888888889,3.958241666666667,-2.7586633333333332,0.044121481481481484,0.541592743069677
2024-01-11,0,0.726135,0.4208125,0.38810333333333336,-3.00643,-1.447403159722222,0.4884869142416093
2024-01-12,0,1.0353414,0.34897222222222224,-1.1496816666666667,-5.108896666666666,-2.654541478009259,0.4618590826724037
2024-01-13,0,0.5453958,0.5587847222222222,-1.8123016666666667,-5.925068333333334,-4.256970498842593,0.3880214623140514
2024-01-14,0.018,2.6455836,0.3123472222222222,2.32669,-5.71304,-1.7833817048611111,0.3843379501024248
2024-01-15,1.06,1.7524146,0.33181944444444444,3.9287400000000003,-1.0946733333333334,1.2008106597222223,0.5856564585417545
2024-01-16,0,2.7947268000000003,0.3706111111111111,2.51592,-3.7332616666666665,-0.607875318287037,0.46882962513876225
2024-01-17,20.346,2.7278322,0.29893055555555553,5.921701666666666,0.8791533333333333,3.3518154363425925,0.7385029088301402
2024-01-18,16.32,1.9723602000000002,0.3467222222222222,5.98776,2.120605,4.540403019675926,0.8353569660578902
2024-01-19,0,1.5032982000000001,0.6352916666666667,2.016575,-4.471683333333333,-0.4636566226851852,0.4774639452608659
2024-01-20,0,0.7519392,0.40902777777777777,-1.9579716666666664,-7.245506333333333,-4.630826746527777,0.32136761380909024
2024-01-21,0,3.36762,0.4124305555555556,2.1428766666666665,-5.440963333333333,-2.111745505787037,0.3660966804685626
2024-01-22,7.603,3.5340444000000004,0.3562638888888889,7.008344666666666,-2.54806,1.8198257083333333,0.5287633307706525
2024-01-23,0.9550000000000001,2.5297326,0.4139583333333333,7.487136166666667,2.6657583333333337,4.809255648148148,0.7497787361850505
2024-01-24,0.006,4.07667,0.30822222222222223,11.385919999999999,2.8420300000000003,7.437576363425926,0.8939921714423286
2024-01-25,0,0.9343859999999999,0.4913125,13.180673333333333,3.6703916666666667,8.963732672453704,0.8799655236378199
2024-01-26,2.22,2.7491202,0.3943333333333333,9.407631333333335,1.5849216666666668,5.882821344907407,0.8252083231055494
2024-01-27,0,0.8471706000000001,0.5024583333333333,6.336291666666666,1.3286166666666666,4.041922023148148,0.7345087569672399
2024-01-28,0,0.9905130000000001,0.5665277777777777,6.420941333333333,-0.64027,2.663577503472222,0.4687517856930772
2024-01-29,0,3.1981038,0.49698611111111113,9.002551333333333,1.3091,4.2543611192129624,0.538931832086778
2024-01-30,0,3.3936078000000003,0.4536736111111111,8.251699166666667,1.0721183333333333,3.7567520208333334,0.5930520371685342
2024-01-31,0,3.4562724,0.4434444444444444,8.5640365,-0.352035,3.3233188136574077,0.584184086935929
2024-02-01,0,3.093468,0.40875,7.195341333333333,-0.42674500000000004,3.0593896400462963,0.6250716647309321
2024-02-02,0,3.0821556000000006,0.325,7.635827833333334,1.139715,4.147412618055556,0.6940405871091546
2024-02-03,0,2.386242,0.5765,8.321333166666667,0.30671333333333334,3.449267232638889,0.6326859551602652
2024-02-04,0,2.8087374,0.6088333333333333,9.572591166666665,-0.21506833333333333,3.5265101689814813,0.6299223665310791
2024-02-05,0,3.3701423999999998,0.5608611111111111,10.791889833333332,0.6498933333333333,4.113121505787037,0.6100844937027619
2024-02-06,0,4.1512932000000005,0.5529097222222222,9.6820565,0.25078333333333336,3.6092042060185188,0.5573635984770393
2024-02-07,0,3.4851870000000003,0.3829402985074627,7.258967999999999,-0.6935883333333333,3.2171616099537035,0.640093701564366
2024-02-08,0,5.823254400000001,0.2673623188405797,11.82925,3.043448333333333,7.464082142361111,0.8272326867220259
2024-02-09,0,3.1658226,0.39021951219512196,12.413699999999999,6.435396666666667,9.507622297453704,0.7809655713167171
2024-02-10,0,6.222787800000001,1,14.587175,7.480243,11.49178437037037,0.6724224408855546
2024-02-11,0,5.9035458,0.6394444444444445,10.959176666666668,4.52805,6.884112665509259,0.6729098139942378
2024-02-12,0,6.2507244,0.47095555555555557,10.041830000000001,0.17977833333333332,5.14024425462963,0.6376574522634717
2024-02-13,0,6.533087399999999,0.5249375,10.353625000000001,0.46976666666666667,4.717675945601852,0.5678971165670024
2024-02-14,0,5.5107096,0.3316527777777778,11.935881666666667,0.35426,5.768402368055556,0.5252467719127399
2024-02-15,0,6.3329868,0.40568055555555554,14.941546666666667,2.3073483333333336,8.09841569212963,0.6446106217155552
2024-02-16,0,6.6696425999999995,0.46158333333333335,14.42881,4.395725,8.639346731481481,0.7272061001596134
