dates,treatment,VPD,tmax,tmin,tmean,Es,Ea
2024-01-01,control,0.015581486111111114,2.76309,-1.0807333333333333,0.7564324537037037,0.6468010904123834,0.6312196043012723
2024-01-01,irrigation_vpd,0.025477354166666667,2.809255,-0.81419,1.0657681388888889,0.6611127168634156,0.6356353626967489
2024-01-02,control,0.10733892824074075,6.169726666666667,-0.7943533333333334,2.476633081018518,0.7373084578346069,0.6299695295938661
2024-01-02,irrigation_vpd,0.12963466666666665,6.212215,-0.69089,2.7161305694444446,0.7491086502217174,0.6194739835550508
2024-01-03,control,0.07132649305555556,8.425252666666667,-0.10393333333333334,4.082324159722223,0.8283758381963136,0.7570493451407581
2024-01-03,irrigation_vpd,0.11355205555555563,8.957675,-0.001635,4.580843638888888,0.8615371514509853,0.7479850958954297
2024-01-04,control,0.10802225231481481,7.464113,2.3567133333333334,4.898372451388889,0.8697826240701504,0.7617603717553356
2024-01-04,irrigation_vpd,0.128810375,7.62881,2.730055,5.117527333333333,0.8828294678094056,0.7540190928094056
2024-01-05,control,0.06362133564814815,5.56909,0.7819666666666667,2.777034275462963,0.7482024567398669,0.6845811210917186
2024-01-05,irrigation_vpd,0.07716497222222223,5.590605,0.88452,2.9190446666666667,0.7553380823344651,0.6781731101122429
2024-01-06,control,0.07086498148148149,4.932383333333333,0.90803,2.938538509259259,0.7563345294815865,0.6854695480001051
2024-01-06,irrigation_vpd,0.07823209722222225,4.908705,1.171115,3.0155679097222223,0.7602882621138917,0.6820561648916694
2024-01-07,control,0.09124647453703703,4.8743533333333335,0.28724666666666665,1.9224002754629628,0.7052693042791494,0.6140228297421123
2024-01-07,irrigation_vpd,0.10583664583333333,4.7346,0.658275,2.1796846666666663,0.7175509267288047,0.6117142808954714
2024-01-08,control,0.10127594444444445,2.2779,-1.1903333333333332,0.2968350740740741,0.6258923085608457,0.5246163641164012
2024-01-08,irrigation_vpd,0.10120719444444444,2.060405,-1.2663,0.24421943055555556,0.6235928543924505,0.522385659948006
2024-01-09,control,0.09744659490740741,2.38191,-1.6171,-0.3700074930555558,0.59675145326112,0.4993048583537126
2024-01-09,irrigation_vpd,0.09686504166666667,2.32684,-1.69629,-0.38943906250000015,0.5958997565736885,0.49903471490702184
2024-01-10,control,0.07895685416666669,4.021846666666667,-2.7803733333333334,0.04387224537037056,0.6200027388420365,0.5410458846753698
