dates,treatment,VPD,tmax,tmin,tmean
2024-01-01,control,0.01591022800925926,2.800666666666667,-1.1073333333333333,0.7383171296296296
2024-01-01,irrigation,0.013756995833333334,2.760333333333333,-1.094,0.7333476851851852
2024-01-01,irrigation_vpd,0.014090722453703703,2.81,-1.0943333333333334,0.7404020833333333
2024-01-01,roof,0.014392950231481481,2.7546666666666666,-1.174,0.7175020833333333
2024-01-01,roof_vpd,0.011427375694444445,2.7583333333333333,-1.2026666666666668,0.6699115740740741
2024-01-02,control,0.1070613625,6.197666666666667,-0.816,2.499136574074074
2024-01-02,irrigation,0.10139101203703704,6.041333333333333,-0.8463333333333334,2.4497314814814817
2024-01-02,irrigation_vpd,0.10628704282407407,6.107,-0.8126666666666666,2.4864925925925925
2024-01-02,roof,0.1054262349537037,6.2156666666666665,-0.8626666666666667,2.5315497685185187
2024-01-02,roof_vpd,0.09925840671296296,6.184666666666667,-0.9063333333333333,2.4736203703703703
2024-01-03,control,0.07158560347222222,8.581333666666668,-0.20833333333333334,4.093533798611111
2024-01-03,irrigation,0.06233254236111111,8.446000333333334,-0.145,4.015755324768518
2024-01-03,irrigation_vpd,0.06435533796296296,8.671333,-0.089,4.035956018287037
2024-01-03,roof,0.062288833333333335,8.486333333333333,-0.26066666666666666,4.009325463425926
2024-01-03,roof_vpd,0.05683421782407407,8.342333333333332,-0.23833333333333334,3.9601347229166666
2024-01-04,control,0.10854663425925926,7.485666666666667,2.1056666666666666,4.879595138888889
2024-01-04,irrigation,0.09600009305555555,7.187666666666667,1.9446666666666668,4.770382407407407
2024-01-04,irrigation_vpd,0.10469468032407407,7.305,2.204,4.84373125
2024-01-04,roof,0.10339189490740741,7.471666666666667,2.018666666666667,4.874275925925926
2024-01-04,roof_vpd,0.09782887731481482,7.3533333333333335,1.9023333333333332,4.841952314814815
2024-01-05,control,0.06279268055555555,5.601333333333334,0.7433333333333333,2.779266435185185
2024-01-05,irrigation,0.060756583333333336,5.537333333333334,0.7653333333333333,2.7728030092592593
2024-01-05,irrigation_vpd,0.06408579583333333,5.581,0.7503333333333333,2.783699074074074
2024-01-05,roof,0.05854641180555555,5.6353333333333335,0.599,2.747453935185185
2024-01-05,roof_vpd,0.05545721689814815,5.637666666666667,0.558,2.7340060185185187
2024-01-06,control,0.0712063738425926,4.943,0.6913333333333334,2.926840509259259
2024-01-06,irrigation,0.06424323726851852,4.775333333333333,0.68,2.8689425925925924
2024-01-06,irrigation_vpd,0.06944433611111112,4.861666666666666,0.7273333333333334,2.896048148148148
2024-01-06,roof,0.06484486226851852,4.831333333333333,0.5703333333333334,2.864788425925926
2024-01-06,roof_vpd,0.0645431099537037,4.890333333333333,0.484,2.8758662037037035
2024-01-07,control,0.09137497523148148,4.905,0.2633333333333333,1.9270824074074073
2024-01-07,irrigation,0.0868984423611111,4.78,0.27566666666666667,1.8876761574074075
2024-01-07,irrigation_vpd,0.09160065439814814,4.786,0.31733333333333336,1.9139155092592592
2024-01-07,roof,0.08530697592592593,4.884,0.16,1.8687516203703705
2024-01-07,roof_vpd,0.08222334328703704,4.8726666666666665,0.164,1.8549944444444444
2024-01-08,control,0.10136367916666666,2.293,-1.2053333333333334,0.2801652777777778
2024-01-08,irrigation,0.09902773518518518,2.312333333333333,-1.165,0.27513796296296295
2024-01-08,irrigation_vpd,0.1023422724537037,2.2636666666666665,-1.1796666666666666,0.2671025462962963
2024-01-08,roof,0.09632763518518518,2.2876666666666665,-1.2693333333333334,0.23158726851851852
2024-01-08,roof_vpd,0.09520993379629629,2.287333333333333,-1.2266666666666666,0.24701087962962964
2024-01-09,control,0.09713582037037037,2.43,-1.637,-0.3712284722222222
