date,sensor_loc,sapflow,month,year
2021-05-07,root,0.2218625,5,2021
2021-05-07,stem,0.2589833333333333,5,2021
2021-05-08,root,1.1822916666666667,5,2021
2021-05-08,stem,1.4980833333333332,5,2021
2021-05-09,root,1.6568958333333332,5,2021
2021-05-09,stem,1.9770833333333333,5,2021
2021-05-10,root,1.4543125,5,2021
2021-05-10,stem,1.8029166666666667,5,2021
2021-05-11,root,0.5357083333333333,5,2021
2021-05-11,stem,0.6036666666666667,5,2021
2021-05-12,root,1.5951875,5,2021
2021-05-12,stem,1.8806666666666667,5,2021
2021-05-13,root,1.3616458333333334,5,2021
2021-05-13,stem,1.6909999999999998,5,2021
2021-05-14,root,1.4369375,5,2021
2021-05-14,stem,1.7571666666666668,5,2021
2021-05-15,root,0.6438541666666666,5,2021
2021-05-15,stem,0.8165,5,2021
2021-05-16,root,0.38829166666666665,5,2021
2021-05-16,stem,0.43274999999999997,5,2021
2021-05-17,root,0.7673125,5,2021
2021-05-17,stem,0.958,5,2021
2021-05-18,root,1.1924166666666667,5,2021
2021-05-18,stem,1.3601666666666667,5,2021
2021-05-19,root,1.1771666666666667,5,2021
2021-05-19,stem,1.4192500000000001,5,2021
2021-05-20,root,1.5689583333333332,5,2021
2021-05-20,stem,1.7695,5,2021
2021-05-21,root,1.1120208333333332,5,2021
2021-05-21,stem,1.4195833333333332,5,2021
2021-05-22,root,1.6860833333333334,5,2021
2021-05-22,stem,1.736,5,2021
2021-05-23,root,1.9887708333333334,5,2021
2021-05-23,stem,2.0555000000000003,5,2021
2021-05-24,root,1.4646041666666667,5,2021
2021-05-24,stem,1.802,5,2021
2021-05-25,root,1.9614791666666667,5,2021
2021-05-25,stem,2.0581666666666667,5,2021
2021-05-26,root,2.2059375,5,2021
2021-05-26,stem,2.2445,5,2021
2021-05-27,root,2.0976875,5,2021
2021-05-27,stem,2.1985833333333336,5,2021
2021-05-28,root,2.5109791666666665,5,2021
2021-05-28,stem,2.437666666666667,5,2021
2021-05-29,root,2.4253333333333336,5,2021
2021-05-29,stem,2.37725,5,2021
2021-05-30,root,2.654583333333333,5,2021
2021-05-30,stem,2.4881666666666664,5,2021
2021-05-31,root,2.6292916666666666,5,2021
2021-05-31,stem,2.454416666666667,5,2021
2021-06-01,root,2.9288541666666665,6,2021
2021-06-01,stem,2.65875,6,2021
2021-06-02,root,1.8679166666666667,6,2021
2021-06-02,stem,1.8328333333333333,6,2021
2021-06-03,root,2.4958958333333334,6,2021
2021-06-03,stem,2.3041666666666667,6,2021
2021-06-04,root,2.5563125,6,2021
2021-06-04,stem,2.2263333333333333,6,2021
2021-06-05,root,1.01575,6,2021
2021-06-05,stem,0.9485833333333333,6,2021
2021-06-06,root,2.447,6,2021
2021-06-06,stem,2.0852500000000003,6,2021
2021-06-07,root,2.0937916666666667,6,2021
2021-06-07,stem,1.7995833333333333,6,2021
2021-06-08,root,1.8835833333333334,6,2021
2021-06-08,stem,1.6875,6,2021
2021-06-09,root,1.9449166666666666,6,2021
2021-06-09,stem,1.7048333333333332,6,2021
2021-06-10,root,2.6384375,6,2021
2021-06-10,stem,2.3691666666666666,6,2021
2021-06-11,root,3.2115,6,2021
2021-06-11,stem,2.683,6,2021
2021-06-12,root,3.292,6,2021
2021-06-12,stem,2.7691666666666666,6,2021
2021-06-13,root,3.155452380952381,6,2021
2021-06-13,stem,2.6824166666666667,6,2021
2021-06-14,root,3.261595238095238,6,2021
2021-06-14,stem,2.794833333333333,6,2021
2021-06-15,root,3.345952380952381,6,2021
2021-06-15,stem,2.92625,6,2021
2021-06-16,root,3.3544761904761904,6,2021
2021-06-16,stem,2.962083333333333,6,2021
2021-06-17,root,3.3422619047619047,6,2021
2021-06-17,stem,2.9827500000000002,6,2021
2021-06-18,root,3.1143333333333336,6,2021
2021-06-18,stem,2.7841666666666667,6,2021
2021-06-19,root,2.9800476190476193,6,2021
2021-06-19,stem,2.7291666666666665,6,2021
2021-06-20,root,2.2417857142857143,6,2021
2021-06-20,stem,2.1511666666666667,6,2021
2021-06-21,root,2.4849047619047617,6,2021
2021-06-21,stem,2.19175,6,2021
2021-06-22,root,1.921857142857143,6,2021
2021-06-22,stem,1.74625,6,2021
2021-06-23,root,1.9510476190476191,6,2021
2021-06-23,stem,1.63625,6,2021
2021-06-24,root,1.3497857142857144,6,2021
2021-06-24,stem,1.07975,6,2021
2021-06-25,root,2.139642857142857,6,2021
2021-06-25,stem,1.75075,6,2021
2021-06-26,root,2.817833333333333,6,2021
2021-06-26,stem,2.339166666666667,6,2021
2021-06-27,root,2.768809523809524,6,2021
2021-06-27,stem,2.4250833333333333,6,2021
2021-06-28,root,2.6552380952380954,6,2021
2021-06-28,stem,2.3288333333333333,6,2021
2021-06-29,root,1.9381190476190475,6,2021
2021-06-29,stem,1.8203333333333336,6,2021
2021-06-30,root,2.2833428571428573,6,2021
2021-06-30,stem,2.0541666666666667,6,2021
2021-07-01,root,1.874404761904762,7,2021
2021-07-01,stem,1.7575833333333335,7,2021
2021-07-02,root,2.7845714285714287,7,2021
2021-07-02,stem,2.4844166666666667,7,2021
2021-07-03,root,1.2268809523809523,7,2021
2021-07-03,stem,1.3223333333333334,7,2021
2021-07-04,root,0.8647857142857143,7,2021
2021-07-04,stem,1.2738333333333334,7,2021
2021-07-05,root,1.996190476190476,7,2021
2021-07-05,stem,2.0789999999999997,7,2021
2021-07-06,root,2.2080238095238096,7,2021
2021-07-06,stem,1.95375,7,2021
2021-07-07,root,0.9327619047619048,7,2021
2021-07-07,stem,0.7613333333333334,7,2021
2021-07-08,root,0.9657619047619047,7,2021
2021-07-08,stem,0.6846666666666666,7,2021
2021-07-09,root,2.366833333333333,7,2021
2021-07-09,stem,1.9501666666666668,7,2021
2021-07-10,root,2.7122619047619048,7,2021
2021-07-10,stem,2.154583333333333,7,2021
2021-07-11,root,2.2548095238095236,7,2021
2021-07-11,stem,1.802166666666667,7,2021
2021-07-12,root,2.636047619047619,7,2021
2021-07-12,stem,2.1361666666666665,7,2021
2021-07-13,root,0.40614285714285714,7,2021
2021-07-13,stem,0.2431666666666667,7,2021
2021-07-14,root,0.9651666666666666,7,2021
2021-07-14,stem,0.8759166666666667,7,2021
2021-07-15,root,0.2949761904761905,7,2021
2021-07-15,stem,0.15175000000000005,7,2021
2021-07-16,root,1.759809523809524,7,2021
2021-07-16,stem,1.49825,7,2021
2021-07-17,root,2.606261904761905,7,2021
2021-07-17,stem,2.215,7,2021
2021-07-18,root,2.7397619047619046,7,2021
2021-07-18,stem,2.31625,7,2021
2021-07-19,root,2.9229690476190475,7,2021
2021-07-19,stem,2.4616333333333333,7,2021
2021-07-20,root,2.7087291666666666,7,2021
2021-07-20,stem,2.516,7,2021
2021-07-21,root,2.7688333333333333,7,2021
2021-07-21,stem,2.4987500000000002,7,2021
2021-07-22,root,2.6811458333333333,7,2021
2021-07-22,stem,2.4387499999999998,7,2021
2021-07-23,root,2.5882083333333332,7,2021
2021-07-23,stem,2.3665000000000003,7,2021
2021-07-24,root,2.3147291666666665,7,2021
2021-07-24,stem,2.1883333333333335,7,2021
2021-07-25,root,2.3473125,7,2021
2021-07-25,stem,2.1535,7,2021
2021-07-26,root,2.2,7,2021
2021-07-26,stem,2.0436666666666667,7,2021
2021-07-27,root,1.9934166666666666,7,2021
2021-07-27,stem,1.8421666666666667,7,2021
2021-07-28,root,1.6376041666666667,7,2021
2021-07-28,stem,1.5529166666666665,7,2021
2021-07-29,root,2.386625,7,2021
2021-07-29,stem,2.16425,7,2021
2021-07-30,root,1.9838125,7,2021
2021-07-30,stem,1.796,7,2021
2021-07-31,root,1.8019791666666667,7,2021
2021-07-31,stem,1.517,7,2021
2021-08-01,root,1.6316041666666667,8,2021
2021-08-01,stem,1.4089166666666668,8,2021
2021-08-02,root,2.2491666666666665,8,2021
2021-08-02,stem,1.9550833333333333,8,2021
2021-08-03,root,1.7725416666666667,8,2021
2021-08-03,stem,1.5836666666666666,8,2021
2021-08-04,root,0.23060416666666667,8,2021
2021-08-04,stem,0.048416666666666705,8,2021
2021-08-05,root,1.5363333333333333,8,2021
2021-08-05,stem,1.43275,8,2021
2021-08-06,root,2.3950416666666667,8,2021
2021-08-06,stem,2.132083333333333,8,2021
2021-08-07,root,1.3336875,8,2021
2021-08-07,stem,1.1424166666666666,8,2021
2021-08-08,root,2.0471041666666667,8,2021
2021-08-08,stem,1.7931666666666666,8,2021
2021-08-09,root,2.4088958333333332,8,2021
2021-08-09,stem,2.140416666666667,8,2021
2021-08-10,root,2.6812708333333335,8,2021
2021-08-10,stem,2.40825,8,2021
2021-08-11,root,2.482375,8,2021
2021-08-11,stem,2.2500833333333334,8,2021
2021-08-12,root,2.5701875,8,2021
2021-08-12,stem,2.274,8,2021
2021-08-13,root,2.267354166666667,8,2021
2021-08-13,stem,2.03875,8,2021
2021-08-14,root,2.649958333333333,8,2021
2021-08-14,stem,2.4154999999999998,8,2021
2021-08-15,root,2.7322708333333336,8,2021
2021-08-15,stem,2.540916666666667,8,2021
2021-08-16,root,1.7692708333333333,8,2021
2021-08-16,stem,1.69725,8,2021
2021-08-17,root,2.2529791666666665,8,2021
2021-08-17,stem,2.14575,8,2021
2021-08-18,root,2.236083333333333,8,2021
2021-08-18,stem,2.110333333333333,8,2021
2021-08-19,root,2.1341666666666668,8,2021
2021-08-19,stem,2.00025,8,2021
2021-08-20,root,2.215875,8,2021
2021-08-20,stem,2.1335,8,2021
2021-08-21,root,2.4385416666666666,8,2021
2021-08-21,stem,2.3968333333333334,8,2021
2021-08-22,root,1.6593541666666667,8,2021
2021-08-22,stem,1.8198333333333334,8,2021
2021-08-23,root,2.148645833333333,8,2021
2021-08-23,stem,2.18,8,2021
2021-08-24,root,2.0285208333333333,8,2021
2021-08-24,stem,2.067,8,2021
2021-08-25,root,1.9374375,8,2021
2021-08-25,stem,1.97275,8,2021
2021-08-26,root,1.9089583333333333,8,2021
2021-08-26,stem,2.0108333333333333,8,2021
2021-08-27,root,1.9784583333333334,8,2021
2021-08-27,stem,2.130333333333333,8,2021
2021-08-28,root,1.6106666666666667,8,2021
2021-08-28,stem,1.8683333333333334,8,2021
2021-08-29,root,1.7014583333333333,8,2021
2021-08-29,stem,1.9217499999999998,8,2021
2021-08-30,root,1.4315125000000002,8,2021
2021-08-30,stem,1.7294166666666666,8,2021
2021-08-31,root,1.5425125,8,2021
2021-08-31,stem,1.8254666666666668,8,2021
2021-09-01,root,1.6452291666666667,9,2021
2021-09-01,stem,1.8952499999999999,9,2021
2021-09-02,root,1.6403333333333334,9,2021
2021-09-02,stem,1.9293333333333331,9,2021
2021-09-03,root,1.4128125,9,2021
2021-09-03,stem,1.85575,9,2021
2021-09-04,root,1.1206458333333333,9,2021
2021-09-04,stem,1.6393333333333335,9,2021
2021-09-05,root,1.4533749999999999,9,2021
2021-09-05,stem,1.8523333333333332,9,2021
2021-09-06,root,1.3402083333333334,9,2021
2021-09-06,stem,1.8755833333333332,9,2021
2021-09-07,root,1.2499166666666666,9,2021
2021-09-07,stem,1.8594166666666667,9,2021
2021-09-08,root,1.1655416666666667,9,2021
2021-09-08,stem,1.8441666666666665,9,2021
2021-09-09,root,1.0548333333333333,9,2021
2021-09-09,stem,1.7121666666666666,9,2021
2021-09-10,root,0.3272083333333333,9,2021
2021-09-10,stem,0.7968333333333333,9,2021
2021-09-11,root,0.7952708333333333,9,2021
2021-09-11,stem,1.33625,9,2021
2021-09-12,root,0.8679583333333333,9,2021
2021-09-12,stem,1.5775833333333333,9,2021
2021-09-13,root,0.8521041666666667,9,2021
