horizon,upper,lower,thickness,gravel,texture,sand,silt,clay,bd,c_org,ths,thr,alpha,npar,mpar,ksat,tort,sat_vol,fc_vol,pwp_vol,res_vol,awc_vol,awc_mm
Ah,0,-0.08,0.08,0.05,Lu,18.95,57.7,23.35,0.659,6.654000000000001,0.4284,0.0534,4.321,1.16518,0.14176350435125906,826.8000000000001,-3.227,0.42705259216376,0.3592459069077112,0.18093315575382934,0.0973688839225736,0.17831275115388184,13.551769087695021
AC,-0.08,-0.2,0.12,0.375,Lu,15.85,61.55,22.6,0.71,2.4579999999999997,0.4284,0.0534,4.321,1.16518,0.14176350435125906,826.8000000000001,-3.227,0.42705259216376,0.3592459069077112,0.18093315575382934,0.0973688839225736,0.17831275115388184,13.373456336541137
C,-0.2,-0.35,0.15,0.375,Lu,19.35,61.05,19.6,0.767,1.133,0.4284,0.0534,4.321,1.16518,0.14176350435125906,826.8000000000001,-3.227,0.42705259216376,0.3592459069077112,0.18093315575382934,0.0973688839225736,0.17831275115388184,16.71682042067642
C,-0.35,-0.5,0.15,0.375,Ut2,22.45,65.55,12,0.955,1.159,0.4001,0.0101,1.8679999999999999,1.22068,0.1807844807812039,292.62,-1.382,0.39955531324093085,0.347739298643618,0.12117371151962693,0.036877937900820855,0.2265655871239911,21.240523792874168
C,-0.5,-0.8,0.3,0.375,Ut2,23,67.55,9.45,1.005,0.692,0.4001,0.0101,1.8679999999999999,1.22068,0.1807844807812039,292.62,-1.382,0.39955531324093085,0.347739298643618,0.12117371151962693,0.036877937900820855,0.2265655871239911,42.481047585748335
C,-0.8,-1.55,0.75,0.625,Su2,84.4,10.8,4.8,1.249,0.273,0.3786,0,20.387,1.23473,0.19010633903768437,2854.91,-3.339,0.36926376884694306,0.2062907436849384,0.056810977794084845,0.012507949029434794,0.14947976589085357,42.041184156802565
C,-1.55,-1.6500000000000001,0.1,0.175,Sl3,71.9,16.5,11.6,1.376,2.1550000000000002,0.3952,0.0519,7.097,1.35096,0.2597856339195831,897.79,0,0.3927421361566276,0.24841379385922718,0.0810654734274153,0.054935152999471305,0.1673483204318119,13.80623643562448
