date,sensor_loc,TWD_pd,TWD_md,MDS,TWD_pdn,MDS_norm,LWP_md,LWP_pd,year,month
2021-08-04,stem,70.85935766666667,54.72929966666666,-16.130058000000002,0.555884891037227,-0.1232545686349338,-0.963489701036431,,2021,8
2021-08-05,root,9.190980375,16.925032,7.734051625,0.10970106859815852,0.07310259788751197,,,2021,8
2021-08-05,stem,30.5868745,63.016985,32.4301105,0.2467768660900764,0.23099032382249932,-1.0109427456598197,,2021,8
2021-08-06,root,15.023602375,34.569174125,19.54557175,0.16714104466255747,0.19450089198040063,,,2021,8
2021-08-06,stem,66.89700566666667,152.87491683333334,85.97791116666667,0.5072682374384172,0.6479173696379803,-1.5721283021961354,,2021,8
2021-08-07,root,23.3544555,30.061505875,6.707050375000001,0.25091886009149356,0.06847726725617294,,,2021,8
2021-08-07,stem,135.60614533333333,159.53518716666667,23.929041833333333,1.0264244874956305,0.18270595805615827,-1.6160754629073437,-0.21340018435534708,2021,8
2021-08-08,root,8.759566375,25.5690165,16.809450125,0.10267927170081013,0.16922086042586967,,,2021,8
2021-08-08,stem,40.08232916666667,108.8264875,68.74415833333333,0.31672735877546593,0.5062613233050881,-1.2974197500628404,,2021,8
2021-08-09,root,19.220034375,38.062302375,18.842268,0.20819713980685775,0.19358693021624543,,,2021,8
2021-08-09,stem,104.99183083333332,179.54319566666666,74.55136483333334,0.7981518030529611,0.5585980892149957,-1.742094575385691,,2021,8
2021-08-10,root,23.567321375,40.43348375,16.866162375,0.25115611569983376,0.17344423814078802,,,2021,8
2021-08-10,stem,165.21471433333335,211.66305333333332,46.448339,1.2506418613518882,0.352279702302046,-1.9436698609663723,-0.46501803133456027,2021,8
2021-08-11,root,24.429707,38.49096025,14.06125325,0.264852091940669,0.13998162490228305,,,2021,8
2021-08-11,stem,187.69377733333334,216.00033033333332,28.306552999999994,1.4242636049224677,0.2139724689069396,-1.9723310616819862,-0.6591896300098754,2021,8
2021-08-12,root,25.3809885,42.166898,16.785909500000002,0.2740783486166752,0.16953816387726148,,,2021,8
2021-08-12,stem,195.539538,235.80022316666668,40.26068516666666,1.4837596078689388,0.3046669918957206,-2.0964550032561187,-0.7460129336199846,2021,8
2021-08-13,root,19.126943875,24.772269625,5.64532575,0.2115995841358958,0.05514359098769416,,,2021,8
2021-08-13,stem,135.38351416666666,191.53925966666668,56.1557455,1.0599939527212454,0.4048042647299745,-1.821611067735595,-0.5458494167397375,2021,8
2021-08-14,root,18.677143625,36.147871,17.470727375,0.20454161427650247,0.17524667559981966,,,2021,8
