date,depth,messvar_name,SWP
2018-04-30,-0.05,PsiSoil05_kPa_Avg,-9.912308291666667
2018-04-30,-0.15,PsiSoil15_kPa_Avg,-9.503689166666666
2018-04-30,-0.45,PsiSoil45_kPa_Avg,-10.625307430555555
2018-05-01,-0.05,PsiSoil05_kPa_Avg,-9.849665583333334
2018-05-01,-0.15,PsiSoil15_kPa_Avg,-9.523904784722221
2018-05-01,-0.45,PsiSoil45_kPa_Avg,-10.668132916666666
2018-05-02,-0.05,PsiSoil05_kPa_Avg,-9.798720423611112
2018-05-02,-0.15,PsiSoil15_kPa_Avg,-9.541278243055556
2018-05-02,-0.45,PsiSoil45_kPa_Avg,-10.705717986111111
2018-05-03,-0.05,PsiSoil05_kPa_Avg,-9.798886020833333
2018-05-03,-0.15,PsiSoil15_kPa_Avg,-9.564911347222223
2018-05-03,-0.45,PsiSoil45_kPa_Avg,-10.735778125
2018-05-04,-0.05,PsiSoil05_kPa_Avg,-9.758839034722222
2018-05-04,-0.15,PsiSoil15_kPa_Avg,-9.585402840277778
2018-05-04,-0.45,PsiSoil45_kPa_Avg,-10.748690694444445
2018-05-05,-0.05,PsiSoil05_kPa_Avg,-9.814154895833333
2018-05-05,-0.15,PsiSoil15_kPa_Avg,-9.644475229166666
2018-05-05,-0.45,PsiSoil45_kPa_Avg,-10.767998055555555
2018-05-06,-0.05,PsiSoil05_kPa_Avg,-10.12983651388889
2018-05-06,-0.15,PsiSoil15_kPa_Avg,-9.762780722222223
2018-05-06,-0.45,PsiSoil45_kPa_Avg,-10.778613958333333
2018-05-07,-0.05,PsiSoil05_kPa_Avg,-10.304478020833333
2018-05-07,-0.15,PsiSoil15_kPa_Avg,-9.933908527777778
2018-05-07,-0.45,PsiSoil45_kPa_Avg,-10.8021075
2018-05-08,-0.05,PsiSoil05_kPa_Avg,-9.713433
2018-05-08,-0.15,PsiSoil15_kPa_Avg,-10.173458510638298
2018-05-08,-0.45,PsiSoil45_kPa_Avg,-10.891475744680852
2018-05-09,-0.05,PsiSoil05_kPa_Avg,-9.75833504861111
2018-05-09,-0.15,PsiSoil15_kPa_Avg,-10.188407777777778
2018-05-09,-0.45,PsiSoil45_kPa_Avg,-10.905000208333334
2018-05-10,-0.05,PsiSoil05_kPa_Avg,-9.753846159722222
2018-05-10,-0.15,PsiSoil15_kPa_Avg,-10.274496805555556
2018-05-10,-0.45,PsiSoil45_kPa_Avg,-10.905539305555555
2018-05-11,-0.05,PsiSoil05_kPa_Avg,-9.7343555
2018-05-11,-0.15,PsiSoil15_kPa_Avg,-10.396864027777777
2018-05-11,-0.45,PsiSoil45_kPa_Avg,-10.906561319444444
2018-05-12,-0.05,PsiSoil05_kPa_Avg,-9.75661542361111
2018-05-12,-0.15,PsiSoil15_kPa_Avg,-10.651962847222222
2018-05-12,-0.45,PsiSoil45_kPa_Avg,-10.916593333333333
2018-05-13,-0.05,PsiSoil05_kPa_Avg,-9.962294069444445
2018-05-13,-0.15,PsiSoil15_kPa_Avg,-11.173249930555556
2018-05-13,-0.45,PsiSoil45_kPa_Avg,-10.918698125
2018-05-14,-0.05,PsiSoil05_kPa_Avg,-10.066799847222223
2018-05-14,-0.15,PsiSoil15_kPa_Avg,-11.796717152777777
2018-05-14,-0.45,PsiSoil45_kPa_Avg,-10.944290625
2018-05-15,-0.05,PsiSoil05_kPa_Avg,-9.868823125
2018-05-15,-0.15,PsiSoil15_kPa_Avg,-10.991252666666666
2018-05-15,-0.45,PsiSoil45_kPa_Avg,-10.846709861111112
2018-05-16,-0.05,PsiSoil05_kPa_Avg,-9.809274986111111
2018-05-16,-0.15,PsiSoil15_kPa_Avg,-9.829208833333333
2018-05-16,-0.45,PsiSoil45_kPa_Avg,-10.780150555555556
2018-05-17,-0.05,PsiSoil05_kPa_Avg,-9.786206902777778
2018-05-17,-0.15,PsiSoil15_kPa_Avg,-9.808029472222222
2018-05-17,-0.45,PsiSoil45_kPa_Avg,-10.870805486111111
2018-05-18,-0.05,PsiSoil05_kPa_Avg,-9.735807263888889
