date,depth,SWC
2020-05-05,800,0.44578823529411765
2020-05-05,500,0.3876904761904762
2020-05-05,150,0.24488235294117647
2020-05-06,800,0.4574444444444445
2020-05-06,500,0.3972152777777778
2020-05-06,150,0.25859722222222226
2020-05-07,800,0.45372222222222225
2020-05-07,500,0.39743055555555556
2020-05-07,150,0.26181944444444444
2020-05-08,800,0.4519513888888889
2020-05-08,500,0.39840972222222226
2020-05-08,150,0.25653472222222223
2020-05-09,800,0.4513402777777778
2020-05-09,500,0.3989930555555556
2020-05-09,150,0.2529652777777778
2020-05-10,800,0.45183333333333336
2020-05-10,500,0.399
2020-05-10,150,0.2507152777777778
2020-05-11,800,0.45172222222222225
2020-05-11,500,0.39900694444444446
2020-05-11,150,0.24886111111111112
2020-05-12,800,0.4510138888888889
2020-05-12,500,0.39925
2020-05-12,150,0.24756944444444445
2020-05-13,800,0.4564166666666667
2020-05-13,500,0.399
2020-05-13,150,0.24625694444444443
2020-05-14,800,0.4560138888888889
2020-05-14,500,0.39870833333333333
2020-05-14,150,0.24553472222222222
2020-05-15,800,0.46117361111111116
2020-05-15,500,0.3988263888888889
2020-05-15,150,0.24547916666666666
2020-05-16,800,0.4642847222222222
2020-05-16,500,0.3983888888888889
2020-05-16,150,0.24695138888888887
2020-05-17,800,0.4647638888888889
2020-05-17,500,0.4005486111111111
2020-05-17,150,0.24897222222222223
2020-05-18,800,0.46316666666666667
2020-05-18,500,0.4019652777777778
2020-05-18,150,0.24895138888888887
2020-05-19,800,0.4622638888888889
2020-05-19,500,0.402
2020-05-19,150,0.248
2020-05-20,800,0.46097222222222223
2020-05-20,500,0.4014930555555556
2020-05-20,150,0.24753472222222223
2020-05-21,800,0.45948611111111115
2020-05-21,500,0.4008402777777778
2020-05-21,150,0.24661111111111111
2020-05-22,800,0.45863888888888893
2020-05-22,500,0.40020833333333333
2020-05-22,150,0.246
2020-05-23,800,0.45856250000000004
2020-05-23,500,0.39979861111111115
2020-05-23,150,0.24521527777777777
2020-05-24,800,0.4569930555555556
2020-05-24,500,0.39919444444444446
2020-05-24,150,0.245
2020-05-25,800,0.4549652777777778
2020-05-25,500,0.39850694444444446
2020-05-25,150,0.24444444444444444
2020-05-26,800,0.4575277777777778
2020-05-26,500,0.3978680555555556
2020-05-26,150,0.24377777777777776
2020-05-27,800,0.4578263888888889
2020-05-27,500,0.39725
2020-05-27,150,0.243
2020-05-28,800,0.4565763888888889
2020-05-28,500,0.3967777777777778
2020-05-28,150,0.24262499999999998
2020-05-29,800,0.4554166666666667
2020-05-29,500,0.3961527777777778
2020-05-29,150,0.242
2020-05-30,800,0.454
2020-05-30,500,0.3955486111111111
2020-05-30,150,0.24129861111111112
2020-05-31,800,0.4529236111111111
2020-05-31,500,0.3948541666666667
2020-05-31,150,0.241
2020-06-01,800,0.45200694444444445
2020-06-01,500,0.3942361111111111
2020-06-01,150,0.24054861111111112
2020-06-02,800,0.45172222222222225
2020-06-02,500,0.3935138888888889
2020-06-02,150,0.24007638888888888
2020-06-03,800,0.45098611111111114
2020-06-03,500,0.3927777777777778
2020-06-03,150,0.24
2020-06-04,800,0.4506805555555556
2020-06-04,500,0.3923680555555556
2020-06-04,150,0.24004861111111112
2020-06-05,800,0.4552916666666667
2020-06-05,500,0.3985486111111111
2020-06-05,150,0.2443611111111111
2020-06-06,800,0.456
2020-06-06,500,0.4004375
2020-06-06,150,0.24461805555555555
2020-06-07,800,0.4613263888888889
2020-06-07,500,0.41884722222222226
2020-06-07,150,0.28029166666666666
2020-06-08,800,0.4751736111111111
2020-06-08,500,0.4537916666666667
2020-06-08,150,0.3001388888888889
2020-06-09,800,0.47454166666666664
2020-06-09,500,0.4537847222222222
2020-06-09,150,0.29277777777777775
2020-06-10,800,0.47780555555555554
2020-06-10,500,0.45347916666666666
2020-06-10,150,0.30396527777777776
2020-06-11,800,0.4769513888888889
2020-06-11,500,0.45379861111111114
2020-06-11,150,0.30299305555555556
2020-06-12,800,0.4704722222222222
2020-06-12,500,0.4545416666666667
2020-06-12,150,0.28670138888888885
2020-06-13,800,0.46932638888888883
2020-06-13,500,0.4452083333333333
2020-06-13,150,0.27690972222222227
2020-06-14,800,0.4712430555555555
2020-06-14,500,0.43456944444444445
2020-06-14,150,0.2712291666666667
2020-06-15,800,0.4707083333333333
2020-06-15,500,0.42943749999999997
2020-06-15,150,0.26990277777777777
2020-06-16,800,0.4712152777777778
2020-06-16,500,0.42609027777777775
2020-06-16,150,0.2695763888888889
2020-06-17,800,0.4745833333333333
2020-06-17,500,0.42206944444444444
2020-06-17,150,0.26883333333333337
2020-06-18,800,0.47470138888888885
2020-06-18,500,0.4252638888888889
2020-06-18,150,0.2737638888888889
2020-06-19,800,0.4772222222222222
2020-06-19,500,0.42635416666666665
2020-06-19,150,0.2718402777777778
2020-06-20,800,0.47399305555555554
2020-06-20,500,0.429
2020-06-20,150,0.27337500000000003
2020-06-21,800,0.4725555555555555
2020-06-21,500,0.428
2020-06-21,150,0.2686388888888889
2020-06-22,800,0.4721111111111111
2020-06-22,500,0.42590972222222223
2020-06-22,150,0.2647013888888889
2020-06-23,800,0.47122916666666664
2020-06-23,500,0.4240486111111111
2020-06-23,150,0.2617291666666667
2020-06-24,800,0.471
2020-06-24,500,0.4222361111111111
2020-06-24,150,0.25938194444444446
2020-06-25,800,0.47084027777777776
2020-06-25,500,0.4205625
2020-06-25,150,0.25752083333333337
2020-06-26,800,0.47049305555555554
2020-06-26,500,0.41918055555555556
2020-06-26,150,0.2556527777777778
2020-06-27,800,0.4699722222222222
