date,depth,messvar_name,SWC
2020-05-13,-1.5,EC3_150cm,0.18159722222222222
2020-05-13,-0.8,EC1_80cm,0.305
2020-05-13,-0.8,EC2_80cm,0.4564166666666667
2020-05-13,-0.8,EC3_80cm,0.2593611111111111
2020-05-13,-0.5,EC1_50cm,0.379125
2020-05-13,-0.5,EC2_50cm,0.3028958333333333
2020-05-13,-0.5,EC3_50cm,0.399
2020-05-13,-0.15,EC1_15cm,0.24625694444444443
2020-05-13,-0.15,EC2_15cm,0.31830555555555556
2020-05-13,-0.15,EC3_15cm,0.35893055555555553
2020-05-14,-1.5,EC1_150cm,0.201125
2020-05-14,-1.5,EC2_150cm,0.442
2020-05-14,-1.5,EC3_150cm,0.181
2020-05-14,-0.8,EC1_80cm,0.305
2020-05-14,-0.8,EC2_80cm,0.4560138888888889
2020-05-14,-0.8,EC3_80cm,0.25935416666666666
2020-05-14,-0.5,EC1_50cm,0.37840277777777775
2020-05-14,-0.5,EC2_50cm,0.3010486111111111
2020-05-14,-0.5,EC3_50cm,0.39870833333333333
2020-05-14,-0.15,EC1_15cm,0.24553472222222222
2020-05-14,-0.15,EC2_15cm,0.3184166666666667
2020-05-14,-0.15,EC3_15cm,0.35675
2020-05-15,-1.5,EC1_150cm,0.1992013888888889
2020-05-15,-1.5,EC2_150cm,0.4417361111111111
2020-05-15,-1.5,EC3_150cm,0.17952083333333332
2020-05-15,-0.8,EC1_80cm,0.3042708333333333
2020-05-15,-0.8,EC2_80cm,0.46117361111111116
2020-05-15,-0.8,EC3_80cm,0.25959027777777777
2020-05-15,-0.5,EC1_50cm,0.37459722222222225
2020-05-15,-0.5,EC2_50cm,0.2989583333333333
2020-05-15,-0.5,EC3_50cm,0.3988263888888889
2020-05-15,-0.15,EC1_15cm,0.24547916666666666
2020-05-15,-0.15,EC2_15cm,0.3171041666666667
2020-05-15,-0.15,EC3_15cm,0.34720833333333334
2020-05-16,-1.5,EC1_150cm,0.198
2020-05-16,-1.5,EC2_150cm,0.4415763888888889
2020-05-16,-1.5,EC3_150cm,0.17838888888888887
2020-05-16,-0.8,EC1_80cm,0.30265277777777777
2020-05-16,-0.8,EC2_80cm,0.4642847222222222
2020-05-16,-0.8,EC3_80cm,0.2584166666666667
2020-05-16,-0.5,EC1_50cm,0.3714375
2020-05-16,-0.5,EC2_50cm,0.3015
2020-05-16,-0.5,EC3_50cm,0.3983888888888889
2020-05-16,-0.15,EC1_15cm,0.24695138888888887
2020-05-16,-0.15,EC2_15cm,0.3196041666666667
2020-05-16,-0.15,EC3_15cm,0.35210416666666666
2020-05-17,-1.5,EC1_150cm,0.19687500000000002
2020-05-17,-1.5,EC2_150cm,0.4428888888888889
2020-05-17,-1.5,EC3_150cm,0.17806249999999998
2020-05-17,-0.8,EC1_80cm,0.30252083333333335
2020-05-17,-0.8,EC2_80cm,0.4647638888888889
2020-05-17,-0.8,EC3_80cm,0.2584375
2020-05-17,-0.5,EC1_50cm,0.3716319444444444
2020-05-17,-0.5,EC2_50cm,0.30274999999999996
2020-05-17,-0.5,EC3_50cm,0.4005486111111111
2020-05-17,-0.15,EC1_15cm,0.24897222222222223
2020-05-17,-0.15,EC2_15cm,0.3204166666666667
2020-05-17,-0.15,EC3_15cm,0.3617361111111111
2020-05-18,-1.5,EC1_150cm,0.195
2020-05-18,-1.5,EC2_150cm,0.44383333333333336
2020-05-18,-1.5,EC3_150cm,0.1794861111111111
