scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swc_nse150,rmse_nse150,swp_nse15,swp_nse50,swp_nse80,swp_nse150,et_cor,et_nse,max_ET,ann_ET
1,-154.00694631160567,0.15464058939290795,-5.941744020103241,0.04282841204649058,-9.17721909452775,0.08259538592828515,-6.953993781550484,0.11001316531670498,-7.714905789954997,-1.816065004993043,-0.3253819506013158,0.06552314119385372,0.6986028216130664,-0.7465363432272942,5.474768662625352,450.959962948142
2,-159.82802789491035,0.15751749052590097,-19.823303001839054,0.07417754986941988,-1.3930488335720046,0.04005133579433343,0.33816544621690103,0.031734141629349566,-18.32066554402579,-1.493911514003707,-1.1325144237890612,0.02058730054234581,0.7031439898011183,-1.0602797735451968,6.060954875923056,482.3723465481679
3,-48.70347885649654,0.08756716901399235,-114.02216000468248,0.17433654479598165,-23.276134807328855,0.12756484185340014,-7.132295938639794,0.11123939651958435,-399.06575819651516,-388.1102696840034,-781.1642463330761,-115.7581547244272,0.6238372045342311,-7.253361675302402,9.079771555586795,681.6253118769388
4,-48.855174775176714,0.08770069550408022,-84.44779276969851,0.15026163126345912,-14.981932700056197,0.10350369963424672,-4.350777860312023,0.0902319821244705,-7.738145790253089,-2.512049045074798,-0.8714786608952825,-0.11945266908120522,0.6500944485758534,0.16335880177507345,4.479657818584992,305.284695210679
5,-2.4260076805446933,0.022990164677048494,-73.70241566451367,0.14049633580965246,-12.186595289513109,0.09401725422090464,-1.5898272148311183,0.06277510272041412,-6.911980015521444,-1.9292331063738786,-0.41919664356160724,-0.014496363612010787,0.5805679086415467,0.00933398304681654,4.0536751850174815,242.1517739191237
6,-30.60689888802964,0.06982948828838503,-26.06445750428021,0.08456630166670796,-23.709392177951074,0.12869813572726707,-23.59826487176851,0.19346583125729508,-39.64995614095861,-1.4960075958083876,-0.18520275971977074,0.0570547205458084,0.6902015903647725,-1.8465243778274183,6.605765894265979,497.52087592159046
7,-31.243908875056427,0.07052965484828902,-114.77584498350419,0.17490678402451978,-23.30225592512825,0.12763345327826078,-5.2517837736117325,0.09753354540238693,-6.690732898431734,-1.757617569029105,-0.29068624121801245,-0.012564775295885067,0.657819092722911,-0.09605168216836191,5.185179643991354,354.40023874400225
8,-202.96765038732462,0.1773897666849801,-102.3135391603134,0.16522520314268954,-21.676631416497333,0.12329075023108278,-3.218677524366943,0.08011986364225049,-537.3619434891588,-852.9422183859389,-1703.588308986686,-83.01215219207384,0.5839894776398589,-8.167006865792544,8.888687328071976,676.7303431383948
9,-303.7361127345245,0.21682526089954013,-10.848555159867121,0.05595390127603852,-7.177789632990738,0.07403876944187306,-7.152593443224733,0.11137813194337605,-3885.186050744197,-0.9101817003935748,-0.005876196566193981,0.11291338193498834,0.6381063458287651,-3.284587816071955,7.823765343559984,544.9602520425824
10,-155.94680248830915,0.15560521646217268,-163.29625573138574,0.20835863707547017,-37.629928617473475,0.16091746322494901,-11.989903260706644,0.14059018269197024,-6.8710246389159515,-1.4554910541482404,-0.2741492141051387,-0.03680496202051575,0.6284161884174614,-0.022221036781061576,4.855038475434918,314.6254594676141
