scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80
1,0.7564400005494791,0.04459500655271801,0.7047070575933442,0.04359484279441876,0.8522917014277384,0.03266438728328242,0.8882935165855322,0.03101269716661301,0.7466509880286194,0.820144329878563
2,0.6223785257491364,0.05552794376616366,0.25056816436570184,0.06945038397221376,0.5850415692558124,0.054748769745945926,0.5393531631173056,0.06297735185213353,0.30282161058088963,0.4505753018498714
3,0.7236250361445418,0.047504264597607926,0.39364234289441036,0.06247021711913503,0.6512376437635274,0.05019227373408113,0.6219920455577519,0.0570493653816818,0.6668079394179319,0.6059835691869919
4,0.5437240816153985,0.061037540271174785,0.4541930893294813,0.05926906789970883,0.7314573034151326,0.044043187384924604,0.7897231806404994,0.042549655471088396,0.5288775066054713,0.8213526663744076
5,0.3849163714451288,0.07086802565791712,0.4290815127377188,0.060617167014140695,0.6909335416265104,0.04724958583911973,0.6434063496717315,0.0554098725341027,0.3844205437909599,0.49540356793334517
6,0.5672501376259453,0.05944313681595911,0.6671403244596735,0.0462848835074434,0.8820932273083132,0.02918377339080133,0.9034695617025762,0.028829193115560505,0.5252223001682468,0.7616390808982394
7,0.7117937731753832,0.04851040827064012,0.6566629503998082,0.04700769081818258,0.8229265393007378,0.035764223967272454,0.8956437695887287,0.029975024018680844,0.602867714784764,0.8495455312854273
8,0.61676655237691,0.0559390327889149,0.20868140198876617,0.07136483544021721,0.5675674434673583,0.055889633272398806,0.616999684310926,0.0574248559233215,-0.056889179135149126,0.6575302401580325
9,0.4818605889791675,0.0650438984987971,0.5061430148358781,0.056377937350505274,0.793051745573632,0.0386636590252748,0.8242094295003772,0.03890434752618776,0.19095288632483387,0.7756455680327534
10,0.6207091191844469,0.055650548668563324,0.2926960992931925,0.06747013961595022,0.6045214042694015,0.05344825860202594,0.6177962687721402,0.057365107202655884,-0.05516096093537026,0.6918446976978906
11,0.6991275140431461,0.04956492884836768,0.45162389594635854,0.059408398238823795,0.7262941157154912,0.04446457395866628,0.7146650455738136,0.04956531116237395,0.38893763971623174,0.707334452208392
12,0.7222946201578488,0.04761846552957199,0.7170042350059952,0.042677458671783096,0.8705479813470693,0.030579225524172495,0.8996525862466102,0.02939364469747684,0.7897896617416291,0.36247002245333104
13,0.7445175888263069,0.04567344318427553,0.7457955851887506,0.04044828633154913,0.8482042112106954,0.033113259300071404,0.9186505360853723,0.02646535329638154,0.8404575218341682,0.7927201338291668
14,0.6760938152974452,0.051427198903572884,0.5228351601273541,0.05541697297311508,0.8073709154642017,0.0373020756625632,0.8633893210757582,0.034295937030837886,0.4866457912056048,0.7536200220580473
15,0.546637803564672,0.06084233902322171,0.5624794119355899,0.05306495854633455,0.8411305716324489,0.03387600862586409,0.8243778483525486,0.03888570660690101,0.611017523944634,0.7000575439638073
16,0.6536854511496566,0.053176361516927305,0.6226290832285784,0.04928250738992483,0.7949005818933331,0.03849056467422051,0.8246838873715598,0.03885181073333561,0.7278044602262741,0.7691341478263297
17,0.5193699983360585,0.06264532810475093,0.5802967374832011,0.0519732356138647,0.7607623544783728,0.04157065123815014,0.8272681194165831,0.038564401786147916,0.0910770116732128,0.8224968032434066
18,0.684533294384676,0.050752800950624476,0.5567756153790568,0.05340973277970873,0.7813230516587147,0.03974418270698085,0.7931941557176397,0.042197017124712376,0.8217012919576019,0.7691400161877244
19,0.4408738046334627,0.06756754969185981,0.42763864744656066,0.06069371665977153,0.755747388682484,0.04200409925796132,0.72330103017437,0.04880947309198789,-3.0629162892596904,0.5307400719250066
20,0.6468876172236422,0.053695726607802495,0.6478933157443814,0.04760424888008055,0.8627570578726927,0.03148597005951747,0.9035401284390989,0.028818653673050698,0.5793751422592864,0.8089462082625383
21,0.42147448410966115,0.06872970961660275,0.6371782472290843,0.04832315047354874,0.828321860753619,0.035215151982950575,0.8943187330873048,0.030164723846066627,0.6983150701764982,0.8032692971556534
22,0.5208282968296751,0.06255021857245141,0.6261403392312155,0.0490526964830019,0.8562380244166342,0.03222508595598034,0.8242612138275118,0.03889861688931956,0.8322506591051986,0.698841400925171
23,0.6753732434841502,0.05148437040117619,0.3073197944852346,0.06676901521552676,0.5988124058921984,0.05383265701392795,0.573496790199721,0.06059844782555378,-0.1955365086051022,0.4562082498013439
24,0.5033892309287633,0.06367827884838168,0.6992181718178536,0.04399814631280534,0.8087237696554729,0.037170856677656586,0.9203292625640538,0.026190860463583474,0.7706379820535767,0.8645203357482389
25,0.5350531995776965,0.06161477708340029,0.44890735821579386,0.05955536469194543,0.758341605266896,0.04178044020521571,0.7693492448666202,0.044563345656951546,0.03985729720567821,0.8051974269205822
26,0.6685917349837682,0.05201934954515934,0.5901336991368868,0.05136055266813064,0.8389819249295214,0.03410431913042963,0.8283875544839021,0.03843923521189898,0.7547664983642264,0.6984937319352297
27,0.24558338285307335,0.07848539941989724,0.5075227374559507,0.056299128785699044,0.7394865463018462,0.04337976016360541,0.7451388823300773,0.04684380235724655,-0.19163671364900892,0.6480248527791712
28,0.7052415752489887,0.04905873700771211,0.5331715223419972,0.05481346452595416,0.8004963357275913,0.037961862054402475,0.8369457731315516,0.037468506210415746,0.6702479786866824,0.7609126195840649
29,0.5029566699033015,0.06370600553885622,0.31676046969109206,0.06631245018291658,0.6417196519299029,0.05087255641422176,0.6508967594686217,0.05482482932436319,0.09177365076032284,0.648696838533082
30,0.6004995127745183,0.05711391179972063,0.6016216042877897,0.05063565957509704,0.8244265695109394,0.03561241828478626,0.7549409207772749,0.04593415663001215,0.5333725701663222,0.5150719486873728
31,0.45454824537491534,0.06673619191958655,0.7189326387540687,0.042531802688017505,0.884389269020865,0.028898223253735644,0.8710427382654151,0.03332140074043915,0.821723086151924,0.7308824699526365
