DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,thr1,ksat1,alpha1,npar1,ths2,thr2,ksat2,alpha2,npar2,ths3,thr3,ksat3,alpha3,npar3,FRINTLAI,GLMAX,CVPD,R5,PSICR,FXYLEM,MXKPL,MAXROOTDEPTH,BETAROOT
0.1595089285714286,0.6120044642857143,0.7495705357142858,593.1982142857142,0.5746375,0.0027531250000000004,-0.18220714285714287,0.7435982142857143,1.2124504464285715,0.2124082142857143,0.005712321428571429,-0.22573303571428566,0.97833125,1.2291423214285715,0.2292230357142857,0.002156464285714286,0.25746875,0.7038687499999999,1.2910883928571428,0.1902282142857143,0.006517026785714286,1.328417857142857,75.60964285714286,-1.58385625,0.3156875,10.189839285714285,-1.5834017857142857,0.9697300714285714
0.10529464285714286,0.48854017857142856,0.6925169642857143,782.4446428571429,0.5970696428571428,0.0038568750000000005,0.11075000000000007,0.7661625000000001,1.2093379464285714,0.20065107142857144,0.013486964285714286,-0.44560625,1.18589375,1.2253269642857143,0.21440839285714286,0.0014229642857142859,0.19475446428571427,0.76730625,1.27883875,0.1908467857142857,0.005947241071428571,1.271267857142857,64.55035714285714,-1.56502625,0.3402125,9.883517857142857,-1.4253125,0.9615306428571428
0.13032678571428571,0.55071875,0.7390491071428572,767.5839285714286,0.5488089285714286,0.028696875000000007,0.10315000000000002,0.8208053571428572,1.1804897321428571,0.2036832142857143,0.011052321428571429,-0.2531830357142857,1.14610625,1.2151055357142857,0.22269482142857142,0.002169107142857143,0.11196875,0.81808125,1.2739391071428572,0.1974625,0.005885098214285714,1.1118178571428572,81.78535714285715,-1.53509125,0.3215410714285714,10.391910714285714,-1.6235267857142857,0.9708923571428572
0.11226607142857144,0.5992544642857143,0.6655973214285714,632.7017857142857,0.5712839285714286,0.005838125000000001,-0.08147857142857143,0.7045553571428571,1.2020629464285715,0.1999675,0.006558035714285714,-0.46614553571428574,1.06320625,1.2127591071428572,0.21520124999999998,0.00044517857142857147,0.17118303571428573,0.6330312499999999,1.2859466071428571,0.1966275,0.006936383928571429,1.241267857142857,75.08678571428571,-1.5986562500000001,0.3260482142857143,10.577482142857143,-1.5947232142857144,0.9628304999999999
0.14635535714285716,0.6967455357142857,0.6673330357142857,707.0375,0.5056839285714285,0.024818125000000003,0.03949285714285716,0.6220982142857143,1.205159375,0.20353821428571428,0.009835892857142856,-0.15591874999999994,1.18103125,1.20271875,0.2121830357142857,0.005885892857142858,0.3287008928571429,0.64539375,1.28242375,0.19209464285714287,0.006456866071428572,0.9883678571428571,76.58678571428571,-1.5939637500000001,0.29195535714285714,10.330517857142858,-1.4928482142857142,0.9663160714285715
0.10680535714285715,0.6523883928571428,0.7825705357142858,638.7125,0.5631232142857143,0.03409187500000001,-0.04493571428571427,0.6981053571428572,1.2070236607142857,0.21329035714285716,0.005767321428571429,-0.4274776785714286,0.9970187500000001,1.22096625,0.2375694642857143,0.0013218214285714287,0.23104017857142856,0.66758125,1.2764366071428572,0.18071607142857143,0.0057398125,1.2514464285714286,66.96107142857143,-1.5985787500000002,0.2643732142857143,9.944803571428572,-1.3167410714285714,0.9621242142857143
0.10606964285714286,0.5478169642857142,0.7160508928571429,625.0303571428572,0.5216589285714286,0.008310625000000002,0.1931500000000001,0.862494642857143,1.201647767857143,0.21116821428571428,0.008121964285714286,-0.11678482142857138,1.03465625,1.2245330357142856,0.2191644642857143,0.004211464285714286,0.23231696428571427,0.7614687499999999,1.2906244642857143,0.18151821428571427,0.005939473214285714,0.8353035714285715,111.32678571428572,-1.5406487500000001,0.29963392857142856,10.941553571428571,-1.7925803571428571,0.9638796428571428
0.18516607142857144,0.46742410714285715,0.7375330357142857,694.6089285714286,0.5861910714285714,0.011119375000000003,0.0017785714285714627,0.8741732142857144,1.2371495535714285,0.20464107142857144,0.012618035714285714,-0.10961696428571421,1.2366937500000001,1.204550892857143,0.22039124999999998,0.001525392857142857,0.13059375,0.67536875,1.2842505357142857,0.18123107142857142,0.006215419642857142,1.1743892857142857,72.91607142857143,-1.5917162500000002,0.2594125,9.974160714285714,-1.5751160714285715,0.9694647857142857
0.11364107142857144,0.6000401785714286,0.7690008928571429,601.0410714285714,0.5248232142857143,0.031644375,0.14669285714285718,0.8369839285714287,1.1798441964285715,0.2050917857142857,0.011466607142857143,-0.1909866071428571,1.06663125,1.2219905357142857,0.21295017857142856,0.0038724642857142864,0.22373660714285715,0.65901875,1.2806055357142858,0.18047535714285715,0.006035098214285714,0.8287464285714287,105.85178571428571,-1.5759387500000002,0.31525892857142856,8.199446428571429,-1.3622410714285715,0.9710187857142857
0.1317625,0.5125044642857143,0.7007991071428572,539.9910714285714,0.5635125,0.027558125000000003,-0.17927857142857143,0.7644375,1.2020897321428572,0.1979317857142857,0.011661964285714286,-0.22803124999999996,1.18538125,1.2085151785714285,0.21076553571428572,0.0024793928571428575,0.28736160714285713,0.8677937499999999,1.2968055357142858,0.18086678571428572,0.0055665089285714285,1.3153035714285715,109.66392857142858,-1.59552125,0.33029464285714283,10.568803571428571,-1.4391875,0.9605333571428571
