scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80
1,0.7588592420480087,0.044372976389164105,0.7452228638116555,0.040493825597551714,0.8725303529016283,0.030344183783228968,0.9189029043513751,0.026424270029927737,0.8252762275314589,0.8180573533048316
2,0.7773785654403869,0.04263504624340848,0.756464416764822,0.03959039136736222,0.8241360523516461,0.035641869615425065,0.9226210287008872,0.025811415631903787,0.8416735471776988,0.7930579347784648
3,0.7658692678874066,0.043723252552461976,0.7451226766398114,0.04050178660058454,0.8638890048625258,0.03135585683991247,0.9234585610572501,0.025671347142223036,0.8336794818059683,0.8297279350054694
4,0.7554280301618168,0.04468755468608599,0.7625157135358809,0.039095432487057116,0.8649725129707918,0.031230803722445327,0.9251804004100856,0.025380959616786103,0.846837220577606,0.7992865318611432
5,0.7464172638001847,0.04550332073480969,0.7556084747807537,0.03965990349902887,0.8683270712877396,0.030840422284533507,0.929040211153521,0.024717611705448866,0.8023107468408305,0.8176501227153079
6,0.7847706391692868,0.04192122914745172,0.7804887243949103,0.03758694244988363,0.821267263305542,0.03593139850356817,0.9254089219931124,0.02534216942885905,0.8460350616869898,0.7103462630565617
7,0.7887040112175524,0.04153640220310182,0.7799526681254966,0.03763280895508977,0.8136143921564412,0.036692580483126964,0.9247509996023214,0.025453687967075398,0.8417595936139034,0.7213503293476629
8,0.7824303956618331,0.0421485230479784,0.7349782201189835,0.04129993474265784,0.7988228567988739,0.038120745626658445,0.9220297793954346,0.02590983991975405,0.7725065450279875,0.827282361329924
9,0.7349453757645278,0.04652120363364434,0.7225002782101839,0.04226100865641936,0.8772674189851901,0.02977501589535846,0.912425181426132,0.027459332215772066,0.8300832653651411,0.8191762580003364
10,0.7791537911061904,0.04246471601800874,0.7598446168446091,0.039314680010763846,0.8397878516555028,0.03401886269562695,0.9266363596407808,0.02513279477003743,0.7848142217232859,0.7984515253678072
11,0.7684657982688379,0.0434801292531027,0.7700986571289864,0.03846620451129083,0.8410426542129511,0.033885380722697214,0.9325140133583982,0.02410500073644612,0.7823815221133444,0.7862147473543153
12,0.7778995769162032,0.04258512661105817,0.7592035697244599,0.03936711640875225,0.8539251491413784,0.03248327389937976,0.9339319338780343,0.023850426282120675,0.8002437864764562,0.8093884919465929
13,0.7737494843242515,0.04298115074059187,0.7559635900158928,0.03963107894010734,0.8098616727525539,0.03706012695792037,0.921029980468426,0.026075429522244543,0.8377689523935612,0.8006116563019707
14,0.777550545354311,0.042618574810077955,0.7686042401038257,0.03859102204507512,0.8846803910331815,0.028861815682839007,0.9235605234328109,0.025654242787604514,0.8385365514771131,0.7829505518051154
15,0.7700669334777555,0.043329528736265346,0.7684448762078129,0.038604308712690896,0.8794667562445585,0.029507029474158487,0.930281666760894,0.024500437874910522,0.8421624312589302,0.7715239344325684
16,0.7731659486700805,0.043036542620425916,0.7704249319648259,0.03843889929747791,0.8731978728239413,0.03026462784539074,0.9256014041062964,0.025309450601196562,0.8602944903112214,0.785627897296735
17,0.7744906772984457,0.042910690214344994,0.76278993007091,0.03907285476059192,0.8674264947238731,0.0309457090477001,0.9337729411902917,0.023879107042398175,0.8188329124126537,0.8048328480682727
18,0.7864524875852826,0.041757117176494524,0.771867901425858,0.0383179070880208,0.8716637370668368,0.030447158125518327,0.9364944622437424,0.023383318612335474,0.8241867610817086,0.7994129467896807
19,0.778729402189291,0.042505497576949804,0.7733001355310647,0.03819743605191927,0.8482264518094544,0.03311083339057353,0.93024266676163,0.024507289612642154,0.8396709651875061,0.7764847104947278
20,0.7649066237297704,0.04381304588728478,0.7403789350695347,0.04087695583038774,0.8780535230600656,0.029679507999216245,0.9133368057226352,0.02731603713775391,0.8261379661361782,0.794285802584759
21,0.7663280922220304,0.04368038946863245,0.740332470497431,0.04088061355609758,0.8692099249721754,0.03073685743675999,0.8996552796493416,0.029393250220672712,0.8466749259195807,0.8075699177519022
22,0.7897383988732296,0.041434607905155386,0.7406381170937164,0.04085654682073749,0.767028550622353,0.04102262236275628,0.9120552877273157,0.02751726171842983,0.7867793033382208,0.7487008713960654
23,0.7653559636297517,0.04377115537124616,0.7300058886325163,0.041685568466717865,0.8606008791737585,0.03173233903211387,0.9222076006292935,0.02588027767428607,0.7853027787845327,0.8371256934063381
24,0.779191324230496,0.04246110739552615,0.7856981591804788,0.0371382583501829,0.8335859360158925,0.034671056971377595,0.9358455064011307,0.023502490666880503,0.8030585045744464,0.6977166140708897
