DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,ksat1,ths2,ksat2,ths3,ksat3,FRINTLAI,GLMAX,CVPD,R5,PSICR,FXYLEM,MXKPL,MXRTLN,MAXROOTDEPTH,BETAROOT
0.75725,0.670525,0.77402,194.64249999999998,1.231235,-0.022487499999999994,1.36709,0.05252499999999999,1.33853,0.26024500000000006,0.106765,0.018707500000000002,2.3185800000000003,153.8275,-1.0654875,0.326025,17.0958,1584.7250000000001,-1.71955,0.9681029999999999
0.28225,0.704025,0.6035,272.8325,1.218485,0.27256250000000004,1.2286299999999999,0.172675,1.32121,0.172105,0.133015,0.017077500000000002,2.5389,169.8325,-1.2438375,0.367525,17.8878,4753.625,-1.14785,0.9762529999999999
0.49625,0.589775,0.47594000000000003,220.9975,1.235105,0.4305875000000001,1.25399,0.373575,1.40489,0.21515500000000004,0.174605,0.0107605,1.5603,157.9325,-1.0168625,0.425875,12.4422,3386.9750000000004,-1.55385,0.9707509999999999
0.40755,0.758275,0.6813800000000001,298.0325,1.360355,-0.1259875,1.24321,0.03337499999999999,1.45041,0.32669500000000007,0.127225,0.0107175,2.19546,182.7525,-1.1132374999999999,0.778275,22.401,2269.175,-1.46275,0.966011
0.93015,0.49397500000000005,0.49402,425.9575,1.291985,0.3636125,1.3727699999999998,0.067525,1.38659,0.2822950000000001,0.12740500000000002,0.0101185,2.50782,180.2225,-1.2007375,0.38887499999999997,18.5934,2382.125,-1.16805,0.976917
0.96445,0.44267500000000004,0.44738,326.4175,1.364045,0.04681249999999998,1.37787,0.137925,1.4680900000000001,0.22685500000000003,0.18732500000000002,0.0181435,2.10414,196.6575,-1.1531375,0.40297499999999997,23.5794,1389.875,-1.87045,0.970113
0.48645,0.48187500000000005,0.51002,426.4825,1.268675,0.4248875000000001,1.2475699999999998,-0.069025,1.36249,0.33029500000000006,0.12466500000000001,0.011178500000000001,1.7325,181.3725,-1.1036875,0.5936250000000001,21.874200000000002,2571.5750000000003,-1.3912499999999999,0.968695
0.90605,0.553925,0.55542,240.2825,1.371095,-0.1073875,1.27039,0.260775,1.46325,0.3807250000000001,0.15885500000000002,0.0167145,1.6920600000000001,195.6625,-1.0082875,0.734875,22.1646,3778.025,-1.94075,0.969101
0.51465,0.586275,0.7025800000000001,371.84749999999997,1.201025,0.4134875,1.22601,0.387525,1.48763,0.308095,0.12057500000000002,0.0131815,2.09946,151.3875,-1.0861375,0.339075,18.2982,4482.275,-1.31125,0.9762029999999999
0.44195,0.46682500000000005,0.5744600000000001,172.1725,1.101035,-0.007937499999999986,1.3577299999999999,0.28452500000000003,1.48769,0.22076500000000004,0.19481500000000002,0.0191815,2.06994,172.5125,-1.1264875,0.484575,18.7422,1893.8750000000002,-1.4976500000000001,0.976525
0.40965,0.523425,0.44870000000000004,296.14250000000004,1.105445,-0.027437500000000004,1.29713,-0.017625000000000002,1.34453,0.28100500000000006,0.19073500000000002,0.015331500000000001,1.75866,191.3425,-1.1848625,0.798925,17.995800000000003,1685.075,-1.64495,0.967465
0.03465,0.8396750000000001,0.70086,402.01750000000004,1.1990750000000001,0.22178750000000003,1.28639,0.213025,1.32541,0.19793500000000003,0.153035,0.0190445,2.23086,151.4425,-1.0826875,0.787325,20.6718,2268.7250000000004,-1.62585,0.9774269999999999
0.07435,0.44377500000000003,0.6287800000000001,384.0975,1.388345,0.4476875,1.28247,-0.05297500000000001,1.47041,0.21281500000000003,0.112975,0.0188595,1.96482,196.3325,-1.1788125,0.45482500000000003,14.8674,1220.225,-1.91075,0.979115
0.21815,0.792625,0.66814,496.9375,1.275275,0.19418750000000007,1.23393,0.04292499999999999,1.47503,0.139075,0.195465,0.0123775,1.79322,173.6675,-1.0982125,0.748375,13.6254,4695.575,-1.38165,0.978125
0.6284500000000001,0.49502500000000005,0.5075000000000001,468.4825,1.217435,0.3422375000000001,1.3145499999999999,0.23142500000000002,1.39625,0.315655,0.107685,0.0176895,1.81938,189.85750000000002,-1.1724625,0.713775,18.845399999999998,929.525,-1.7298499999999999,0.9659209999999999
0.64305,0.6893750000000001,0.48938000000000004,252.14749999999998,1.283225,0.13298750000000004,1.26005,0.30837500000000007,1.32901,0.349855,0.169085,0.0155995,1.98246,158.1175,-1.0290875,0.590225,23.0622,4323.875,-1.08325,0.964839
0.08115,0.503075,0.51186,414.5125,1.203275,-0.01581249999999998,1.30947,0.266825,1.36125,0.25583500000000003,0.135625,0.0120855,2.25102,150.8075,-1.1189125,0.547175,12.5178,2880.725,-1.15725,0.962007
0.5105500000000001,0.7539750000000001,0.65258,197.1975,1.176005,0.41423750000000004,1.26051,0.39137500000000003,1.32027,0.17384500000000003,0.136355,0.012713499999999999,2.23434,183.5325,-1.0455125,0.501475,12.489,1681.4750000000001,-1.84115,0.9633729999999999
0.53595,0.8516250000000001,0.5869800000000001,334.9225,1.140185,-0.1841125,1.38411,0.33872500000000005,1.41535,0.148435,0.146465,0.015356500000000002,2.02914,192.7925,-1.0738625,0.711375,23.922600000000003,2277.275,-1.4377499999999999,0.966461
0.7040500000000001,0.46472500000000005,0.7853800000000001,350.0075,1.201895,0.08303749999999999,1.35445,0.08557500000000001,1.32057,0.347395,0.102135,0.019568500000000003,2.03742,155.7375,-1.1569375,0.797375,15.507,716.675,-1.88845,0.976499
0.8421500000000001,0.47147500000000003,0.6319,221.2425,1.3401649999999998,-0.0924625,1.25125,-0.04327500000000001,1.42629,0.296005,0.162945,0.0166035,1.83942,171.1325,-1.1237375,0.509975,13.5738,3378.425,-1.08435,0.975189
