scen,swc_nse10,swc_rmse10,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,0.4424504241929552,0.018045137360458676,-0.310151302915874,0.02626685815092947,-0.006682246388410196,-0.5393768914900552,3.9014616786387917,3.283786473729244,2.7503605202518506,3.415036976610044,0.9201708380781123,-0.9723761681952454,5.03917437101601,477.2400996968417
2,0.403272463750286,0.01866837374268634,-0.27440945948438156,0.025906091519221932,0.01663366172775571,-0.5079714377086291,3.9077987954552587,3.340529318755207,2.7661645939497297,3.423486464062433,0.9089823092735468,-1.5960364342881626,4.996414377814915,508.3597938588263
3,0.389960563802651,0.018875453855402097,-0.4195859804543358,0.027341872455692508,0.07082683576879878,-0.5534217023109518,3.8870562708922036,3.284129655434308,2.7126291113138943,3.393670457591772,0.9138241288425446,-0.7819316987305058,4.491654184895907,475.156528360653
4,0.540252982805352,0.01638618702995192,-0.2856181898069312,0.026019767193118534,0.04599361481311093,-0.4992431108097042,3.9248599545008402,3.3364646516571264,2.813876410339212,3.392253140045068,0.9118647468059493,-1.7226922763504158,5.040743067170045,515.6523893979808
5,0.5207557486750511,0.01673003707754132,-0.20000456502345276,0.025138470554748514,0.01082490298864569,-0.4572887095350653,3.9200337446012044,3.3347886781915843,2.8052203130565494,3.3740744197169668,0.9098830954519447,-1.9472720690211323,5.543911210335364,525.0000888643852
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5028706797575411,0.017039354425348457,-0.1751281726303946,0.024876542621864978,-0.07713526910010238,-0.5078175670039138,3.9143076933951897,3.284885838754402,2.7612001160767923,3.3724331750832572,0.906508995763838,-1.5153224880593332,5.20014633631665,505.65279534154735
8,0.5451356142339181,0.016298942012637613,-0.2463183203240975,0.02561898336709024,-0.009572600676235332,-0.4776783569970775,3.9192628363275146,3.453633047018897,3.2249504179256476,3.3701734714473512,0.9083510306779156,-1.7125175304678981,5.089237859865952,520.6017742373157
9,0.5335037973515999,0.016506025201159118,-0.3706669292101483,0.026866640830964017,0.07974887892012072,-0.5846614083792483,3.8970520753172813,3.2957512687638983,2.714483361379859,3.469205753607838,0.9203820962415116,-0.5743393156713417,4.670005611457963,450.43754367307423
10,0.4750513425118216,0.017509625690124885,-0.21784842302078444,0.025324683201956074,-0.0731931667358765,-0.5181592158026391,3.9286285627470874,3.3483244608965075,2.7916220659052415,3.3803083843252706,0.902536482643221,-2.3378549167495413,5.47044734623022,543.9962887572023
11,0.3040205583641339,0.020161212775000728,-0.4406666309436482,0.027544135791615486,0.060643854516104545,-0.542151599154896,3.8971553188572083,3.3267948693270513,2.8217569509359604,3.3776087971768862,0.9194323423495621,-0.9777933871125679,4.634135138536219,481.5606267373468
12,0.5597661145715409,0.01603467571894623,-0.2668490509955048,0.025829133528032375,0.020669139333347908,-0.5399246132801614,3.896549208549852,3.3532790654692275,2.778681529369801,3.396772795372163,0.917412237552872,-1.5742616398635296,4.9575553603049,511.30616244539056
13,0.044720127649995556,0.02362021035841367,-0.5685523450151646,0.028740671472740165,0.032602407521461374,-0.5373942669942866,3.884716104077553,3.2589587939181794,2.741647990036839,3.37554600365037,0.9177415086539528,-1.491383268162001,5.050887434275367,505.7828434874385
14,0.3941329512811318,0.018810793418485922,-0.21150317294319732,0.02525862354245893,0.028390797231480414,-0.49177389136232996,3.9065443997606257,3.341672492737248,2.7796059248329765,3.342961182575207,0.9153798258551624,-1.6452601379148164,4.793632267532065,517.988565820061
15,0.4158797029391297,0.01847011485660938,-0.3243958566323766,0.026409264663230805,0.030947215125541883,-0.5018794781117195,3.9081065479998696,3.4334825163081084,3.2278358562400293,3.482676453116635,0.9154661123699392,-1.201640274481317,4.817294276965297,487.04167959485034
16,0.5407624186887143,0.016377105921086883,-0.18017452369252807,0.02492989905003684,0.10698847882529205,-0.504286682868712,3.904683926265261,3.3034915429026106,2.7787011497601126,3.3599173304818706,0.9144234286360525,-1.5848093253663031,4.985432836636212,513.1951122229354
17,0.545084314165733,0.016299861092355653,-0.2856559281773423,0.02602014908581972,0.07105865912359366,-0.5010196402846041,3.9090599291424093,3.3361025755726477,2.7628087453821055,3.3693128886426056,0.9140370746043961,-1.6832374717257794,4.923704462106648,520.8326192445893
