scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swc_nse150,rmse_nse150,swp_nse15,swp_nse50,swp_nse80,swp_nse150,et_cor,et_nse,max_ET,ann_ET
1,-4.904034440506738,0.030180216930879626,-3.5244557413458537,0.0345764854500765,-0.5696846625470069,0.032437504251650116,-0.7679887204424833,0.05186707796772382,-6.828483576968515,-1.755828843712599,-0.27430364971901144,0.051794410342353214,0.6800877277526093,-0.17425486932920742,5.486412710052658,378.7031887603199
2,-15.891953688585197,0.05104907263309257,-2.8213912435361115,0.03177667315328462,-7.185425436108025,0.07407332728599766,-5.383410465791541,0.09855494559835051,-7.0438547257142865,-1.8817833187006276,-0.37340317630393893,0.028100942264478568,0.6711897221917219,0.11898476311770745,4.825144982867547,330.16828417941946
3,-27.087978781700873,0.06582762101970374,-16.714886498153103,0.0684174466077498,-0.4697779168413716,0.031388248602712665,0.2265483640658248,0.03430588426047536,-6.96587641532336,-2.047206071464358,-0.4924567253761236,-0.02319483429077862,0.6884381509782083,-0.0347705222694068,5.033025045620311,370.79303664017
4,-8.681553112198444,0.03864741334946624,-12.388654998275186,0.05947934129223293,0.11759814965907256,0.024320608109633258,0.2639165072915005,0.033466906941233325,-6.341964103647442,-2.063133545768442,-0.5028479239669421,-0.0065218866181731006,0.6796769135873495,-0.30555808743851043,5.387564609391655,382.9250657015656
5,-4.835060445424657,0.03000340854169393,-3.739307986982605,0.03538792850294145,-0.33388663137929586,0.029902030814258844,-0.585346878459096,0.04911500445882246,-7.249024589981168,-2.113732664669442,-0.5468559271057556,-0.006439683197893231,0.571921683840154,-0.359595582919761,5.523761134264434,324.6428573252351
6,-8.863626486872592,0.03900912644997336,-3.5811374309897763,0.034792395793004076,-8.546613872129752,0.07999556374691522,-6.657741328940939,0.10794496329726289,-6.160521055989105,-1.596289220119087,-0.2602715648504905,0.041671328887054604,0.6614804503675691,-0.7774289104752168,6.635991253989682,420.47165300262094
7,-2.66837973503554,0.02378948600585267,-11.071726696037494,0.05647839833721013,-14.981840464164923,0.10350340096042739,-10.394689225289424,0.13167498553932364,-7.108782405349851,-2.1352567233952326,-0.5849451075683911,-0.02224645336593567,0.6554565481958785,-0.064595869865405,5.378643995471834,358.23013787433786
8,-8.672609708715784,0.03862955881384867,-0.8394208660647364,0.022046427741047814,-1.8604244845125706,0.043788136994967725,-1.7006420113143608,0.06410406152172535,-7.13180264813078,-1.9684344016733184,-0.4284312959534442,0.04460146855283287,0.6803766683417575,-0.18968259538065202,5.505963783005046,396.91274598689324
9,-3.1862434826612107,0.02541324703814163,-7.007636157345736,0.04599915362735827,0.09218511906275872,0.02466833703681853,-0.017987612107312145,0.039357117507179684,-6.627536029024378,-1.905090216491089,-0.38322340519427467,0.036834374011672,0.6180731862008108,-0.8625968781430573,6.531702808044525,405.3616614893243
10,-18.082132685818564,0.05425769896438608,-0.8982634095827209,0.022396281273576617,-2.346976382516884,0.04736609139514405,-1.7273537850537006,0.06442030481924801,-7.139477165362541,-2.1540288491368638,-0.6259529968410222,-0.02215678082988859,0.664999928761561,0.0820955649606897,4.957412539892423,337.4552785345016
11,-12.62622456828484,0.04584961434370736,-4.56406760483839,0.03834368727566963,-7.344282112906397,0.0747886534810633,-5.075771332266268,0.09615076569569238,-6.951907686820469,-2.049367140380763,-0.5304387928771186,0.03230634254377229,0.6824842956279602,-0.9057892877392275,6.402572744412053,446.5301888951198
12,-23.50389291046646,0.06148447355893717,-2.403735854492473,0.02998994019041694,-2.285362456540416,0.046928089044006596,-2.7479711461500167,0.07551794376485528,-6.858911724163685,-2.2110217405915416,-0.6294124710739257,-0.05031601897656701,0.6314797482173407,0.09975111707328255,4.62971045957776,306.1781032122867
13,-51.657490560209986,0.09013178981499562,-3.456922050806269,0.034317464586206596,-8.720032552271546,0.08071887202924884,-6.210136296551254,0.10474270226973817,-6.89713008189329,-1.8938857995393983,-0.38348391702564455,0.02523375109481496,0.6372953684221053,-0.024274255573165426,5.251302895580408,338.33975557482864
14,-8.049411981923237,0.03736440717524694,-3.3001853026224426,0.03370864226704552,-6.512218516888789,0.07096191563410739,-5.09432360644896,0.09629745124658157,-5.99362000172326,-1.47102641287333,-0.2214230948652114,0.09622684438392903,0.6985550470664154,-1.1892349881505209,6.205586275110038,475.8246748185537
15,-5.189812568783434,0.030902005482529457,-2.603069650956954,0.03085560055455765,-1.141837923397572,0.03789086560273061,-2.8045758361652973,0.07608607123277689,-6.2492529887790225,-2.015010292289113,-0.47061839242488923,-0.03487463118684686,0.6832111958418376,-0.11382246901456572,4.8032121732629065,378.52217750387473
16,-7.565598524153982,0.03635187140678281,-2.643272403563294,0.031027265145202376,-2.989404119160105,0.05171246507585583,-2.6700077856153386,0.07472837349210307,-6.103933480655036,-1.602721249461735,-0.2677457321994807,0.05291359882467783,0.685930469539023,-0.47672352076612423,5.673664180229574,419.4695589542208
17,-13.062513564425165,0.04657784519765851,-3.454849006969213,0.03430948263340553,-8.364176590175841,0.07922751279540387,-5.952907740762805,0.10285733560178846,-6.27513649641241,-1.7780363020488648,-0.3131976426199463,0.02529912879940699,0.6596901878495252,0.07804298179015368,4.714988936862206,318.179140017743
18,-34.21901477658521,0.07371171527369912,-15.004007402724675,0.06502974435237872,-16.4135444368041,0.10804005932271897,-10.325281352118804,0.13127334050672637,-6.490223966405794,-1.9456877276615083,-0.41714318556098573,0.031158834138961145,0.681977973610802,-0.26253253086785877,5.647995642803265,404.97952266575754
19,-63.58208750981346,0.09981687183280784,-13.51429605240788,0.06192922762024685,-16.758092447327808,0.10910367539885764,-11.209636461062015,0.13630236878360835,-6.839959776872796,-1.8385108303526887,-0.3342409872017693,0.04481713289999578,0.6405169277304821,-0.4496640967343575,6.330907497474103,375.6508753574849
20,-3.170681572941259,0.025365967552391757,-3.6290063640297605,0.03497369866580303,-6.195079600088031,0.06944788534284096,-5.919761184608414,0.10261186711181149,-6.1946955138161925,-1.8751634341236176,-0.3631459620507709,0.011711345141157015,0.6949511442924687,-0.6193982269852842,5.790765348224271,429.6445550772225
21,-2.350249008646043,0.02273455509394171,-2.9452848070901836,0.03228768108558936,-7.597559825062957,0.07591521528566779,-5.504477702057812,0.09948514826182797,-7.041448916403867,-2.2375669583385873,-0.6761766648366536,-0.04143564957928003,0.5866609301678266,0.05681406502173214,4.177762571942734,242.6211714111863
22,-1.703868210845238,0.02042399407962541,-10.177204673576403,0.05434558608633296,-13.997865586335292,0.1002665226140712,-10.4743555836002,0.1321344888559373,-6.809960212401618,-2.044194973844352,-0.5037652244483308,-0.02362834582260409,0.649158984023324,0.18735314329399166,4.206242389129203,284.4261720450196
23,-6.456921890447611,0.033917802966397625,-11.71783741656478,0.05797013466675321,-14.81672475010012,0.1029673422770273,-10.678719034067793,0.1333059831013636,-6.436419271121584,-2.0284488458358907,-0.47645427215435965,-0.03009037095770095,0.6973898486016924,-0.8545810333431503,6.251979641428441,450.23608010487015
24,-25.34316657519456,0.06375025187672288,-4.357183684905564,0.037624084720580556,-8.11905439958264,0.07818368355370471,-6.744994381515374,0.10855818918295929,-6.838803711901438,-2.0534060663708837,-0.49472067795951835,-0.006853578617971978,0.6896367510813315,-0.00546276372774579,4.992561449461795,368.63535873802107
25,-69.65946234039015,0.10440783257116734,-2.78401162334159,0.03162087663041004,-2.540099834245333,0.048713460227171254,-3.2718642462408534,0.0806233349105225,-6.985347076632156,-2.221567120098307,-0.696274198866289,-0.08976721829282952,0.6771210187887734,-0.1935004862113483,5.239290240417926,385.403555912424
26,-4.719505312921269,0.02970483537553298,-2.355003863256803,0.029774480120799588,-1.1254174788613258,0.03774534059785473,-2.003359273305271,0.06760139850805998,-6.4306591276033895,-1.7421992450524293,-0.28229072802719446,0.030257852976337873,0.5990607617057448,-0.20745114762381922,5.253411105884577,328.5326496468643
27,-4.876018833522131,0.030108526756916453,-7.8548561821986596,0.048371374785759896,-0.3801509254027331,0.030416169183710033,-0.5708873035913307,0.048890508207619615,-7.091097855829464,-2.3140341162665794,-0.7058251443561596,-0.08311662667618869,0.6678549253037293,0.09532796279725131,5.0107401349689145,329.53478730829397
28,-148.7151801890016,0.15197803837645263,-13.791916228407182,0.06251869357708417,-0.05204994543313557,0.026555800894648353,0.2786597223858811,0.033130052814651534,-40.21841169373423,-0.8222603785360598,0.06926635214775012,-0.09946736945788848,0.6931790029392364,-2.047155248978819,7.157884712639653,517.6378136621402
29,-33.7661875626834,0.07323630933921225,-7.8232134611065,0.048284870175454915,-12.709723648519496,0.09586400634491488,-9.176229397497284,0.12443583922841482,-15.098700044036292,-1.8298193913679834,-0.41888456950406816,0.02001710026945691,0.6955402741792625,-0.702978972098905,5.87982849768135,429.0473704473486
30,-6.991073622593774,0.03511158881452411,-1.0163799098544892,0.023082553761739757,-2.431785221112838,0.04796244062128419,-1.8174712405036426,0.06547594613081839,-7.144823925662424,-2.154778273401246,-0.5679719077199901,0.012295575280787174,0.6861647292601674,-0.47763995468275144,6.035155492695941,423.2621956326096
31,-9.08247549487313,0.039439509360842506,-2.2052792461306985,0.029102520958462157,-0.47268509018522575,0.031419275739618925,-1.0167776114358937,0.055396336241118026,-6.950860334410224,-1.6066299332128922,-0.16340364698626852,0.04181903631099204,0.6914803944259534,-0.4324493727785592,5.14453351920846,420.85833836344204
32,-14.180435358383532,0.04839383388379265,-9.460810555412811,0.052575128576513336,-12.914532662655326,0.09657740614061018,-7.653759728203207,0.11475046479358521,-6.37889104588583,-1.9312341682445027,-0.42020515129495317,0.019081099644332133,0.6804340000644482,0.04739222648580055,4.803687994930854,343.9653616342357
33,-46.53392129781073,0.08563469147123756,-6.407743230282526,0.044242599373701716,-9.611359603212362,0.08433866862068803,-7.351563583499839,0.11272907225853471,-9.19509060152161,-1.5916710398970197,-0.5615438350051505,0.03941212078856415,0.6979210554982548,-1.0233292349383967,6.5047045683115,457.1719172596027
34,-4.653918961389313,0.029534029590528938,-6.851316424990944,0.04554795839270284,-11.315364380269854,0.09085835251831768,-8.241182567913413,0.1185811920977821,-6.4890634215947856,-1.907480168961568,-0.4679884019083487,-0.001557392154666326,0.6816640115902451,-0.4356870566308204,5.775122197678151,404.67320522988626
35,-1.9671975914443998,0.021395436435278064,-0.7428264087461445,0.021459754086361346,-4.259110173811502,0.05937414369823101,-3.018555943710658,0.07819645162586265,-6.734218889449208,-2.116035291902811,-0.5856798606768427,-0.005704702934402395,0.666631559159965,0.042887009178865454,5.432770242393877,346.056659704088
36,-36.00856658658169,0.07556123510165637,-16.363346468494534,0.06773519579700646,-17.752272675616137,0.1121161509043221,-10.527630093463989,0.13244087853289865,-7.332162680667572,-2.2384190592065547,-0.6581765273403795,-0.030225544425035666,0.6884110693840552,-0.524853760084947,5.800210406747757,426.37737272790196
37,-64.70511143499621,0.10068099388165931,-2.8336919027584693,0.031827774959191334,-7.394623996897941,0.07501391792411101,-4.725877148305725,0.09334112904799785,-7.093046790298066,-2.3561246989521067,-0.7348284238812604,-0.07841470406290219,0.6911371457088511,-0.013959250499848475,4.719852998001049,364.5570522164085
38,-10.345578428852637,0.04183706763140765,-1.8707626082434423,0.02754205335948738,-3.7570703773429024,0.05646911910711453,-2.867705597105839,0.07671472655518978,-6.84759717396012,-1.9080646206605252,-0.4296643277959089,0.05357501814037091,0.6836906720528129,-0.14595592729806328,5.174210864850246,365.1397308082121
39,-14.23986910196363,0.048488475997998604,-9.063367946136971,0.05156670133146976,0.21428604235996584,0.02294951219503151,-0.29758000236169657,0.044434378365401,-7.285879427588705,-2.3132760099846603,-0.7017736512851616,-0.0854495330009526,0.6686760835839892,0.12131533015136209,4.62394463843288,335.2604445833026
40,-19.54017946831479,0.05629243472869488,-9.266331553872632,0.05208411843744412,-13.057581995214646,0.09707257215873552,-10.253977232488573,0.13085943866015096,-6.082088727838989,-1.7762161074453404,-0.2992607040036248,0.031777747522653055,0.673540912887403,-0.3386356956373415,5.801591824865959,388.4805958998358
41,-2.8804473298575024,0.02446745580299529,-1.829452826978081,0.027343172591314618,-6.8963295849633415,0.07275349450640844,-5.184386038236541,0.09700638762790348,-7.75306652286749,-2.4533771013992154,-0.8215540397955223,-0.10494975802734752,0.5890845902479026,-0.09305954077474787,5.010318621053003,299.94005283059755
42,-56.839641986233985,0.09446277815197925,-10.945860328597716,0.05618318961840687,0.1142034329894227,0.02436734550019202,0.31828700109813146,0.032207189197055536,-6.410556453495204,-1.6241501188334482,-0.18891519192377793,0.05743294273396693,0.6794932690652474,-0.9434406108512063,6.468942959643298,443.3245376551037
