scen,swc_nse10,swc_rmse10,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8371026264431138,0.01373852198791092,0.7259200598465241,0.018960552154936847,0.6255433390332588,0.6034352668515349,6.101427396068409,2.6875223563371464,2.017795424384313,1.9386852656505564,0.7640959119394669,-4.035298876953692,4.682786409417665,354.6060209546196
3,0.8721078879452036,0.012173202649329536,0.6444384289830498,0.021595823192731192,0.6997142216179804,0.584471392039585,6.338906737856446,2.6500560367117063,1.6123999758142726,1.9423226409871002,0.7538455563446886,-3.051672994422449,4.199260142855481,334.39582740799926
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8456714710990568,0.01337229904888114,0.6093013017079352,0.022637754047142085,0.6834463061143978,0.6357550181500753,6.255524977997884,2.748645350769053,2.195418749071825,5.039803794929767,0.7640928099255105,-3.7593854699103852,4.539452707419876,353.0799443390793
7,0.8694445945616023,0.012299300175657201,0.6972335394398341,0.01992811574168306,0.6861600139652699,0.5152788095054552,6.176035038258664,2.7734620526453524,2.0988044221677513,1.8260628934689935,0.7236294529896496,-1.6507575799507221,3.4594165884615173,294.544608783589
8,0.8638790086413025,0.012558724220234387,0.6910616952208106,0.020130206711264895,0.6698310052496573,0.5852758002792797,6.025980367114842,2.657950940915179,1.7328393798345303,1.9742427012032917,0.759247161218505,-3.8233745480861856,4.533875900278685,348.9275997545989
9,0.8506775336626008,0.013153627818190176,0.6856702948282063,0.020305096956570554,0.6782490622767842,0.5576184112747198,6.2562419744430695,2.629448145528015,2.3028764387787968,1.8700412915728124,0.730964482940161,-1.760885160882311,3.528128452442042,299.22393066227676
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.8620454522440644,0.012643024601364627,0.6942380227018581,0.020026455691870566,0.6879426170459729,0.5646602332376793,6.147357347368132,2.6686538797632555,1.7912346090633289,1.8728323118440704,0.7561002055592911,-2.689218275273118,4.161476600691734,324.33834805886283
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.8495537564748975,0.013203031099997249,0.6299397736248227,0.022031727941534244,0.6951064796785041,0.6128584196586826,6.201147843396334,2.688903788711628,2.7330457443818506,2.036867493681303,0.7581344924752266,-2.767312844141072,4.176147595888084,326.4776076370112
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
