scen,swp_nse20,swp_nse80,swp_nse110,swp_nse160,trans_cor,max_trans
1,0.742994915509589,0.8649402673883921,0.2498781316455162,-1.5468084577051555,0.6829905933517537,6.875668671771436
2,0.5948183190750447,0.6217736289106708,0.7179053161766766,-0.4005534887480442,0.6270456883605147,7.627547967295827
3,0.5561731825380951,0.5694179393778318,0.7713583537916363,-0.22969567871653718,0.7440079417985843,5.208726104253015
4,0.7084742963142459,0.7275838062884581,0.7649968486902504,-0.6330132486604647,0.7728375836896705,6.282560660614478
5,0.6325094498518471,0.7990837571831491,0.34768541676357045,-1.5732380412627438,0.7554438546901626,3.957147625722001
6,0.49072622043726677,0.4791709755395337,0.4319416557955723,-1.4672873552857628,0.7418647876591009,4.812557543099462
7,0.6542250953456639,0.6265800342308377,0.8473799736958529,-0.5556629387767966,0.7613512628913023,5.539904296327041
8,0.6298872546002607,0.5835657972976136,0.7723717123632138,-0.502476956534069,0.7671717904324811,4.888605682556909
9,0.6391143169175276,0.6102651514774384,0.7692679658361516,0.24394818156860743,0.7149435796655934,4.914268694440295
10,0.4798172189212555,0.4775575316881401,0.6042012758076671,-0.6405460220340715,0.7522372542576785,4.914872228043877
11,0.6484186327748365,0.8083302976178621,0.40184769633959694,-1.6271300409986424,0.642720800905843,7.9983280073256005
12,0.5615457692580423,0.55814953227959,0.5480979984560336,0.028819908222895263,0.663959930477882,5.8055717117824095
13,0.6267691685657303,0.5884443281600131,0.7920260752248378,-0.23948372616976643,0.7479506036818759,6.282553360562112
14,0.6434359928084158,0.45537137038169684,0.12706300316525565,-1.5954709377984866,0.6179356111916228,7.672450324542774
15,-0.22796573944879195,-0.3947876071641605,-0.3617507287587014,-0.5589400077092097,0.7502290511927936,3.3398745447058666
16,0.6786578949541855,0.7628325443450866,0.7103908012590991,-1.5465408124388573,0.6968959489362003,5.6922921275774705
17,0.6164633030051794,0.6546109418493374,0.8439805159117497,-0.1670234080091284,0.7308523643870336,6.5880100437914635
18,0.5760991906472102,0.6467979511366455,0.3960488094928807,-0.8411408122081854,0.6766780162346236,6.038195084699564
19,0.2935726005727115,0.6472402614006267,0.4511854134497547,-2.8982462564099425,0.7502892147161353,5.113482810803372
20,0.4711610350455371,0.5235032447411831,0.7955301953094362,0.002204903012463899,0.7641486646648159,4.410434433653091
21,0.5730001688196789,0.7334761244501391,0.8781171928895529,-0.029263637697003242,0.7690294656905677,5.066869181392227
22,0.10436074034523712,0.040229381963576616,0.25765708027264345,-0.26689916290170723,0.7610712411897723,3.9278017435879953
23,0.6932797852513584,0.6567127002352149,0.374675715765733,-1.72355751195122,0.6845131678424661,5.760181977684829
24,0.06475134822562756,0.5842569503854282,-0.5176439025568058,-3.1205353041104926,0.5976507050815606,6.059992978009834
25,0.36875323411480887,0.3031266993643953,0.42866435959701354,-0.5638505453378668,0.7649594264806149,3.5898383398676925
26,0.5641770944999218,0.5768498557840207,0.7840064251354117,-0.6283413986942081,0.7573021782821167,4.080299149977593
27,0.7130341045699771,0.8443754319801291,0.4201447205174581,-1.4940325482126924,0.7808758681078771,5.3731653537096
28,0.399046626256337,0.7547807897087131,0.13537880532063196,-1.6715661554388297,0.6803315926302654,6.427203410520637
29,0.547267809911856,0.5941040987091035,0.18728591938742556,-2.1916957264297743,0.6680652372083462,6.036925932074368
30,0.7653654625324318,0.8273491587492918,0.6489599483085329,-1.0985745350936704,0.7702990444588081,6.031690585936349
31,0.6677688342681788,0.47821351228573317,0.6335225062033891,0.14123905282464844,0.7682456201238663,4.090576722959047
32,0.6942299617454822,0.775878964947891,0.791427735232522,-1.0487695315664527,0.7596971219917634,5.661981641534935
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.23727248438533521,-0.02993563804289412,0.15033849071572702,-0.08096166888628553,0.7855263372452743,4.143118307386171
35,0.5025778719848659,0.5689770231139248,0.6946944287686351,-0.4592305679541695,0.7461187677853732,4.395570932577316
36,0.17444491439168008,0.22220374694755007,0.478251332062834,-0.11690641462815354,0.7809250945121353,4.615061115141777
37,0.4421364299690511,0.5110824761622637,0.5399595774558996,-0.8706143681019427,0.7570725614824061,4.818192469079818
38,0.5737852890262716,0.5630197778582988,0.13564222469865395,0.10692825828459818,0.61069945119876,5.585266210170704
39,0.702667069785006,0.8173265039017266,0.6555490278376497,-1.8844233850815182,0.7534592219874672,5.478806549500098
40,0.5842944809532487,0.44466560344341155,0.15698186405154557,-0.04214318621359392,0.774656659639131,3.930821158540659
41,0.6405157721151018,0.6795877110417579,0.6418052144739415,0.32571071381023897,0.7261220054712565,5.044247342595726
42,0.6197445561175705,0.7940445087094323,0.3229838223982613,-0.8306919855819497,0.6995336000446584,4.210279134588276
43,0.6311838504472049,0.593237754558557,0.8280709683528628,-0.28846393358636124,0.7386028135505777,4.914584253588099
44,0.720389219609987,0.8363215078052236,0.7912278588831201,-0.0780287672378317,0.7445348286475774,4.637415622679642
45,-0.08377027286101235,-0.2790479802749972,-0.1738989891381737,-0.4456514231431219,0.7658634340102686,3.306747727258435
46,0.18162670190545838,0.1042057616270291,0.08838984921437598,-0.7900185766078174,0.7544621723869487,4.338470273299427
47,0.47112342653391337,0.41547453996197825,-0.1606611887913223,-2.680771918479385,0.6095570165157504,5.938542578405501
48,0.23123222230860474,0.3170097451489008,0.4325251250333818,-0.46257290200343104,0.7558885701930927,4.450217760472846
49,0.38008819886182055,0.49256510737786086,0.6251620999968744,0.39739122694080165,0.6299907793918577,5.595685175359922
50,0.19768853726379687,-0.04951746099325849,0.19317081805832048,-0.3816495673239422,0.7710725612582997,4.123987328129745
51,0.4995267285969245,0.430516931355615,0.26568793174744154,-0.7603461211410663,0.5296081924943974,6.648693577997654
52,0.5344395763540701,0.47248478519518655,0.7830984795895107,0.4226292668271705,0.7632648281763829,4.912775182499463
53,0.5531920432473081,0.3593537264286163,0.5668081547353141,0.22264867410841283,0.7451416579326757,5.4395340660959315
54,0.696415077634277,0.8260178076844319,0.0825929597707975,-1.8058014339023911,0.7463630498292718,5.4035401568280745
55,0.7284998063965233,0.7516611166837233,0.7451278279058533,-0.8739924916171349,0.75516848466672,6.051042130446459
56,0.6073607042715718,0.6252520148827815,0.741055874313706,-0.7892112551968877,0.761240406688131,6.198527375054753
57,0.7521212148026349,0.7033891224889739,0.8018231621718532,-0.5206605102859205,0.7395554553512885,6.449937403101121
58,0.8143486060499068,0.8711412354793509,0.2601879583986748,-2.6280121587585072,0.730461714666878,6.014790674786188
59,0.5654687262867008,0.6988271036223154,0.6084605698310775,0.02199939761804015,0.7589399504046034,3.5020355635119205
60,0.7225375246663537,0.7095090094476941,0.6792310459106747,0.13976674635948128,0.7164634168103858,5.261886420980067
61,0.7134772954743638,0.6977027572410179,0.5404466749207932,-1.2371013372082258,0.7312221126190362,5.118953050815021
62,0.4125924209534747,0.5790758788651293,0.4806719588658078,-0.8249788433040106,0.7687617919066428,4.103883598315172
63,0.6671575614567038,0.8241957627184808,0.4365311437708699,-2.0531554090357353,0.6937553283132467,6.34004596973497
64,0.5605116284549456,0.6176166014412506,0.6629519945143896,-0.9752373896159678,0.7670466373740084,4.25395953091827
65,0.4847577762500639,0.587096263970164,0.6879336389550597,0.11062302784204503,0.7592553327392346,3.674849877017026
66,0.6533073553651764,0.5935152432877107,0.6431189761603336,0.26762725327842274,0.6227313109435504,7.436682171327635
67,0.2640019934700093,0.36859210294091527,0.400722467379215,-0.9569901954026656,0.7752642731614486,3.658293930023939
68,0.631333237209551,0.8271302468794419,0.45815112414294756,-1.776342083582076,0.6435386224231276,6.135494361370728
69,0.5639448628353523,0.6228850284522388,0.8324304205894268,-0.36418280578951556,0.7344159060935439,3.678736071251119
70,0.5906129377966549,0.5155995230191204,0.6118414438191824,0.36029547927000827,0.6367246595165149,6.138866870206053
71,0.5720207889085331,0.4632073281165975,0.6979223543476631,-0.6134064013275922,0.7681486301838154,4.477596438760181
72,0.5544138911289511,0.6182905335075496,0.7037700461256224,-1.1961452339259742,0.7647581151239369,4.602517354966266
73,0.7332247635318503,0.839330085258418,0.7165245294874085,-0.8704758524305451,0.7521440650156669,5.273641683175323
74,0.05640873099935173,-0.10410429564035817,-0.0837868470646359,-0.2352334989082887,0.7517936741959527,3.7359841019220372
75,0.26317915245637846,0.21236013050523583,0.2701398999265068,-0.8194052603044402,0.7715757110589443,3.7278733093261893
76,0.5070795418849217,0.3508762130436983,0.5064101447897607,0.6233404172839897,0.7129575505743493,4.620665595883735
77,0.5854668816284017,0.4264873180530532,0.6687113529879108,0.33287449639402666,0.704613565143716,5.9303324087941975
78,0.6265883363252187,0.8010270080573179,0.595827910152112,-1.4325996678832236,0.746416890804843,5.227484335641654
79,0.08756232429916921,0.052999529642226206,0.16724551967244916,-0.38849493946429026,0.7527939336200932,3.8255069845923844
80,0.2902903779690017,0.6872261043292636,-1.5928067478102625,-3.9374530489784707,0.6720241748343923,6.586842196647719
81,0.736767790917155,0.8829844384893821,0.4956821290804331,-1.8028816756170012,0.735729517138611,5.09489792315796
82,0.46443452835734,0.4849956536863702,0.6988327533318176,-0.35251109644779777,0.7698756840277817,4.158163205565455
83,0.5768517253425318,0.5655536192717467,0.08095496199809016,-2.588515087909536,0.6092652637005869,8.508706807979662
84,-0.027560516666524038,-0.2832070169202252,-0.17517556696626024,-0.5468791620845708,0.7711412698218084,3.6467925143616284
85,0.6744101352830402,0.8573969874148629,0.5438626875930761,-1.1111326154521244,0.6706146820601377,6.853677586197744
86,0.5785647043659226,0.5760634597136806,0.5261982347307514,-1.1235474099819727,0.7519916823847249,4.947305294948974
87,0.5435271893528564,0.4143771009804942,0.6741634425436231,-0.1677377873772392,0.7442152064551147,4.893818924521797
88,0.04441535570440813,0.038959838416976034,0.17624286202680028,-0.27433132534203675,0.7834019346482238,3.473433530941366
