DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,thr1,ksat1,alpha1,npar1,ths2,thr2,ksat2,alpha2,npar2,ths3,thr3,ksat3,alpha3,npar3,ths4,thr4,ksat4,alpha4,npar4,ths5,thr5,ksat5,alpha5,npar5,CINTRL,FRINTLAI,GLMAX,CVPD,R5,T1,T2,PSICR,FXYLEM,MXKPL,MXRTLN
0.7667250000000001,0.008122500000000001,0.7473312500000001,656.2405,0.58311,0.06091875,0.02012500000000006,0.6403875,1.15122625,0.4482075,0.011476,0.2325750000000001,1.006125,1.19733625,0.48175500000000004,0.11409975000000003,-0.08073999999999998,1.142725,1.2521025,0.29241,0.0569775,0.44562500000000005,0.6780200000000001,1.259914,0.5319825,0.16443375,0.3754125,0.820975,1.35159825,0.5451662500000001,0.16635925000000001,0.004695650000000001,2.6040625000000004,68.577,12.174275000000002,26.613374999999998,-2.289225,0.16043000000000002,21.926050000000004,2395.65
0.9606750000000001,0.6699825000000001,0.41448125,645.1665,0.41509000000000007,0.10515375000000002,0.08662500000000006,0.6603224999999999,1.1906362499999998,0.4221375,0.052348,0.20097500000000013,0.540775,1.17617875,0.49273500000000003,0.014428750000000002,0.41350000000000015,1.376875,1.2497025,0.33715,0.14685050000000002,0.150815,0.73066,1.2090699999999999,0.5462975,0.038328749999999995,0.3830625,1.381075,1.34643725,0.6865987500000001,0.13821425000000004,0.005737250000000001,2.5716875000000003,60.537,11.953075,28.506825,-1.623875,0.16441,17.649250000000002,2092.15
0.500075,0.5026275000000001,0.42708125,936.2265000000001,0.57585,0.051948749999999995,-0.291875,0.8553525,1.19599375,0.40932749999999996,0.037244,-0.466625,0.799525,1.19350125,0.35728499999999996,0.13706675000000001,0.14922000000000007,1.059275,1.2015125,0.34841,0.13565050000000003,-0.021355000000000013,0.8733,1.272642,0.5871525,0.051581249999999995,0.6285125,1.4246250000000003,1.36364275,0.5763787500000002,0.11627675000000001,0.006153050000000001,0.9434375,108.18299999999999,14.949075,27.611775,-1.567575,0.47623000000000004,15.90145,3300.3500000000004
0.296475,0.5204475000000001,0.7699062500000001,691.3735000000001,0.22583,0.09332625,-0.11957499999999999,1.1922225000000002,1.1753337499999998,0.5664374999999999,0.09726000000000001,0.3602750000000001,1.015775,1.17617375,0.49004500000000006,0.14286375000000004,0.3878200000000001,1.048175,1.2025975,0.52753,0.09923650000000003,-0.085165,0.92266,1.231066,0.5970275,0.10053374999999999,0.6715625000000001,0.746975,1.29368325,0.20961125000000003,0.08013675,0.005427350000000001,2.7553125,142.143,13.849025000000001,34.238525,-2.198875,0.3893700000000001,8.05885,2786.25
0.409325,0.4685625000000001,0.5532687500000001,84.0675,0.20899,0.07685625,-0.351325,1.0251825,1.18932375,0.4879125,0.035684,-0.176425,1.0995750000000002,1.1981137499999999,0.432225,0.02815625,-0.09589999999999999,1.266375,1.2184175,0.34253,0.14902750000000003,0.22743500000000008,0.9913800000000001,1.2014259999999999,0.5870325,0.17680125,0.3123875,0.565075,1.29196725,0.28317375,0.19964575000000004,0.004019450000000001,1.0329375,155.47500000000002,8.259525,30.151325,-2.496825,0.3775900000000001,16.733050000000002,3964.25
0.265125,0.0602325,0.41286875,587.4935000000002,0.44523,0.14869125000000002,0.3715250000000001,0.9498525,1.17849625,0.5369025000000001,0.078796,-0.404575,0.580975,1.19286625,0.5124150000000001,0.05879025,0.2775,0.742275,1.2902775,0.46493,0.0539955,0.2989550000000001,1.26702,1.27485,0.5048925,0.07665374999999999,0.3227625,1.4619750000000002,1.30763225,0.7181962500000001,0.14439575000000002,0.00243725,2.5091875000000003,82.959,8.176225,32.148125,-2.443925,0.15179,9.10645,2864.65
0.9156750000000001,0.5328225000000001,0.5334312500000001,587.1995000000001,0.31803000000000003,0.14766375,0.13647500000000012,0.9972825000000001,1.1689937499999998,0.5338275,0.08807600000000002,0.36192500000000005,1.209375,1.17596875,0.548945,0.14089175,0.4095800000000001,1.161175,1.2083625,0.5329900000000001,0.10630650000000003,0.01683499999999999,1.04474,1.211058,0.5398975,0.07669875000000001,0.6714125,1.490075,1.31168175,0.6575587500000002,0.07821275000000001,0.007701350000000001,1.1311875,161.673,13.992175000000001,33.760775,-1.7769749999999997,0.26377000000000006,24.34345,2083.55
0.142125,0.5449725000000001,0.7423062500000002,80.0005,0.35707,0.029793749999999997,0.1689250000000001,0.9780225,1.17749875,0.3161625,0.12562800000000002,0.29547500000000004,1.368025,1.16957125,0.5369250000000001,0.10570175000000002,0.1239400000000001,0.742225,1.2249825,0.38169,0.059175500000000006,0.12051499999999998,0.8819400000000001,1.245534,0.5743425,0.03469125,0.3728125,0.890125,1.29997525,0.26854375,0.07067925000000001,0.00560015,1.3564375000000002,140.421,13.516875,30.786375,-1.8219249999999998,0.27355,9.54565,3333.55
0.9007750000000001,0.4330125,0.6958812500000001,152.9125,0.46591000000000005,0.07144874999999999,0.2941750000000001,1.4629425,1.15260875,0.3408225,0.09599600000000001,-0.377525,0.847125,1.16746375,0.47044500000000006,0.10710425000000001,0.42318000000000017,1.4730750000000001,1.2592375,0.40291,0.11307550000000002,-0.08984500000000001,0.9395800000000001,1.22887,0.5346375,0.16562625,0.7158375,0.827125,1.30940025,0.5447537500000001,0.17551125,0.00413525,1.2146875,85.599,13.595625,26.573075,-1.837975,0.49587000000000003,11.78575,3413.25
0.361275,0.6341175000000001,0.5191062500000001,888.1575,0.51307,0.043578750000000006,0.0610750000000001,0.8638575,1.15249875,0.3334725,0.00031600000000000004,-0.13892499999999997,0.973075,1.16257875,0.387335,0.005716250000000001,0.3162200000000001,1.346875,1.2305675,0.53799,0.11550450000000002,0.34545500000000007,1.07746,1.261746,0.5958075,0.08667375,0.3658375,1.234075,1.3449942499999998,0.6179587500000001,0.14403825000000003,0.00462755,1.8925625000000004,163.85700000000003,9.966125,24.025075,-1.996875,0.28903,20.77135,2316.65
