DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,thr1,ksat1,alpha1,npar1,ths2,thr2,ksat2,alpha2,npar2,ths3,thr3,ksat3,alpha3,npar3,FRINTLAI,GLMAX,CVPD,R5,PSICR,FXYLEM,MXKPL,MAXROOTDEPTH,BETAROOT,scen
0.1419042857142857,0.6850964285714285,0.7857348214285715,699.5464285714286,0.5918799107142857,0.02106696428571429,-0.05550714285714284,0.7689598214285714,1.24166625,0.20463892857142857,0.007238142857142857,-0.26298125,0.9042053571428572,1.209553392857143,0.22425589285714284,0.003694928571428572,0.20850446428571429,0.7337366071428572,1.2937013392857144,0.19998678571428574,0.0063520875,1.0256339285714287,95.76750000000001,-1.5906526785714286,0.28183285714285716,9.830803571428572,-1.4568214285714285,0.9660291607142857,479
0.11456142857142858,0.6335964285714286,0.7810548214285715,674.7035714285714,0.5887674107142857,0.00670875,0.11045000000000005,0.7217544642857143,1.22697875,0.20379964285714286,0.009524714285714286,-0.14128124999999997,1.0258125,1.20569625,0.23596875,0.002716071428571429,0.3084776785714286,0.8943080357142857,1.296985267857143,0.18961535714285715,0.005812341071428571,1.2022410714285714,79.12607142857144,-1.5770008928571428,0.3157214285714286,8.540482142857144,-1.7708642857142858,0.9702885178571429,873
0.12292428571428571,0.5395678571428572,0.6831183928571429,730.9535714285714,0.5757227678571428,0.016331250000000002,0.09269285714285719,0.6547901785714285,1.19904375,0.20604535714285716,0.011545285714285716,-0.14856874999999997,1.0239053571428571,1.2180744642857142,0.21881410714285712,0.0011780714285714287,0.15612946428571428,0.7108080357142857,1.2858245535714286,0.1911532142857143,0.005892444642857143,0.9768482142857143,60.72535714285714,-1.5909241071428573,0.26762714285714284,9.188053571428572,-1.6694499999999999,0.9670529464285714,1280
0.10494428571428573,0.582325,0.7225594642857143,712.3464285714285,0.595659375,0.02662232142857143,-0.14605,0.7349955357142857,1.18228125,0.2082382142857143,0.0071215714285714285,-0.24206875,0.9084375,1.2212823214285713,0.23815660714285714,0.0019146428571428574,0.27823660714285714,0.7971383928571429,1.298128125,0.1974475,0.006489391071428571,0.8643660714285715,77.54035714285715,-1.5853151785714286,0.27511,10.644982142857144,-1.6338071428571428,0.9654842678571428,1505
0.14152142857142858,0.6513892857142857,0.7710680357142857,715.6392857142857,0.5861745535714286,0.007086964285714287,-0.13859285714285713,0.6097723214285714,1.21661625,0.2129175,0.006399285714285714,-0.07444374999999998,1.0878589285714286,1.22298375,0.21675910714285715,0.0004163571428571429,0.13881696428571427,0.8303973214285715,1.2914995535714286,0.18186678571428572,0.0055702625,1.0657053571428572,76.97892857142857,-1.5818401785714287,0.27144142857142856,9.247410714285714,-1.7616785714285714,0.9663532678571428,1673
0.10316142857142857,0.6896321428571428,0.7886041071428572,693.4892857142858,0.5537477678571429,0.001854107142857143,-0.16860714285714287,0.7143526785714286,1.19008125,0.2038232142857143,0.006194714285714286,-0.21793124999999997,0.9798696428571428,1.216059107142857,0.22946517857142856,0.0027436428571428577,0.30895089285714283,0.7178794642857143,1.2916941964285715,0.19704392857142858,0.0063996625,0.9265089285714286,86.4975,-1.5820508928571428,0.25341,8.748553571428571,-1.7572928571428572,0.9699726607142857,1817
0.11582428571428571,0.6253178571428571,0.7816258928571429,786.1607142857143,0.590690625,0.007712678571428572,-0.17372142857142858,0.67265625,1.19064625,0.20790464285714286,0.007693857142857143,-0.08949374999999993,0.9441910714285715,1.21997625,0.21487982142857143,0.0005862142857142858,0.19467410714285716,0.7333705357142857,1.2777111607142857,0.1879317857142857,0.0056783375,1.0319375000000002,63.52392857142857,-1.5967312500000002,0.3147157142857143,8.466446428571428,-1.7990071428571428,0.9642589464285714,2199
0.11166714285714287,0.5863464285714286,0.7095130357142858,770.875,0.5725084821428571,0.004542321428571429,-0.047935714285714276,0.7503348214285714,1.23019125,0.20587392857142858,0.012500714285714287,-0.36481875,0.9600803571428571,1.2215791071428572,0.22646732142857143,0.002680785714285715,0.23756696428571428,0.69065625,1.2889745535714285,0.18786892857142856,0.006303373214285714,1.2117767857142858,100.21392857142857,-1.5967437500000001,0.27628142857142857,8.564589285714286,-1.4923071428571428,0.9682087321428571,2901
0.12020142857142857,0.6866178571428572,0.7894816071428572,634.4607142857143,0.5928147321428572,0.018711964285714287,-0.16187857142857143,0.7778705357142857,1.21672625,0.2074717857142857,0.011271857142857144,-0.13085624999999995,1.1319910714285715,1.22784375,0.2145594642857143,0.0036365000000000004,0.10002232142857144,0.6594866071428571,1.2885700892857144,0.18794035714285715,0.0058859624999999995,0.8813303571428572,61.1325,-1.5561455357142857,0.3195928571428572,9.715625000000001,-1.6867357142857142,0.969914125,2917
0.1621442857142857,0.6261321428571428,0.6996933928571429,610.9178571428572,0.5983352678571429,0.0009937500000000003,0.09949285714285716,0.8440133928571428,1.24253875,0.2050867857142857,0.006886714285714286,-0.21604374999999998,1.1006089285714284,1.2105455357142856,0.23333839285714286,0.0028415000000000003,0.2645758928571429,0.75171875,1.2951754464285714,0.1919367857142857,0.0061340125,0.8673482142857143,71.50821428571429,-1.5750526785714287,0.27981285714285714,8.929946428571428,-1.50325,0.9635977678571428,3224
