scen,swc_nse10,swc_rmse10,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-2.1229728866462616,0.04270734312468179,-35.08762901696147,0.13785628696931035,-3.300660913374555e37,-0.09239593642298005,3.9454992190204847,3.5228098129484957,3.5510662398903023,3.267038304152431,0.9127927075306099,-7.7410744083053515,7.482443050962742,732.1453518705943
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-16.048742359872325,0.09978485286792556,-80.46526842694247,0.20712553759972452,-4.717503960989393e8,-0.0986714765986616,3.97071875522404,3.069343636377036,3.337967022558654,3.03886913476482,0.9207177254246041,-3.6698889091443307,6.581901350914344,605.0818942407326
10,-16.468255495026636,0.10100507957056315,-106.02858893825822,0.23740906744862325,-0.19624827684331958,-0.5350496648574716,3.8754096417174826,3.1325564877169785,2.820743335276394,3.3726551219118104,0.9036204999629093,-7.314898412405695,7.260284456500283,727.7849957128515
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-104.72624091542596,0.24849053036071853,-69.88361027681265,0.1932058698823989,-0.469374485089902,-0.6588742071858067,3.8999970193255376,3.1629818284437614,2.6721350181649286,3.067117801324004,0.8849428117692468,0.4061038523570758,3.911310387570556,350.6118061821406
14,-206.51509686736958,0.3481314797770125,-125.71925742954353,0.25832635250576214,-0.3662345260337534,-0.5717420891892047,3.874244884031541,3.2333634776881097,2.99031879427045,3.3231690297353276,0.9122855543239385,-0.6415118888855802,4.1100934658223585,468.7489250513512
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-50.553015278992945,0.17351837957060418,-31.33187462670697,0.13048567763189706,-0.4606774170824268,-0.7101177121420945,3.7964339725251524,3.1486498658492446,2.707545138420382,3.689410377366144,0.8812682937923721,0.7017870623751454,3.3591465732986725,272.87131885048615
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-7.553275593616512,0.07067806974754993,-91.54543075803726,0.2207622912291685,-8.411428416021931e8,-0.32401482372838486,NaN,NaN,NaN,2.948989271573927,0.9019432302828865,-3.700552610059912,6.334954375489191,594.9444704713579
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-103.22101008036998,0.2467153019068604,-4.843633879495757,0.055473925812951165,-257.35425141338055,-0.36683999203112583,3.9138592775268863,3.1617526047689744,3.7609481657038724,3.510168539237164,0.8781641080673636,-2.353425767056099,5.371729309145816,535.2900582374397
23,-13.727455533878146,0.09274324929351126,-40.76143679201428,0.1482979399819291,-9762.833822757817,-0.5058487294674876,3.9641613440866674,3.077810090432705,2.667423771761852,3.0871018746089547,0.8907040597737209,-5.110440463395454,7.397119113050234,653.8140841033187
24,-75.46035894907588,0.21131805935124218,-33.49162599168698,0.13477341602746556,-0.18505703906150894,-0.6538753264946435,3.792636923143255,2.977442004919463,2.7600539396337687,3.4988506288033068,0.9132197828685132,0.6804414405170577,3.3642094998925636,326.8628601052016
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-18.189527665254438,0.10586455832391432,-30.439656840126208,0.12867266644053357,-20.666117787434604,-0.4744465676817671,4.053664995553345,3.2469232334030314,3.076952642993346,3.1145817104456635,0.9123979353312143,-1.230143616556116,4.994271450798407,489.9055873633657
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.9608647540807735,0.033840928282148894,-11.687618359183032,0.08174053117662812,-1.9435185762981308e56,-0.4932392946718931,NaN,NaN,NaN,5.0329619314398695,0.7312119660810098,-5.607013551693362,8.356837157263717,617.7495292292227
32,-40.24178123810225,0.15519836958985095,-29.830452828732266,0.12741992760916815,-0.1301777979239489,-2.465745723596429,3.933111649611557,3.373816663319026,2.751482171632049,2.908949798413756,0.9352540362272578,-2.863667138588045,5.390228135045781,600.3777889431854
33,-60.24775140981315,0.18913134975044338,-6.733598599738419,0.06381726909888838,-0.48389568661426074,-5.844205982258396,3.9030889627976917,3.353701727292852,2.7692483622022257,3.1074843702629025,0.8505648048891109,-5.798048237723559,6.439099213464811,723.4203011088434
34,-95.39427325039722,0.23727067409310237,-193.3298504123799,0.31990215111242887,-0.5878820041573956,-0.6748816305575223,3.897613319741878,3.192433637588081,2.974388697249505,3.467606438474155,0.9110913571443973,-0.38764498982824125,4.293068525798681,441.2776147307019
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-156.02652576341845,0.3028342269018424,-221.1801444514633,0.3420582146517363,-0.5546548265194351,-0.755012784782584,3.870468082754101,3.1068766277796676,2.8827522964072996,3.363974928750474,0.8693945181969661,0.2548928267193352,1.8595105923143147,129.15313449572335
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-34.09202629750634,0.14316032329780365,-12.403654052880686,0.08401542087599698,-0.3319740369371069,-0.6992676627858141,3.858933743803537,3.094366130463393,2.707337840775881,3.5428085327894654,0.910121363569548,-0.2267746408031055,4.482514861520237,416.713512764707
39,-3.9255584553795773,0.053634740803679845,-11.340517321142302,0.0806146708685521,-273367.3602724846,-0.5761591414202516,NaN,NaN,NaN,5.758775362271301,0.8901806558577906,-1.9082149039511038,5.536363526197509,502.54746692675275
40,-1.9868878902144393,0.04176648319076806,-4.024313738242621,0.05143820175748885,-8.871038847971601e9,-1.476030879954778,3.961528508237969,3.475247194034122,2.9630837186734054,3.352553327925795,0.8305362202874743,-8.276986045087673,8.438224745406105,712.3004530681654
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-16.522803044367162,0.10116265927620743,-0.7164840495553082,0.030065420911016657,-4.1768380891174586e39,-4.850466609983714,NaN,NaN,NaN,1.9888629317429403,0.8007602061284801,-11.550769267676259,9.27890012180777,756.6417743752575
44,-12.727107174990385,0.08953811757333292,-25.11445843989584,0.1172702670605498,-21.484818169309943,-0.5721750161509855,3.9230014222825784,3.377393729815507,3.2598757526891746,3.432990129608096,0.8731654874701662,-5.352244741619264,6.972909575531795,636.9938609684691
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-4.344206787040214,0.055867607654648745,-62.069489308761014,0.18224560318591349,-0.3483198074057441,-0.7307001728007223,3.836478298976879,3.122320679098111,2.7119332251847705,3.4768801914467966,0.9060299847362607,0.7880774891446424,3.3095784986205317,280.4407297082367
47,-95.96384374335635,0.23797062921987516,-73.20601822617905,0.1976819273003089,-0.4187225724540766,-0.6853969373455338,3.906607998449802,3.0785750436155324,2.812167039956116,3.5521445892459185,0.8800003526837497,0.7318920529118127,3.220929251366114,263.8387568640279
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-30.96388687151897,0.13663068317150126,-9.314622525786108,0.0737011173071005,-64.78843952094809,-1.3463278286129068,3.93796010918804,3.0873175268557755,2.6686289405807178,3.386757074625217,0.9057371473745404,-0.13162575219060346,4.590652506851017,413.84923108082324
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-40.04069035611961,0.15481954122582764,-42.62947440370084,0.15157842592784668,-0.5191442826703225,-0.6614640078823437,3.902404762031969,3.48542024519891,2.7468156058812085,3.166270301484866,0.8767120824694719,0.7404055142679571,3.3042933767728764,254.93048146505097
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-20.718939257397707,0.11262576470444242,-66.19907549655939,0.188117436242365,-2.269119577925994e42,-2.654055241364107,NaN,NaN,NaN,5.016405128160872,0.8883878439387898,-5.625509871046996,7.079423405575584,652.803455280419
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-43.08660465802401,0.16046184218289594,-59.381202217820665,0.17831927104648604,-1.4396165702890897,0.03993119900264086,3.961396113445999,3.2071269811878573,2.744061283955388,2.9173437603050068,0.9287031091631947,-3.7537816346787585,6.338000747199865,609.9710478245736
60,-41.104463571658556,0.15681316368098988,-46.48047967776142,0.15812660662658687,-1.8751272451953942,-3.4899134285727627,3.9542308403908786,3.0856581197837003,2.6732462513298345,3.049995903241966,0.8756984482096226,-6.637738345831565,8.096426750412906,701.1324806635537
61,-76.2787652814424,0.21244598836356518,-102.2947193971675,0.23323110094638733,-0.36584355347348296,-0.7016117563896,3.771191410663346,2.8644058828789545,2.73565074596588,3.151238346294756,0.8833634636369717,0.7472895645764941,3.1779685773070643,259.3174890805621
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-20.207652957071538,0.11129220611457592,-41.04563793229052,0.14880169397749277,-1.2324227693935037,-8.36173087568696,3.969224352097868,3.3381365820942737,2.793278232674547,3.0958541189836746,0.8933930213429055,-4.789193396615162,7.0475697420014525,650.0547393947875
64,-11.495029182794529,0.0854254125426896,-199.94427850617876,0.3253008699689817,-0.1595176595423784,-0.7055078683141622,3.8467004969723617,2.868527150389513,2.7794288356535266,3.128383481741047,0.8895835972485753,0.36717295496380564,3.9012309580532234,360.21830389089155
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-7.87491947122024,0.07199472181422541,-81.7698179929379,0.208777360347527,-1.0100332999821866,-0.7038874164251325,3.9086777715588314,3.4238640895132897,2.8006002877253837,3.6592359626322786,0.9038653034664325,0.5418162097744648,3.7891457740612116,333.83604938670857
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-76.67433539066484,0.21298902250477242,-193.618198377429,0.320139399640399,-1704.8144240925458,-0.607707222544507,3.941889784925211,3.1840196867931487,2.8894815680898014,3.3103291063085396,0.9128605152785648,-1.253707115676229,4.904372650880751,492.11208847154444
69,-14.581477977791426,0.09539437621901799,-94.67092273054462,0.22445918597527983,-3.870766191956163e35,-0.14295180101339056,NaN,NaN,NaN,5.8855567152334665,0.9076721532363012,-7.467515763177605,7.365193326293193,729.6859832834568
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-5.535099524549757,0.06177952294208741,-94.05501205128787,0.22373550721098182,-7.275050781174405e47,-0.2945083050855559,NaN,NaN,NaN,1.7915575207203451,0.9143874993287763,-6.591314504820179,7.706329322878965,688.6551040805914
72,-27.98240466263489,0.13010250404389906,-15.081042767438767,0.09202472020968576,-0.42127393395998847,-0.6288441569086325,3.898396539110874,3.527021666970088,2.771644819551534,3.012939272895071,0.8860599939931556,0.6268339235602154,3.466352056611889,308.95162462900265
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
