scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80
1,0.5752602873622507,0.052092434071441304,0.5396387128711001,0.03665864473669313,0.17295117107824876,0.062160727793153514,0.46738716786392265,0.043903818374994796,0.35282835045618244,-0.10140854746599959
2,0.45126667319303415,0.05920983966390882,-0.15735897152737355,0.058124743390747115,0.5137355878398473,0.04766359090136707,-0.013681068833927057,0.06056854600118984,0.31562791376168353,0.04698056867575495
3,0.5781557873650119,0.05191457033385524,0.4173538725649423,0.04124102393544709,0.27439464007956027,0.0582238281214739,0.3728830786002427,0.04763988889812991,0.2047664403229883,0.057745550817755564
4,0.5821546488890718,0.05166792299322938,0.4528416114143222,0.039965342412698904,0.4023797198787529,0.05284004496456921,0.5054894950491176,0.04230427349502975,0.3511406213835464,-0.05277566917062537
5,0.5690820554173683,0.05246993257715139,0.4278440160198089,0.040868079499729135,0.30144242550742995,0.05712834176189907,0.34588828087976886,0.04865443630215314,0.151451586914934,0.0005015459112056586
6,0.5397148774135562,0.05422838680971169,0.12773490250351027,0.05046046576604825,0.43736466840066335,0.051270082418980185,0.28852019424223196,0.05074319038125216,0.3646059020444713,0.3071978697961959
7,0.5760259597351625,0.05204545973868492,0.17176201041999806,0.049170495041454224,0.4720818149595306,0.04966310014704042,0.31692885000883764,0.04971980901583268,0.3299646278082192,0.11189039164105463
8,0.5583723149325381,0.05311795684633336,0.3613513594034936,0.043177550755233496,0.2152296917840959,0.06055106647661002,0.3475073063730566,0.04859418545013392,0.2874944922619459,0.23575047304021945
9,0.5518333430399858,0.053509758081674276,0.17738669301936316,0.049003248678401286,0.4333747071489432,0.05145155364798564,0.3646349032100309,0.04795215805192147,0.39722064505685195,0.06428307719129733
10,0.561497487139038,0.05292967892489083,0.40177022300437115,0.04178890779589005,0.3650037491874928,0.05446733114118589,0.43602178808537595,0.04517806681847818,0.16274676396337762,-0.041694456612826336
11,0.5919714311183735,0.05105737730287894,0.47592341079188505,0.03911329353822975,0.15712150392936874,0.06275278461963384,0.39014425664633134,0.04697967838578839,0.30619200369578037,0.10191098569576817
12,0.5450111367024648,0.053915495345591126,0.4137906779849314,0.041366937248142735,0.09650195295027997,0.06497018811243567,0.3831263823973241,0.04724921294724426,0.3643932743351407,0.11834302990347856
13,0.5836658147574696,0.0515744081033708,0.3992948077223183,0.04187527771143547,0.19825199883017097,0.06120254164233794,0.35729688373795654,0.0482282699459432,0.2759891891886215,0.041936452108610967
14,0.5629050531382551,0.052844660142689404,0.39350236874953737,0.04207668936963588,-0.00461821253191963,0.06850953798014778,0.3669762444646645,0.04786372386713739,0.20002735997305787,0.07374975450072996
15,0.4545947641663082,0.05903001148448726,-0.2803822224504602,0.06113597251216584,0.5049512357796792,0.04809218460391399,-0.17497979463814373,0.06520962150759564,0.16028153960085634,-0.22736617032269435
16,0.5880918952155703,0.051299529856529205,0.4961308742346743,0.03835181143158118,0.015008168786359022,0.06783703060707916,0.3696543955587427,0.04776236736100665,0.11781580302766959,-0.059400223610339475
17,0.4710293023094738,0.05813384171386198,0.035759067557657676,0.053054202302777416,0.4608342546224793,0.050189360424793945,0.15245676290909882,0.05538311919097194,0.39043747815188445,0.09619861775525418
18,0.5549838586919472,0.05332134530050944,0.13464464396080977,0.05026020438559676,0.44557706141301556,0.05089453026070137,0.2785282828161765,0.05109826280803694,0.31966792535041133,0.36120265587597244
19,0.5437844352926269,0.053988127557555624,0.14817826328433648,0.049865636445239885,-0.08765895255718026,0.0712847916475822,0.30134686981890024,0.05028370673757566,0.28792479125951465,0.2383128511446112
20,0.5579722130961295,0.053142013060901216,0.364024406765474,0.04308709674696672,0.4371263056184014,0.05128094166005828,0.37155681866451884,0.04769023796661368,0.19871451067935542,0.21804254801322775
21,0.5724666759105808,0.05226346530559674,0.3384711267228093,0.04394418450491237,0.35656640808118145,0.05482799700486069,0.37181595759632147,0.04768040440333217,0.39520538050618725,0.16051762331438357
22,0.5497038517913189,0.05363673486813068,0.3735370260689107,0.04276364456768392,0.1165391566687044,0.0642457151599725,0.38264451934860755,0.04726766340834416,0.3866970945710698,0.06449456066382597
23,0.5163052611042813,0.05559028468560103,0.22648196576668644,0.04751844596180809,0.47253322563020195,0.049641862720099954,0.2687225571282086,0.05144433633503969,0.4076082504351163,0.259969481777667
24,0.5546891075033179,0.053339000759373714,0.5194955480889845,0.03745206040868679,0.11304711777234311,0.06437256134702758,0.3359575047787403,0.049022382773995676,0.22893769471585101,-0.2706712057092382
25,0.5799438656114477,0.05180442790767996,0.5046272577168022,0.038027087176595115,0.09505797583702336,0.06502208529736588,0.32989405353833157,0.049245688786521725,0.19968378568409073,-0.2666216478769816
26,0.5640424619781055,0.052775859145405175,0.2824494462398097,0.04576708574681488,0.12578894120050466,0.06390850571384493,0.3812455021578208,0.04732119079578064,0.23488872778059455,0.16042288870639632
27,0.5572275878704545,0.05318675485509983,0.31160886668792875,0.04482751259410832,0.024602269470198945,0.06750584618657243,0.36955433560855355,0.04776615806758409,0.2845215646523964,0.07292045803587044
28,0.5869805342020582,0.05136868835655488,0.3786930269505999,0.04258730139151185,-0.02381702805515662,0.06916106771749075,0.326929905347216,0.04935448535328297,0.28363249097652077,0.05922001743319183
29,0.5998871930938625,0.050559694674007616,0.3367837800682181,0.04400019252914489,-0.1956346147226704,0.07473942546340664,0.267018336850539,0.051504246196826614,0.23067584169602529,0.04224092850679306
30,0.5485485991563669,0.05370549438080952,0.5023628461881111,0.03811390139523764,-0.0026409253675101496,0.06844208461897258,0.32459154776757193,0.049440143869791474,0.16802604294811307,-0.1698124295621919
31,0.5842198780002505,0.051540078713298694,0.3966463080130509,0.041967489901866134,-0.24340659903491546,0.07621792113596247,0.19964597201532308,0.053819238402451196,0.28699207276557526,-0.10794071238969738
32,0.5396351347107701,0.05423308404045295,0.21130717777084806,0.04798228782066867,0.31745386644459705,0.056469835231822425,0.34685936537076645,0.04861830706312784,0.37227073198852534,-0.1393502584555042
33,0.5838500807619136,0.05156299364088518,0.3643207814894833,0.04307705594144173,-0.32436769405738475,0.07866015616038606,0.12236023354438619,0.056357877257217116,0.15946770371603047,-0.1449626830524715
34,0.5686626230864443,0.05249546207035957,0.38114043622903193,0.04250334015638369,0.16540630093630948,0.06244361910290648,0.37514409491722733,0.04755393058095922,0.3293231414838991,-0.019527844596666455
35,0.5701977162993015,0.0524019653565388,0.33549219283192677,0.044043016003362474,0.012796622990882578,0.06791314320974283,0.3603308010836753,0.04811430311700234,0.400915868171298,-0.006271479049467343
36,0.5135111556856728,0.05575061457594779,0.12023408730562635,0.0506769621145297,0.49711778314883026,0.04847118689138425,0.3477199428528309,0.04858626678790262,0.3356503941568072,0.24429530372002828
37,0.5456752904455876,0.05387613036557843,0.40832100008284866,0.04155947809359012,0.05456582399899901,0.06646089168865978,0.3550620171913198,0.048312049071980716,0.27257676083996873,0.05407403651824316
38,0.5891826448484669,0.05123156319772355,0.2567632717974052,0.04657904593292361,0.346439379876853,0.05525778257241104,0.2778286116998706,0.05112303392103604,0.3034287389767457,0.28818434961131667
39,0.48740920059597204,0.05722668903423688,0.19493918274341526,0.048477626937247026,0.321689346915489,0.05629435325624586,0.23123558729101035,0.05274643544568504,0.39140335748127275,0.12049143035381105
40,0.5810069329421702,0.05173883371920058,0.3350384532851566,0.04405805017428366,0.49381717777802114,0.04862999406645463,0.4102832649527005,0.046197471527670765,0.19065351240899953,0.15077939427832743
41,0.5532131425999713,0.05342732261312514,0.3271437355829755,0.04431881680662815,0.3502536191377157,0.05509630189957142,0.40291776490170905,0.04648507705608098,0.22577333280123635,0.012338013420218341
42,0.5381524461538354,0.0543203475773265,0.05289254111028041,0.052580732961031336,0.4707264725728526,0.049726810168610254,0.15000004726193306,0.055463328739478235,0.3810224799226217,0.11928304107144361
43,0.5721141907992975,0.052285005495367416,0.4879341650018224,0.038662497743606375,0.26117402750659535,0.0587518561963177,0.49515193125155454,0.04274416423810996,0.21387189980739874,-0.05698136888046679
44,0.46296128221608057,0.05857550141985734,0.2011609481467913,0.04828993836437769,0.3459743802612598,0.05527743666271574,0.4137874182572163,0.04606001212459705,0.39063599162412044,0.20032159970510577
45,0.4723718493809499,0.058060021931371254,-0.6659330781108692,0.06973579929470916,0.4860581767476927,0.049001287994838244,-0.5661280907938404,0.07528528866304245,-0.07237924641691751,-1.0180857698515382
