scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,-0.7247889240073184,0.044602687778040884,-1.2118257913658348,0.04533855117495476,-1.1723087178382534,0.047601039571761164,-1.336874125824267,0.0528553709435585,-1.016933944846648e59,0.6231202213450511,NaN,NaN,NaN,1824.3994783286917,0.5628445395134279,-7.631631770259352,5.46669583897193,355.58173300962864
2,-10.593396350005793,0.11563742033305638,-0.3994473441284192,0.03606371481000348,0.02317923812139988,0.03192001640125353,0.028834018201439604,0.034073613730424314,0.3690442947081636,-0.09539467132160362,5.609577975235766,2.7657184311839162,2.5117830214099617,3.6020179994938473,0.32646102254204323,-19.639470007943864,9.492970055030016,404.76856906873985
3,0.21298047023130884,0.03012907563763121,-4.606639736975228,0.07218442547953693,-5.339673920328041,0.08131845622393032,-5.429786415687414,0.08767378144842794,-12.140912143995331,-0.2759901006704515,5.279566781405973,3.260763723020682,4.531558315791193,3.154649874623661,0.6851315420268175,-3.131164254412096,3.6237425951517106,304.1427053702629
4,-43.469891934065636,0.22647803589556822,-0.1821074203703057,0.033145200511862656,0.23324896011477214,0.028280224436720645,0.3621895403716885,0.027613234661080364,-1.1617850387581643,0.4590303541565356,NaN,NaN,NaN,152.08447654498485,0.5831420037305572,-3.910245940447769,4.320274391629306,284.18166095413676
5,-9.382523471626373,0.10943204465476292,-11.613995862622085,0.10827258882003012,-10.326136876041366,0.10869174665219444,-9.571304906977407,0.11241797673571438,-13322.401556296501,0.5921407857904354,5.175374441669645,3.1345601775300587,4.73307955648576,4.2271843166341005,0.42565682873725735,-17.52218779755126,7.498234375089075,451.13432582242444
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-4.588867062592275,0.08028879552048256,-9.618482225233233,0.09933982739621808,-12.323968888052264,0.11788877907367458,-14.202621469932666,0.13481266877209364,0.5526889574178228,-0.5499626464407488,5.670973885179573,3.2922522710021487,3.957418001454397,4.301270340716081,0.627232250066473,-4.57513223583493,3.769488993931648,350.65881298309324
14,-9.43379320161307,0.10970190400580486,0.5773585692831091,0.019818839143340095,0.4199187321515603,0.024598016336889655,0.3345061823821578,0.02820612834368964,-0.03289974006973484,-0.4441457184248432,5.291818510740384,3.477088461269414,8.922292869049812,2.7517968025957678,0.6926051290645785,0.29738063081090893,2.0029815326697573,153.85512995794082
15,-69.57674111275769,0.28531450648548023,-84.77590862349847,0.28234158114647023,-84.07142154404612,0.29788422838849526,-73.97492656936814,0.2993846225005896,-0.5570058031707588,-0.847634604520229,6.482767213258908,3.656390945935061,3.741671592040522,4.133988369190932,0.6846892018902532,0.39475999191762967,1.682239181187013,126.06514549277765
16,0.415724211113079,0.025959839209837555,-13.62048476523394,0.11656631440479419,-13.81970039743422,0.12432984060057627,-12.235159612938052,0.12578708609645128,0.0959453834471683,-0.43478211030644776,5.345424049367231,3.4867094173772166,4.36358407290868,4.717216654385807,0.677438238473154,0.37740568964879684,1.6560157395018256,119.21373482119144
17,-2.8044739338786164,0.06624305597162965,0.5414005911692847,0.020644716536599255,0.637052971677815,0.019457063103007384,0.5008593019308626,0.024427721282455232,-0.4055126869800476,-0.11200571826485439,5.233590487279406,2.822408656371135,2.5104845337122583,3.4400045896248757,0.5439277429782311,-8.158632949408878,4.96619910749501,343.27606216835966
18,-20.215656889142117,0.15643044996669325,-41.85837246972067,0.19957678226009543,-42.007474390159096,0.2118008187682697,-41.46638232331794,0.22531707138901708,-142.59589407168593,-0.4884976955382738,5.302811092216439,3.7870480374290914,7.259751668964717,4.07429113541742,0.6528045148218538,-6.291061828920194,4.49543607034987,356.6091232799716
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-34.538567211671456,0.20246176113074948,-24.629979759752192,0.1543356695887742,-23.989319466927917,0.16144807811703168,-21.186670193846204,0.16286116190742525,-2.369990797849115,-0.3682764811885215,5.247567418599291,4.056604162106899,7.471152956654361,3.9237010894002937,0.7133289035746541,-1.4422238646361412,2.9020882579973226,254.7656369156665
23,-3.2723512293907904,0.07019828908237392,-0.4570815139848028,0.036798837821772096,-0.26400279105585245,0.03631028698105011,-0.27570479549048366,0.03905229480322361,-11692.053769442147,0.1945636636339928,NaN,NaN,NaN,2.9948480179173615,0.3499916306892667,-18.825412344225292,9.088212239349055,446.7218325439215
24,-12.540380273581823,0.12497078092585182,-20.730458467527573,0.14211064920223798,-20.62974805115158,0.15020396438184674,-18.607728667677645,0.15310349661106934,-0.16086626431313888,-0.4045419734724358,5.401662084412502,3.43260343978562,4.9802842820010484,3.413734140431387,0.7069013257217934,-1.9293468182044844,3.0496569467047587,265.34926886073384
25,-50.103163805546345,0.24278225845181858,0.05141713400829584,0.029691341271882013,0.34403119519787617,0.026157561690669927,0.32237073859359555,0.028462139361495064,-0.8293843074049954,-1.2545373691286272,5.325723955527414,3.7810070499189807,3.0478253993119067,3.7114631985072863,0.47149835638466053,-13.480084579220406,7.003652298088967,395.44103006036653
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
