scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swc_nse150,rmse_nse150,swp_nse15,swp_nse50,swp_nse80,swp_nse150,et_cor,et_nse,max_ET,ann_ET
1,-7.560216562641269,0.03634044925607775,-1.9328966642670586,0.027838514415013758,-0.8726853496703155,0.035430202227645834,-1.0186949740178006,0.0554226628001044,-6.09187656613395,-1.363178358141964,-0.03242894886239811,-0.0009377800323568941,0.6897168810456831,-0.11799961126982783,5.0762662281892075,376.76926468276633
2,-14.740052814273549,0.04927776573689396,-1.7642134637839892,0.02702610525917798,-7.275583794554818,0.07448015040202433,-4.911834413581223,0.09484472191679358,-6.638505732857086,-1.65314628618819,-0.2424488036167025,0.0512143986734056,0.6621976108081828,0.12199326919071618,4.6648268086123235,323.96484054562126
3,-3.0325077662407693,0.024942243929733314,-2.2902986010910458,0.029485964023547567,-0.6900507971310519,0.03365821682664404,-1.0688741229689032,0.056107261323944925,-5.8978933400486895,-1.3206546489122983,-0.029233375096728187,-0.028841582016458256,0.6286136277435247,-0.011344319326771712,5.2175694606319105,314.9015577923215
4,-47.115234355279235,0.08615673225285127,-1.0841251585852043,0.023467108052347148,-1.7556082378650006,0.04297837213095841,-1.894185263193651,0.06636134823308645,-6.926973722778767,-1.9923924040326408,-0.45068988001391785,0.006477068895041627,0.6703603404745518,-0.15476350603058364,5.337381955781601,367.30885033622167
5,-8.624566480726616,0.03853350412860629,-4.217011430303855,0.0371285996012122,-4.684269896616581,0.061727483212945265,-4.6040206906378165,0.09234255822752074,-6.686688391247949,-1.6369121883036009,-0.5093247471918476,0.07494916616344727,0.6988420833553817,-1.7094385611622265,7.121606122396933,503.6732703698118
6,-25.828060601514608,0.06433429635853206,-1.4809299981983979,0.02560382971273506,-1.137389762531639,0.037851499350288004,-1.2520970772593447,0.05853903923841517,-6.711748116533914,-1.7644718178379537,-0.2930142657874075,0.0362864562043127,0.6367949463511478,0.11602137228451903,4.951223879737572,299.0821064602506
7,-12.608784224059127,0.045820263253782655,-2.2954891406297064,0.02950921233149669,-7.439561532112004,0.0752144296647809,-5.676041993636041,0.10078863576406334,-7.027718860896602,-2.0693199520410355,-0.5140705898167766,-0.005141823728823214,0.6418314914376213,0.18533520680718474,4.239118022424898,285.8167391100943
8,-3.2350735679736298,0.025561032671545664,-6.792784080060899,0.04537785849143108,-11.983991794220934,0.09329220134183268,-8.480748501175883,0.1201083912280112,-7.178010812140084,-2.2610040203101938,-0.6960983842033759,-0.06109100637493747,0.6691857571134513,0.16026836503339303,4.596279470727469,322.469475221377
9,-2.6444133156202394,0.02371164740607809,-4.352534682768425,0.03760775595298175,-8.647140741661072,0.08041564171590071,-6.440641042086541,0.10640381847519026,-6.488660932163325,-1.9495699286623518,-0.41601433331855087,0.00919441724257053,0.6663285300924912,-0.6732793538971082,6.384880194883807,421.0533813416782
10,-1.5817744188284761,0.019957542493823418,-5.347059039401453,0.04095283239172596,0.07030568698066741,0.024963835487802146,-0.24363460216295163,0.04350091934934742,-6.540448941908087,-1.7214542154533659,-0.30032242783705065,0.03365437443363006,0.6137071629467505,-0.1660322027312211,5.77661700847955,332.90557951689993
11,-11.149794179715753,0.04329446491247203,-1.718481424088817,0.02680160854601088,-6.650058754024628,0.07160998949933776,-5.079803870670478,0.09618266842213208,-6.452417797807436,-1.7112380721542095,-0.30231222776210487,0.056727835817479755,0.6877321438979088,-0.21208427649244643,5.521742376618759,391.9706792301152
