scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80
1,0.7885364780305586,0.04155286571255741,0.780956645779004,0.03754685996023394,0.8496950566720407,0.0329502489683404,0.936859061521752,0.023316097599878068,0.8335953975494655,0.7741179891268891
2,0.7727516744018333,0.043075824199041525,0.766862182200338,0.038736015493323776,0.8844586502980978,0.028889550630848047,0.9266544584947632,0.02512969444105691,0.861893426784633,0.7744682848480252
3,0.7577505422418818,0.044474866862880755,0.758586484967317,0.039417526839751034,0.8821771284900102,0.029173388114519198,0.9276607576983447,0.024956709629550433,0.8547265473830666,0.8149596028306567
4,0.7836657592641972,0.042028692721025177,0.7712581028503909,0.03836908491795519,0.8681895978363707,0.030856517594648813,0.9350106008504107,0.02365492683785831,0.8684408890373242,0.7949883337812838
5,0.7769172640460991,0.042679196143845875,0.7644551287871568,0.03893546882139575,0.8886195927387126,0.02836458730458214,0.917854523185933,0.0265945211918782,0.8691379035353965,0.7850076814135271
6,0.7747331597326734,0.04288761381320922,0.775175684331534,0.03803909906239011,0.8703436870795387,0.030603345262722015,0.927259768952518,0.025025783686420573,0.8784565409437636,0.7778310326374538
7,0.7867339080663535,0.04172959360106927,0.7818490412185624,0.03747029784899716,0.8178819688224105,0.036270082351302066,0.9228356835598509,0.02577558940226706,0.8486816663162662,0.70646242928819
8,0.7556842242241265,0.04466414299681726,0.7623413804820485,0.03910977949057634,0.867828655764729,0.030898736573984186,0.9261474314035973,0.02521640381337689,0.8597338465834796,0.8005314467020836
9,0.7735706396947942,0.04299813507646461,0.7623820974234691,0.03910642909912938,0.8640403666865344,0.0313384173969052,0.9262713174467992,0.025195244957664894,0.8582487497453386,0.8060499199610252
10,0.7690457103396341,0.04342564386849026,0.7439934077638768,0.040591411791413595,0.8764953799159277,0.029868517712172485,0.911956956594945,0.027532640969303884,0.8452780104830646,0.8309146780815191
11,0.7684920090170934,0.043477668107041775,0.7769104842268674,0.037892055319350346,0.8903933553363116,0.02813782406810475,0.9309514820955813,0.02438246047120718,0.8762566020634066,0.7156897930209597
12,0.7720391148790193,0.043143305588000995,0.7476066450729547,0.040303943422957796,0.8543973702099888,0.03243072651268928,0.9316629642839801,0.024256515652810524,0.8416999893408076,0.8326453263754732
13,0.7664374085160646,0.043670171002639147,0.758781853398094,0.03940157392380463,0.8698934696531948,0.03065643260942917,0.9261489225305031,0.02521614924506122,0.8532854343394772,0.827106060766096
14,0.7556039676687202,0.04467147837236536,0.739720049813277,0.040928793220585354,0.8852072086161142,0.028795815125165807,0.9117029013736695,0.027572336169340864,0.8745132676255659,0.7972714291798351
15,0.7710998845541318,0.04323209241676186,0.7648416090010319,0.038903513198921554,0.8648664552819381,0.0312430664727374,0.9260817156913461,0.025227620386462323,0.867352187601226,0.8144481448093843
16,0.7659692554345985,0.043713915359540154,0.7529315017465039,0.0398765217740054,0.8853633828480598,0.028776220275688557,0.9154025787847251,0.02698851013646007,0.8640338089501725,0.8066270558521031
17,0.7803070614358623,0.04235369441604554,0.7832702462810179,0.03734804307230186,0.8502350270357548,0.032891008846654905,0.9347385712981748,0.023704381976962705,0.8458495954559458,0.7658354143509085
18,0.785172395652993,0.041882084877230046,0.7805131381385426,0.03758485220761614,0.8453425823759052,0.03342392479719051,0.9261943286226579,0.025208396190666733,0.8801679100361324,0.7467040067885409
19,0.7877501911884235,0.041630047242502355,0.7723931602078214,0.03827376946809226,0.8521116472979305,0.032684289911148835,0.9384899638006666,0.02301300541085584,0.8435957252525331,0.7826581685577342
20,0.7847006832669166,0.04192804141307949,0.768958066471793,0.03856150606575026,0.8724236728508755,0.030356878735055867,0.9353233354736519,0.023597943423502514,0.8448376690663929,0.802366881042975
21,0.7907872007867943,0.04133113912439681,0.7966084911205366,0.03618053557319701,0.8734655772011359,0.03023266365730493,0.9375930319419602,0.02318018459138545,0.8498135660339609,0.7038203385265637
22,0.7635979197126129,0.043934824591805366,0.7618469301274791,0.03915044243117598,0.8883634803429966,0.028397179891107963,0.921263218556044,0.026036894134797116,0.878145172096126,0.7755284801150414
23,0.7846459129772643,0.04193337414004624,0.7631495366536244,0.03904322662330692,0.8725668746857608,0.03033983646154613,0.9298259200048622,0.024580386763657983,0.8610205447470297,0.8013856876783607
24,0.7760391561610358,0.04276311149328316,0.7711869052801743,0.03837505578099492,0.8672099191751992,0.03097097559308074,0.9300876505193995,0.0245345048138133,0.8623497065701765,0.811212046502809
25,0.7773726727759336,0.04263561050254973,0.7605176801133889,0.03925954938469069,0.8493743109059931,0.03298538760161546,0.9293722482792155,0.024659714210206293,0.8757124770868362,0.7864010024933359
26,0.7851028054494685,0.0418888678668365,0.7635725400291826,0.03900834639350885,0.8726569590184099,0.030329110729483938,0.9298184409034596,0.02458169660845419,0.8631923776854333,0.8068740613051686
27,0.7811245937585484,0.042274816626391265,0.7692968872721203,0.038533220650741405,0.8600395973580517,0.031796158991180025,0.9286144769774521,0.02479164937952313,0.8583686605666789,0.7958538110092842
28,0.7572160252565303,0.04452390613223508,0.7770373040361505,0.03788128353039492,0.8605004164320509,0.03174377147012878,0.9237024317853257,0.025630418431948247,0.8790795130950724,0.7456489760842957
29,0.7604603448988208,0.04422541937035586,0.7338776729380355,0.041385598338300036,0.8783505129988592,0.02964334504980171,0.9102901467807506,0.027792039689859462,0.8563855418386983,0.8143358742572626
30,0.7815097996718335,0.04223759983523159,0.7792649626381243,0.037691569267860575,0.8656603349839427,0.031151158234356192,0.9349413175906107,0.02366753238509151,0.8720667826329253,0.7513624626030249
31,0.7741395312208434,0.04294408586132099,0.767949729844768,0.0386455614716911,0.874664659552028,0.0300890752776617,0.9283393124786526,0.02483938469245712,0.8524471973647421,0.8263898912369965
32,0.781655563495949,0.0422235082621168,0.7664126358691823,0.038773343730046005,0.8779347100480533,0.029693962919610992,0.9273426409552427,0.02501152384820562,0.8689046789125802,0.7955678245293846
33,0.7783797904106223,0.04253906407302464,0.7507625692173885,0.04005117070500465,0.8709339920871941,0.03053359965362823,0.9178884040399699,0.026589036178864222,0.8429739597187254,0.8150265805352919
34,0.7697342036007127,0.04336086789320915,0.7404920700217239,0.04086804839375337,0.879373122731689,0.029518488182074053,0.9177471374288267,0.026611898533693133,0.8694411776093084,0.8060503229434144
35,0.7829075149000042,0.04210228288415122,0.7703705303545298,0.03844345339424879,0.8522478188526654,0.032669239045150324,0.9326245256629812,0.024085255965842257,0.8657558810172473,0.7984159460015401
36,0.7568987393327394,0.04455299000454932,0.7366096745839917,0.04117261883233757,0.8854098728587358,0.028770384695038446,0.9095673435228652,0.02790377700231558,0.8534297450157237,0.785962549060474
37,0.782362850288558,0.0421550651309232,0.7709476325544861,0.03839511517707158,0.8643897772584083,0.03129812227997981,0.935519335355965,0.023562160010729943,0.8260803285638516,0.796878905283132
38,0.7651129091428789,0.04379381953580914,0.7557901046370749,0.03964516329589156,0.8814346704660778,0.02926516147050771,0.92191387177027,0.025929091069276468,0.8536734085907671,0.8166621226559041
39,0.7807001906190886,0.04231578257221443,0.7680332125149877,0.03863860926068459,0.8710920275231783,0.03051490042819239,0.9358157015240137,0.02350794942329524,0.8517973910996632,0.7785815034448856
40,0.7883467085355474,0.0415715065115431,0.7604624845608925,0.03926407336724483,0.7998003426086197,0.038028021720136994,0.9243911488960778,0.02551447683556138,0.8285092345158783,0.7538497645546678
41,0.7802055350840724,0.04236347970871774,0.7770726525431306,0.03787828056192336,0.875676538200707,0.02996736900752003,0.9332179292818397,0.023978956996962338,0.8743003014499597,0.756762032986254
42,0.7691264774528239,0.043418050005235215,0.769270722169377,0.03853540570381715,0.8718093756705467,0.030429877194012522,0.9204649714442039,0.02616854457109969,0.8476263088292245,0.8003148635673635
43,0.7730994104292814,0.04304285420780376,0.7619617804255131,0.039141001061763395,0.8329532878915931,0.03473689807659057,0.9276561891115461,0.02495749768794305,0.8355236524965861,0.7766836204448784
44,0.7761221882530626,0.04275518367940733,0.7516751775925933,0.039977777727989515,0.8769402670287842,0.029814673140265147,0.9205025557068758,0.026162360870097674,0.849583493948957,0.8287668573100316
45,0.7841401799841682,0.041982582992161045,0.766111092115374,0.038798362396541164,0.8333716826830428,0.03469336878778923,0.9263668036543762,0.02517892445829896,0.8553241764785019,0.7721765227589381
46,0.7720382006222584,0.04314339210288545,0.756303428907829,0.039603474710714716,0.8833051955537715,0.029033395393479655,0.9246843466808585,0.02546495846325101,0.8600476499006627,0.798454938826507
47,0.7816727610302362,0.04222184539737529,0.77481054537801,0.03806997633165584,0.8615773086303087,0.0316210082029168,0.9315122712180034,0.024283245491058442,0.8625292874583697,0.7927052902425283
48,0.7784831197984847,0.042529146096843704,0.7807281736413799,0.037566436394393866,0.8806157476537733,0.02936605381397727,0.9294795710405439,0.024640971189815394,0.850420007378024,0.7891563497574179
49,0.7754430226751888,0.042819986572381556,0.7547408302864531,0.03973024188241647,0.8695662221268214,0.03069496234844577,0.9280521539796538,0.02488910308951523,0.847111925255362,0.8159823817165143
50,0.7654885582832032,0.043758786334689014,0.7544010411760641,0.03975775406678865,0.874712347600875,0.030083350532348726,0.9156492191126859,0.0269491394698573,0.8548886376240286,0.8213595109300822
51,0.7560423512586891,0.04463139582155457,0.7534864446062551,0.03983171308470021,0.8637230477643358,0.031374966764780694,0.9184065909536805,0.026505004825760296,0.8577453192294431,0.8233385090131664
52,0.7881665797455213,0.041589192588071054,0.7751550865248473,0.038040841543094346,0.8511170938123265,0.032794007158819534,0.9330551459195794,0.024008163934143647,0.8434103513290768,0.7895994117488555
53,0.786984009586288,0.041705117848030875,0.767371224552474,0.03869370350849352,0.8598137442723017,0.031821803265331045,0.9380892323346708,0.023087847376034788,0.8329989965465567,0.8017636665025806
54,0.772622862791284,0.043088030846128264,0.7717062200771465,0.03833148298033626,0.8765574854121593,0.02986100693090503,0.9292240511717003,0.024685572199407122,0.8663383945729867,0.7940844718990834
55,0.7582344873927773,0.044430420620353135,0.7254456592006024,0.042036131260149434,0.8705891819455818,0.03057435892314082,0.8940435808297117,0.030203966829804554,0.8530428282957745,0.8161931952561784
56,0.7834665056956704,0.04204804342476033,0.7669186663497498,0.038731322768120025,0.864102869348797,0.03133121320093447,0.9320342539426655,0.024190530496954438,0.8534433633321561,0.8018971562580899
57,0.775335085863606,0.042830276383056184,0.7832822928228649,0.03734700509526328,0.8707620355205624,0.0305539330682819,0.9344996767717347,0.023747728210412666,0.869191156064388,0.7254723881571313
58,0.7775483466179806,0.04261878543495313,0.7436235055907077,0.040620726332698115,0.8790714163126975,0.029555380273414703,0.9108389469486894,0.027706900356885174,0.8632251321778114,0.8169938689554603
59,0.7800744811679443,0.0423761075803433,0.7626486973138342,0.03908448484411691,0.8407649157242981,0.033914970947055985,0.9258397526796198,0.025268876510804724,0.8591625830818752,0.8112866891340897
