scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
1,-3.416162927053022,0.02899031364068496,-112.26723551277847,0.2169662454961616,-1013.2167287486235,0.2793837391421968,-6.1585494402067935,-1.8846779585887794,-0.612480101264361,0.6766732052653637,-0.20392604475047937,5.495747746041838
2,-104.4738003951566,0.14167808154080003,-80.34870248983584,0.1838718892926834,-786.0188934084819,0.24610946694834146,-7.181147960111717,-2.518872198507136,-0.8783757199632554,0.6719375253372951,0.0028213143391466744,5.926123688064404
3,-6.8101164174823845,0.03855308394073218,-43.44847748546445,0.13591533755322485,-507.6062850852546,0.1978456937393247,-8.98453287485829,-9.897850446511715,-18.20545406593689,0.697342164384564,-2.308178535175352,7.150253271955746
4,-88.72290958637002,0.13067185143387022,-20.135194427462107,0.09372234512549,-298.1593853825264,0.1517354499259506,-229.61161296335823,-320.2182740389003,-638.4327512914846,0.6778054929793755,-2.6134236944880374,6.520254554770114
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-18.34475885585841,0.060675313690410584,-129.72212929227553,0.23308513645310314,-1138.053260523891,0.2960791030376414,-345.98068831236066,-26.69612992307573,-75.77232252097296,0.6297688956971713,-4.9893435255930445,8.088734061639864
7,-106.07506445417097,0.14274948245929248,-70.82224232819426,0.17277046545690247,-681.1077729713488,0.22911959867338105,-7.407825995370519,-2.1509094743647026,-0.6243399178385232,0.5481000096345802,-0.07301388954895871,4.093164343284926
8,-12.312314695836466,0.05033350316114888,-7.563236487976916,0.05965666789213919,-3.5470027560560613,0.018706750303746505,-7.241729695330568,-2.437528569637872,-0.8130350434600564,0.670345704486422,-0.29159006949491273,5.542057260161232
9,-48.69197899488518,0.09724639633402116,-0.026142385757812248,0.020651130768896932,-44.05941665644628,0.05888823300780399,-4.415835587656335,-2.234296937363366,-0.633806287453474,0.6623081609498145,-2.15593299721222,6.048850252308286
10,-2.867346198925471,0.02712919428297063,-1.9605603652978534,0.035077366761350606,-31.4201449483272,0.04995088839762385,-4.628812139545226,-0.539149283298201,0.22824082323317785,0.55907831108859,-0.21720666586918402,5.130403735042522
11,-17.077919950269774,0.05865494064199345,-7.663178589265787,0.06000378648396324,-182.01168603966954,0.11867934798546267,-7.343644008798313,-1.363064003995179,-0.013855873090827808,0.6640737016753263,-0.36705128706117995,5.502659954878879
12,-17.92280062736175,0.060009924026322596,-144.20716827260827,0.24565977595101676,-1232.2392926375276,0.3080770998915874,-6.424795207218266,-1192.0316007153115,-2352.623434441265,0.6647734453778338,-5.966529127497843,8.768223611362664
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-131.46048463529146,0.15877186271619317,-14.629137116242324,0.08059489317301585,-262.1716831286876,0.14231652132534123,-48.056402707919304,-0.6239217027730781,0.22384173959891207,0.6634236935294644,-0.8194125081597652,5.880011881380302
15,-42.186226913890415,0.09065734608288037,-62.8963020258462,0.16295882533351844,-661.2936311662353,0.2257672952245114,-154.36230984528575,-1.9729149791452856,-0.412103807026188,0.5785358565576108,-5.8656977523265486,8.514060274157856
16,-140.39548498085642,0.1640393882691339,-72.34952657400571,0.17459776532093302,-721.3755713019406,0.23578559346038053,-4152.901309283367,-1.2854963335626906,-0.5528313511131164,0.582115316308412,-6.09496467047238,8.891900665041282
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-94.90566095161876,0.13509911108183484,-230.73190623252492,0.3103365590158689,-1828.160283943117,0.3751989567816311,-7.015109300294867,-4.438418424563855e46,-4.16582106146569e6,0.6713869364827572,-3.576887992597454,7.3957071756414585
19,-30.95967338017646,0.07798867399071115,-60.494564143868566,0.1598668387435417,-640.3523698053127,0.22216932345842189,-5.90607999894862,-5.410072644169123,-11.412964678275666,0.6703805987780583,-2.792813663899095,7.415015979837682
20,-51.438980321768724,0.09989816002521021,-85.31230200548298,0.18939842935581505,-764.2270607911825,0.24267827567105202,-6.403911790176793,-1.7395286127389098,-0.46155112862534176,0.628401277500266,-0.13562290682578082,5.482962105787064
21,-54.103212286787645,0.10240444984058733,-131.3729689224339,0.23455229034684605,-1146.1534855154418,0.2971300014969384,-9.780320186738606,-1.6181365561414398,-0.18315023053973079,0.7057621775156402,-1.628251460005668,6.655338380571164
22,-22.75510747757667,0.06723708395060589,-37.654229479334205,0.1267472465814167,-461.9080834401189,0.18874833224349247,-223.2032737327577,-1.9259138736482968,-0.4109564038405509,0.6726712670888143,-2.1919588933862926,6.30852359665739
23,-11.550101886192925,0.04887131173724083,-69.36550908004142,0.17100938311183844,-707.349271563494,0.23348525883370297,-30.321466212124143,-2.111156809048319,-1.1567147576797758,0.6873795966594807,-1.6200764290783858,6.713894178650847
24,-19.59465120239656,0.06260479396934376,-0.36397598355556937,0.02380912225609518,-77.72025847431802,0.07783572882408778,-5.502479130267566,-1.7253618437076788,-0.28879888595546177,0.5997086127990559,-2.562727799381855,6.613777949678484
25,-18.020444048432534,0.0601645532180424,-17.09821909600706,0.08672772294567523,-217.78248205732933,0.12976035145431541,-128.78905794644083,-59.65704378280736,-127.07400741756555,0.6267425210064099,-6.729493032184411,8.675396798030086
26,-33.36945147458135,0.08087544264076107,-78.60510829945913,0.1818906990616216,-964.6544225925727,0.2726130285732148,-199.94049608881534,-1.845931062368297,-1.2374799235089697,0.6048912508289981,-7.072323610074896,8.505737450484151
27,-80.33213372317067,0.12441176551200199,-145.9599490111667,0.2471379953715978,-1245.9673491409558,0.3097870661109726,-233.834897448383,-461.13622901677104,-919.5533408886885,0.6545446850703771,-5.885939174918651,7.701813825465675
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-256.91377147835493,0.2215478991938793,-130.89286947493068,0.23412655873596197,-1140.7570628988203,0.29643030034642726,-7.8086730203887615,-2.6209744403168838,-0.9660336521332487,0.6089554904012717,-0.13752417797779581,6.273756845097555
30,-97.16568580051243,0.1366816530609867,-67.94094932381175,0.1692694772616131,-693.2526795879824,0.23115033275177538,-36.09892426380712,-64.0153491648538,-131.87957879479512,0.6868679389370961,-4.317957429409928,8.215487343505536
31,-49.69152113587618,0.09821957077987432,-56.62528868442344,0.1547556737501198,-612.5708690325425,0.21730419316968355,-424.461751200078,-3.008881098056766,-8.321291386228543,0.637687226679972,-3.12206042791754,6.948371728386833
32,-43.96846754110078,0.09250909108775975,-28.34383773035904,0.11043290063414898,-382.3423545501914,0.17176281284879627,-143.66074444651107,-244.63234860436435,-497.3811737115074,0.6685435192174786,-0.3548715841399068,4.787109552220792
33,-56.43090429454355,0.10454498326926526,-91.44203734253233,0.19600844239629558,-864.3391561537173,0.2580648877252371,-4.875784778967857,-0.5051138142883487,-2.9096928167914355,0.6888729649479229,-0.4870867314898315,5.340340315284917
34,-83.8326226793914,0.1270608677685446,-145.61985366558733,0.24685186582966243,-1244.7502150219316,0.30963584143741607,-34.007778162518306,-1041.2812017425078,-2069.593414108158,0.5624500004820973,-6.568129147410884,8.655903449141507
35,-4.510470506089969,0.032383569038057225,-5.370967280115367,0.05145679240219672,-162.45463440619636,0.11215905976421094,-6.8451256896265935,-1.5516829457156884,-0.15001239812341804,0.6599573990538488,0.12315200318472519,4.7636015897887205
36,-72.53986203016325,0.11830191519663506,-10.907940867053616,0.07034906958963859,-196.69415417033727,0.12334815400041431,-34539.295538652594,-1.5276685053800336,-0.24706009100292992,0.5576363689104736,-6.377160008263855,8.842895983020433
37,-9.768370505215636,0.04526946531916392,-2.033056394843193,0.035504243711400034,-95.757834236552,0.08629364426372746,-5.127175324105449,-1.730989479941912,-0.3321205241225009,0.653434619458687,-2.7625022320513883,7.3374625814568475
38,-24.449724474135383,0.0695940182306685,-84.85735123116186,0.18889861179506245,-811.0518005945145,0.2499928613938952,-6.46329265918843,-1.9405671583464503,-0.4803291177479616,0.6552943836805253,-0.644680622350521,6.3328454576344155
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-101.43400957160989,0.1396215504676697,-21.2377082711266,0.0961357763021046,-323.4812580251614,0.15802672843840393,-7.415532152052272,-1.229059197248767,-0.00013316487794035048,0.6561423798167711,-0.49252168624254966,6.918271923686127
41,-15.661583028316514,0.05631038555573819,-144.67400928632247,0.24605435712345125,-1237.0711747177613,0.3086800392340587,-4.72726810588266,-2744.747944489827,-5311.52908059477,0.6550181647794345,-1.6359645465668828,6.779477704276391
42,-43.38334226046194,0.09190526080991816,-57.16714197302912,0.15548155878435593,-618.6319654968387,0.21837486405488396,-5.175964798875671,-1.5552994427012745,-0.13342050546399387,0.6773932531552538,-2.80411310961203,7.579400815553915
43,-52.307812847718516,0.10072233895014093,-169.41169695375515,0.2661274814182354,-1401.1783351876754,0.3285015075417734,-7.756759207604713,-2.7272940376346644,-3.3284517849961706,0.6890765123478584,-1.051832587114943,6.17927839016581
44,-37.28362380519605,0.08535655726464558,-91.76455304005286,0.19635006596831295,-624.6432832502445,0.2194315818349971,-2326.996388415695,-372.6881751647494,-3.605387595364614,0.5451951653102152,-10.186680116637715,10.478567874647549
45,-17.378595545648917,0.05914070949672464,-38.38840815574015,0.12794527088150576,-466.9064188191898,0.18976461868310224,-5.822389399768949,-1.3920206095725742,-0.36885612949834057,0.6792510410196864,-2.5638953978604593,6.207941442065847
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-31.551061863571242,0.07870692592081874,-60.17722342391647,0.15945381136152126,-638.6031444385208,0.22186614412974004,-5.3876830372994515,-1.3245666495069304,-0.042398779404831055,0.6739805058657921,-0.5204992400026933,5.409056473601462
48,-13.84632662833877,0.05315448021757483,-5.7611044162172975,0.053008906431254936,-18.233359442344906,0.03847364333733106,-6.948469397918743,-2.6270813843293386,-0.9741332315662943,0.6751996501447785,-0.6919906438357692,6.300176976606139
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-40.82947531903589,0.08922192286328229,-20.121786638235513,0.0936926125197774,-243.6341309586217,0.13721268574753626,-438.51631711283545,-1.8166783773066824,-2.5755118547668236,0.6736041010721194,-4.004888944760962,7.72078368855603
51,-55.22332953762556,0.1034400330366483,-72.00235976940354,0.17418408547706948,-721.6578228792987,0.23583165285024868,-16.733231333599534,-1038.7936711209416,-2046.2686047331165,0.6748861364806513,-5.370725379110729,8.516756128002655
52,-90.30676444086733,0.13182016375117825,-21.192363675653358,0.0960377117372376,-321.29559282335487,0.15749360501165652,-6.717427303388724,-2.131864923357681,-0.5613304218867379,0.703724232678479,-2.0945671721724413,6.5462910869719995
