scen,nse10,rmse10,nse40,rmse40,nse60,rmse60,nse80,rmse80
1,-0.3358375404717693,0.10443836684408,0.3201043234784092,0.06614998072816147,0.14799708442880888,0.07844993874100922,0.14298419118782302,0.08590031666828433
2,-0.1012607383755375,0.09482619578684741,-1.1613464034836483,0.1179426200200583,-0.5054670309630087,0.10428160166230908,-0.007225174847740545,0.09312443145989009
3,0.4263943813224075,0.06843684000245827,0.1564512748764304,0.07368238398312266,0.40296581189001135,0.06567070351438893,0.5203279557823515,0.06426471003219618
4,0.6316581467704292,0.05484143173196515,0.15079534129860672,0.07392898885133076,0.44344951701498525,0.06340512313749613,0.7625439951533344,0.045215977761928
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.420247335448515,0.10768748677455188,-2.0252013765378547,0.1395358257870886,-1.213202413466401,0.12643946102438275,-0.520232913780281,0.11440774186796987
7,0.3154026840984282,0.07476543180516805,-0.7174785975736775,0.10513667766965933,-0.10971599428956003,0.08953193919803201,0.3411503623308805,0.07531708514495772
8,0.6899719288281987,0.05031341073538081,0.19691681487483825,0.07189337116121033,0.555866715396764,0.05664071528076562,0.8149441266375613,0.03991643850788262
9,0.11149247705372123,0.08517532601272605,-0.9575172979139344,0.11224354806941919,-0.3094482490452011,0.09725596288707512,0.13496528733882274,0.0863012559328011
10,0.2197544455578142,0.07981764342572853,-0.5134543591521259,0.09869456712064015,-0.024879095450164312,0.08604158177073773,0.26760281405624964,0.07940972311931768
11,0.16044784119498312,0.0827955682582111,-1.0751015212110384,0.11556551437090115,-0.373793215270688,0.09961683789159302,0.14248850997517315,0.08592515461044047
12,0.12604862741160028,0.08447474398897721,-0.7310907930041974,0.10555249551274712,-0.18774448195855564,0.09262614275866882,0.295519140836654,0.07788161471726844
13,-0.028065445165881497,0.09162070535362578,-1.0414059106673847,0.11462339463890306,-0.4242618684330981,0.10143013228659091,0.05248352983584881,0.09032203880210585
14,-1.0908561148904732,0.1306608031850886,-0.6168048521775582,0.1020087402213038,-0.9458651722634941,0.11855733838560306,-0.6610622033325622,0.11958956780732503
15,0.315414352565496,0.07476479464104548,-0.23731360566643844,0.08923772223234229,0.1498165312041293,0.07836612930232614,0.5263460021630186,0.0638602996319108
16,0.6754115017941246,0.051481336512256774,0.1351428411209995,0.07460720572187493,0.5004142183731171,0.060072693250083686,0.7358044271974097,0.047693930679676706
17,0.3024690518290768,0.07546837355917653,-0.5708614611998519,0.10054894653085457,-0.0017997715569240125,0.08506727723717883,0.4639947884826616,0.06793363514703003
18,0.5660472167176518,0.059525696946128796,0.28351819035317816,0.0679064718219229,0.5061087009096215,0.05972934550996664,0.6116331422658017,0.057825770584041064
19,-0.6030441597979086,0.11440789445514485,-2.0106462985904034,0.13919974839371832,-1.1592314282461658,0.1248882743519351,-0.543433775033139,0.11527744656068169
20,0.6899789029487144,0.05031284482894198,0.576182619710456,0.05222734677349103,0.7423477776357237,0.04314088149078414,0.8780263541612566,0.03240659121734074
21,-0.5207168635085488,0.11143135995029507,-2.113143218888946,0.14154943252068816,-1.2137258422635293,0.1264544117902936,-0.5551581942106323,0.11571446047945985
22,0.1265653845270075,0.0844497658373483,0.4926722673353988,0.057141664100791294,0.3436447372142828,0.06885596263023519,0.4453991642895959,0.06910199854968291
23,0.14823453058042468,0.08339562441704647,0.5432169475153368,0.054220506903191044,0.6094517545219457,0.05311404948669282,0.7514549997442465,0.046259705530281255
24,-0.3154722986525862,0.10363921227903136,-1.4641164748208726,0.1259328982528907,-0.7932445602700948,0.11381298907313464,-0.12307630901089484,0.09833428883917203
25,0.4232179883973406,0.06862606599169614,-0.5665366240464511,0.10041043732690708,-0.011836088754121121,0.08549232949691608,0.4769157415873252,0.06710983539623232
26,0.31435571580128807,0.07482258009527207,-0.899146953106416,0.11055741299143437,-0.27932920130013805,0.0961309479269574,0.196539705837254,0.08317303667100866
27,0.6596088592366838,0.052719632480700676,0.05335549839315379,0.07805523590327501,0.46814284869928624,0.06198256862040645,0.7908773273642115,0.04243272361737351
28,0.7150636070878327,0.04823443669033759,0.47698691421709993,0.05801828135449754,0.680608467547988,0.04803234250542759,0.860209794990183,0.034692749410725955
29,-0.5150035639631141,0.11122184040045781,-1.9798053837905898,0.13848493531493714,-1.263702872214937,0.12787386126206657,-0.4451196754452591,0.11154555156058374
30,0.6523253698700259,0.0532806789697529,0.6049593230500514,0.05042309398285043,0.6702098250412241,0.04880799021019225,0.7319098853003507,0.048044175920373085
31,0.5065752076622413,0.06347368808777541,0.62937745075153,0.04883987027362301,0.5966604347649864,0.053976843163460644,0.6552595706249729,0.05448117398444463
32,-0.005288957125006988,0.09060010601228359,-1.086952440444644,0.11589504228521602,-0.41109158962412873,0.10096007627899774,0.1694532873216419,0.08456338908904731
33,0.40495368212685623,0.06970415005376099,-0.3797881862705015,0.09423555514728525,0.12300793731985515,0.07959208830697909,0.5351290725085958,0.06326544128405223
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.7052142845995691,0.04906100804340086,0.44774698841398897,0.059618031022927405,0.6895538820938161,0.047354928480130995,0.8709985169332104,0.033327113448707354
36,0.36646358703350834,0.07192320642484258,-0.2747660455862424,0.09057822916798142,0.1536400859195174,0.07818971159622697,0.49871381555442396,0.06569664870405977
37,0.37157490622462497,0.07163248362586386,-0.48659644747392594,0.09781492529350537,0.009345710267530394,0.08459274747231908,0.5125995795084908,0.06478035118079649
38,0.2691268572202392,0.07725102517124303,0.677168456792949,0.045582334448847184,0.6378057353042388,0.05114967196750762,0.6865347749068975,0.05195113407800664
39,0.12334055696637969,0.08460552164100103,0.48357484644334114,0.057651720956880814,0.331991100752402,0.06946454452789157,0.42551475049172294,0.07032986590776469
40,0.6783428491048159,0.05124834621777514,0.26717194163351765,0.06867673292733337,0.6259000959198372,0.05198354188958054,0.8783289419425142,0.03236636971082583
41,-0.3472086911868,0.10488193418761833,-1.465668040059323,0.12597253971484776,-0.7587412171082346,0.11271274823302312,-0.2510993900649876,0.10378778761789519
42,-0.3880653849173128,0.10646042900197715,-1.4885438678188678,0.12655556081198238,-0.8208344961332774,0.1146851810774698,-0.21382870011631794,0.10223016204667311
43,0.28758997582513546,0.07626903662389696,-1.1243773694118557,0.11692958691166015,-0.39851317815181897,0.10050909206484573,0.2056386403703323,0.08270074150564684
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.8287591246295247,0.12219726983933224,-2.0753744385793733,0.14068817059332495,-1.2246536948806472,0.1267661428027888,-0.5417875354267454,0.11521595220567646
46,-0.7554107490438258,0.1197216315082687,-2.3666640319102674,0.14720022432567692,-1.3906821945396763,0.13141138478614478,-0.6672535864616616,0.11981223742070543
47,-0.754838430094013,0.11970211341422864,-2.1361002785162486,0.1420703834964044,-1.2552119888923707,0.12763381604572896,-0.6035239663419807,0.11750005663056634
48,0.5083044469381038,0.06336236663481759,0.5932237633606579,0.051166577619845124,0.6112654793278163,0.05299057386502833,0.6820098601711317,0.052324751577456904
49,0.2826886635222683,0.07653094872406827,0.5783484657641418,0.05209372639346601,0.7095327742366782,0.04580581732124847,0.7402199952086447,0.04729369089004005
50,-0.1501168382613769,0.09690679508523518,0.1297623609101921,0.0748389203976843,-0.11353168824302995,0.08968573229414496,0.07611391166949788,0.08918864420905878
51,-0.14893706058854916,0.09685707935042284,-0.8150681352696638,0.10808241711271165,-0.28507454233368357,0.09634656341543027,0.06753855349215176,0.08960160530036461
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.401134635856624,0.06992747519990217,-0.4117131053741929,0.09531951094842485,0.06071111509831051,0.0823704919731026,0.3999779833698397,0.07187600684980282
54,0.4236870511731471,0.06859815555104018,-0.5928212196259619,0.10124931615143463,0.005274131368619872,0.08476640687989255,0.4347551244294584,0.06976195860725712
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-0.357161939144399,0.1052686578138971,-4.226437229335827,0.18340511840870546,-3.0906695602050362,0.17189738415581476,-2.4291489293982815,0.17182783647777858
57,0.25158503357160267,0.0781725865029968,-0.1440290791495562,0.08580786849517907,0.28063869573213074,0.07208511649519844,0.7472338091091189,0.04665087996678481
58,0.33953355157734366,0.07343593522450234,-0.9682166859570454,0.11254988015845792,-0.2741859356564882,0.09593751650335532,0.2991248668783747,0.07768204931151827
59,0.16305277253956985,0.08266702095641014,-0.5731189782573989,0.10062117106265737,-0.07888233150148749,0.08827934633379396,0.231143739869216,0.08136224542260291
60,0.6335272287755398,0.05470211346483716,-0.2524332908616034,0.0897812988106121,0.23478724110764593,0.07434695220745395,0.7068076261764009,0.05024312957232452
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.4793997855668979,0.06519817228119128,-0.6885563301150655,0.10424767044933476,-0.013614408882440365,0.08556742367008423,0.588487865981967,0.05952394010801808
63,0.062351902497099654,0.08749901987161085,-0.6580146854586544,0.10330058208002205,-0.17359351284681912,0.09207270839007171,0.07199285744372763,0.08938733876878809
64,0.09857946137074636,0.08579203598006097,-1.2361211547405153,0.11996546656201253,-0.4862463141104423,0.10361376708202592,0.10037217547189026,0.08800995276182454
65,0.5353402605645085,0.06159575347727497,0.29890718307900543,0.06717324691143328,0.5667658409389622,0.05594141074358851,0.8651891793769261,0.034069261871187785
66,-0.3634197080641197,0.10551107152442675,0.06007400797555107,0.07777775653634683,-0.17374083929227702,0.09207848735826567,0.00340107647164567,0.0926318963858433
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.08595345470198279,0.08639078208695916,-1.0935662726183466,0.11607854048370364,-0.3770381274273975,0.09973441644387239,0.13892783129144248,0.08610336500393062
69,0.6555469016841224,0.053033256733150395,0.11762693438146377,0.07535892657465247,0.48583496689513306,0.060942930999722644,0.7954727021736747,0.04196391402302152
70,0.5642675745906097,0.05964762962492272,-0.17748716284892962,0.0870535874172169,0.2709065803998181,0.07257109191772707,0.6246494600111392,0.05684848178573335
71,-0.9393302055114126,0.12583722448349058,-2.489891888110654,0.1498699522450222,-1.5078966990564524,0.13459436883592935,-0.8179261390579353,0.12510897482002073
72,0.02781439411234865,0.08909592543727335,0.4435959776366305,0.05984167108186336,0.3187391281948798,0.0701501802553897,0.4061450160620954,0.07150568165772786
73,0.08820634299508912,0.08628425093817842,-1.1309230205492788,0.11710959062167359,-0.42886497954268754,0.10159390748322764,0.08476721857802083,0.08876998200132792
74,0.18471133956612684,0.08159037906235465,-0.7127598709716323,0.10499214822093964,-0.1347620197007131,0.09053665901845774,0.28156206211542123,0.07864932090921595
75,0.48391036064206916,0.06491511340934039,0.6659229821320419,0.04636944335321726,0.609704516752158,0.05309685903883019,0.7095286393558662,0.050009441890260804
76,0.6630097270321214,0.05245560889070612,0.6951370810430288,0.04429563011715695,0.7158949103983843,0.04530139495150884,0.8093949377722087,0.04051049628442493
77,-0.36235145882309894,0.10546972907948729,0.4490778911947747,0.05954614941777918,0.3939322262576882,0.06616566234782432,0.3811286666868089,0.07299624688937856
78,-0.6760227149957678,0.11698311999467421,-2.0394836560630765,0.13986481926519254,-1.1974808712978726,0.1259895776248233,-0.5991674217841247,0.11734033267198506
79,0.5715042382334656,0.05915024056084822,-0.3468767993106472,0.09310489577223649,0.18563143473699129,0.0766977403526507,0.60824533923395,0.05807743591844576
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.6237181585942833,0.05542936204784235,0.1761103928606409,0.07281872902727002,0.5110654089733886,0.05942886694391504,0.8791521629254051,0.032256689161483575
82,0.5155255028921428,0.06289537490073518,0.24518979318076428,0.0696991472030103,0.47015905581089623,0.06186497279916717,0.5859100454498725,0.05971008587587304
83,-0.14191477480430037,0.09656063118891091,-1.1624228381047534,0.1179719863714626,-0.5696534118455054,0.10648144903126491,-0.036424778136248115,0.09446463305345719
84,0.5921949589464577,0.05770448174019,0.3088517370054281,0.06669514064126639,0.5359544633887037,0.057896507729896886,0.6384085472979595,0.05579681719816371
85,-0.5890393320656715,0.11390704183851183,-2.000835160643352,0.138972750224222,-1.1325600490661523,0.12411455165975976,-0.5360050543614427,0.11499969026965436
86,-0.6190030913410662,0.11497597176513176,-1.9934113172311387,0.13880073963947293,-1.15048058879868,0.12463494653253837,-0.5742498093538044,0.11642256757718436
87,0.22751632799115995,0.07941963817176065,-0.2127210880851509,0.08834643860718572,0.12311232641108238,0.07958735120992953,0.2656187578939898,0.07951721041939028
88,0.591663571297925,0.05774206522166737,-0.00994541147190886,0.08062273604250587,0.39123450999458487,0.06631275645372893,0.6809366813056184,0.052412972110385356
89,-0.8378549971448448,0.1225007849709635,-2.3587096183074143,0.14702622658044964,-1.4339506903808297,0.13259524683470147,-0.735455706091835,0.1222382475595819
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.6442753780268552,0.053893974573807846,-0.0822617558688612,0.08345930007818039,0.30192808976565344,0.07101043117740054,0.7813491711179895,0.043388627486265194
92,0.3140629195140825,0.07483855443925128,-0.7587649564470531,0.10639286013610186,-0.15725752734653464,0.0914296538383698,0.3534211925253239,0.07461241226477354
93,0.715959308587844,0.04815856420674861,0.2525047140585591,0.06936059520838683,0.575020739186721,0.055405890161597006,0.8562368624776783,0.03518229124501653
94,0.3580408373167584,0.07239973070814217,0.155881493635887,0.07370726443868501,0.2864432954797691,0.0717936963504912,0.3739814713978875,0.07341654488959136
95,0.6470008709995405,0.0536871149989036,0.008673505013290117,0.07987611601062522,0.46137860700302613,0.062375475263506626,0.8324920274344225,0.0379767756837332
96,-0.020977134564426736,0.0913043055905434,-0.9985905105395871,0.11341499886223835,-0.4033507898165336,0.10068277802427664,0.04243088519525906,0.09079990900034945
97,0.6091074419138682,0.05649525211026904,0.43828004795654507,0.06012685764480691,0.6077968086379499,0.053226465757295824,0.7134709751679971,0.049668913403684775
98,-1.5186477262747826,0.14340588175876462,-2.9150806728664667,0.15873728207014073,-1.9204743509574116,0.14524418919619606,-1.1377542623214874,0.13566856731048224
99,0.6600545144545102,0.05268510973374418,0.2569377115896767,0.06915461894463026,0.5533387711084685,0.056801682054490404,0.8085299691477055,0.040602310857513535
100,0.3526860974097267,0.07270105567297314,-0.2987607492045792,0.09142672428334304,0.16964112883066418,0.07744706842928831,0.4205274389930084,0.07063448554268863
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,-1.054958668029867,0.129534303860647,-2.8523428738071366,0.15746029084985083,-1.8604125479206624,0.1437429010348076,-0.9705777107507965,0.1302558182323626
103,0.45149395735991227,0.06692277762945761,-0.16609912673748095,0.08663159637941166,0.24745201892324342,0.07372913959745617,0.6872574614720586,0.05189121347432017
104,0.6427905679963681,0.05400633534216598,-0.06318267143220924,0.08272038118183335,0.4306594988390188,0.06412953752527276,0.8178315533210501,0.039603806129425295
105,-0.33982102962206784,0.10459396937762332,-2.0873642313271517,0.1409621504221557,-1.2512779858144123,0.1275224449217635,-0.4923016432141454,0.1133518615601108
106,0.33002638908606785,0.07396258788735625,0.6224540055301766,0.04929393814288294,0.5137586426500347,0.0592649627636059,0.475335168153187,0.06721114987301058
107,0.34998688241421383,0.07285247497267272,0.11887597319412468,0.0753055707088542,0.28763986858551505,0.07173347517233603,0.37446749113452027,0.07338804028755028
108,-0.46396265360750744,0.10933224069216337,-1.7235014455358852,0.13239524490710128,-0.9461776035744613,0.11856685588415895,-0.41756858367811533,0.1104771311798316
109,0.4066369502277285,0.06960549061944284,0.6806303422952513,0.04533727451874794,0.6596308805328601,0.04958463765168399,0.5984915183555941,0.058795990389774365
110,0.4109069207882642,0.06935459023753206,-0.6713984817708261,0.1037166746240868,-0.08577992945296709,0.08856109406360933,0.5200606272447352,0.06428261538876978
111,0.4369911604606912,0.06780174270385893,0.287833207767599,0.067701679381106,0.39908822949566025,0.06588361547577645,0.4803137537906911,0.06689150384926702
112,0.2608588921803636,0.07768674550589334,-0.7852707019426719,0.10719156734301903,-0.17629561888860112,0.09217864250549711,0.24671754935006818,0.0805340005124577
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.5897867400799028,0.05787461262747911,0.16788469722201682,0.07318133649990459,0.42459401680437103,0.06447023526793369,0.6631581417275234,0.05385343077229589
115,0.6444962707126178,0.053877238828313335,0.5599112770978888,0.05322046959874128,0.7387232336128577,0.043443265716465236,0.8834196564784852,0.031682030930221136
116,0.6983678922455417,0.04962745843757574,0.22426503062529768,0.07065863884022992,0.5730884287337334,0.055531708017740114,0.8144427900216411,0.039970470938144584
117,-0.005215355782371756,0.09059678934822604,0.5689827087200767,0.05266910383330912,0.44152679462112643,0.06351455197093919,0.4805486387863548,0.06687638550965114
118,0.17562819927525108,0.08204361984196981,-0.879759447622388,0.10999165085434946,-0.33730954113996914,0.09828518057093921,0.07067713525719888,0.08945068270369502
119,0.6736640489974957,0.05161972781713511,0.4684780932776539,0.05848832264023619,0.6447087678956441,0.05065989827230848,0.7434721537350463,0.0469967261771484
120,0.20506432843085942,0.08056552523285956,-0.7685800877321849,0.10668932016430378,-0.18877916982687748,0.09266647899448933,0.3277951365008942,0.07607661374655543
121,0.48874745900459693,0.06461018575387005,-0.518662764911245,0.09886424513313714,0.07159457809241365,0.08189189150246148,0.5267936783960714,0.06383011357109453
122,0.5401462374188783,0.061276383001791876,0.7004507092357237,0.04390790643515565,0.7554952904335827,0.04202577032403116,0.7692757466632292,0.04457044527593424
123,0.22382926555760085,0.07960894740440727,-0.30745754024732697,0.0917323203993619,0.13109490289325332,0.07922426901818766,0.42353176898653644,0.0704511420266127
124,0.19551279177946868,0.08104809685836777,-0.8738296110001758,0.10981802552379338,-0.22769983386266635,0.09417121351010306,0.3018396234120423,0.0775314572519242
125,0.4898672517005992,0.06453938935809478,0.61257281889677,0.0499348357376122,0.7430873020046099,0.04307892460440294,0.8481086527084384,0.03616320101664013
126,-0.37879896991186635,0.10610448090668903,-1.6266242189608624,0.13001921943617464,-0.8600726789134885,0.11591430222993983,-0.2796616744665361,0.10496582652089616
127,0.7012582919691172,0.04938910767495696,0.4175011981103447,0.06122884969953075,0.6490088740306095,0.050352395469494875,0.9158900773284824,0.02691063619928296
128,0.495130778157991,0.06420556879944678,0.15067451426619094,0.07393424806801334,0.33535259371950077,0.06928954755205775,0.7582595685886551,0.04562207085578212
129,0.693825556318112,0.04999973684279936,0.220761544025733,0.07081801847785889,0.5121121199804552,0.05936522021281492,0.7961701455716179,0.04189230390440673
130,0.3867653437972446,0.07076142906254981,-0.5179375307786518,0.09884063611052288,0.029332798103277047,0.08373504268178217,0.3878139715606219,0.07260090846772609
131,-0.45916695981376954,0.10915301684012964,-1.5537707597145345,0.1282033983171826,-0.8346650969586535,0.11511991699696128,-0.28432834276736485,0.10515704695436537
132,0.6095253958542219,0.05646504083111791,-0.26367705061206914,0.09018340558001116,0.2688201890854145,0.07267485333269558,0.7185286379923629,0.04922859664805292
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,-0.051233125618051156,0.09264730029215842,-1.1054057729049211,0.11640630044277553,-0.45552492488518714,0.10253730337277102,0.1272297466401242,0.08668626998846511
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,-0.1216993545863081,0.09570210379493703,-1.3209464369679087,0.12221967968859192,-0.571513053139773,0.10654450711875171,-0.05192174478264566,0.09516824589392653
137,0.2764781113734317,0.07686154093441074,-0.9276491905485085,0.11138394159143819,-0.25716157808553675,0.09529445224375047,0.2419162262389497,0.08079024939218434
138,0.2542190119211952,0.07803490460524293,-1.0243851388204832,0.11414454269101862,-0.3296251710002138,0.09800239346398382,0.2264546386138686,0.08160997435241736
139,0.5088076118637367,0.06332993815257607,0.4703329988667563,0.058386177147163855,0.49004993650324047,0.06069262108428846,0.5241626320165362,0.06400731661127536
140,0.06833248649000878,0.08721952677502166,0.4512316409033631,0.0594296419417343,0.285641166234766,0.0718340376773614,0.407914040723125,0.07139909868549908
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.42908670810084737,0.0682760404495646,0.349206322120003,0.06471876853073152,0.6349569207233651,0.05135043511743155,0.8257219121502688,0.038736621618746594
143,0.5249153874119952,0.06228288654660568,0.27839933145114504,0.06814861683736187,0.43531249517302517,0.06386694714943805,0.7299507794953005,0.04821940113171652
144,0.43261056197163783,0.06806500385307522,-0.33346776758739227,0.09264027668473211,0.1258547700737861,0.07946280005329703,0.5265031016363653,0.06384970830205725
145,0.6324012172095166,0.05478608692207353,-0.09813377213681362,0.08406906286985849,0.36937362029261445,0.06749290716752944,0.715942927118605,0.049454196714895725
146,0.4349256689387273,0.06792599982592165,-0.5726269850429866,0.10060543518846486,0.017569375560818723,0.08424090314650605,0.4289052858003103,0.07012202004086464
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.32094662419756526,0.0744620873157283,0.6964267974813747,0.04420183492683102,0.7288540811582691,0.04425614734360953,0.7419047880891039,0.047140080751937666
149,0.7145943143134472,0.04827414162167046,0.3353634308313995,0.06540345617849083,0.6205461999086279,0.05235419925799847,0.8243043478610723,0.038893842879977734
150,0.529119889043908,0.0620066721064217,0.303414799662151,0.06695695635908415,0.4795707090196203,0.0613130519279168,0.5753561412620005,0.06046621334855541
151,0.259179535783413,0.07777494903772371,-0.9640396033657253,0.11243038624070076,-0.2772998641472373,0.09605467376402682,0.258775183872997,0.07988685493954535
