DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,ksat1,ths2,ksat2,ths3,ksat3,FRINTLAI,GLMAX,CVPD,R5,PSICR,FXYLEM,MXKPL,MXRTLN,MAXROOTDEPTH,BETAROOT
0.10350000000000001,0.44394,0.40581500000000004,133.72,1.02175,0.4807,1.31805,-0.3855,1.27135,0.47250000000000003,0.18217,0.016755,2.00011,247.41000000000003,-1.07836,0.67015,16.069200000000002,2706.35,-1.5133,0.982645
0.10450000000000001,0.8007,0.396245,251.96,1.46495,-0.15510000000000002,1.27545,0.45130000000000003,1.10275,0.03710000000000002,0.16121000000000002,0.017475,2.4415899999999997,172.97,-1.29476,0.46825,13.2636,3905.15,-1.8739,0.983835
0.5475,0.69594,0.468735,304.03999999999996,1.11655,-0.19169999999999998,1.04095,-0.08129999999999998,1.48875,-0.2193,0.11995,0.015945,1.51053,154.41,-1.19868,0.63305,15.7644,2044.85,-1.0903,0.9718249999999999
0.058300000000000005,0.64242,0.263145,106.84,1.46295,0.0343,1.09505,-0.4897,1.39065,-0.23170000000000002,0.12715,0.012581,1.78717,167.63,-1.26932,0.53895,12.8124,3998.7500000000005,-1.2052999999999998,0.980425
0.5189,0.63222,0.282725,370.84000000000003,1.26875,0.49770000000000003,1.42805,0.3427,1.26245,0.03070000000000006,0.11743,0.016403,2.55937,229.65,-1.2278,0.67085,20.931600000000003,1395.05,-1.1491,0.9607549999999999
0.9081,0.56982,0.6928050000000001,490.36,1.31675,-0.10270000000000001,1.28795,-0.22870000000000001,1.40335,-0.09689999999999999,0.10471000000000001,0.012741,2.64361,192.45,-1.3162,0.48475,20.2332,543.65,-1.9473,0.968725
0.4761,0.69042,0.579175,364.36,1.32485,0.23850000000000005,1.01605,0.0605,1.06845,-0.37070000000000003,0.10143,0.013511,2.67741,224.89,-1.2001199999999999,0.48565,23.009999999999998,1124.15,-1.3111,0.986425
0.9451,0.6240600000000001,0.741975,442.76,1.42205,0.1987,1.17215,-0.10849999999999999,1.2681499999999999,0.2771,0.12419000000000001,0.019739,2.36333,169.67,-1.32396,0.73285,14.958,1314.95,-1.0635,0.960105
0.6513,0.7533000000000001,0.260725,254.44,1.43025,-0.27749999999999997,1.13375,0.4817,1.18325,-0.029700000000000004,0.15825,0.014981000000000001,2.5999299999999996,209.05,-1.22828,0.37805,14.6772,3944.7500000000005,-1.1275,0.9405849999999999
0.40290000000000004,0.8145,0.7711250000000001,424.12,1.43645,-0.1911,1.32225,0.23150000000000004,1.02735,0.2653,0.16537000000000002,0.019975,2.20863,157.55,-1.30772,0.32465,18.7332,3204.95,-1.3135,0.968105
0.9181,0.6226200000000001,0.290535,381.15999999999997,1.08455,0.20230000000000004,1.10915,-0.3609,1.49445,0.25270000000000004,0.18783000000000002,0.011185,1.9985499999999998,236.51,-1.127,0.6979500000000001,14.5068,3258.95,-1.7381,0.9710449999999999
0.3839,0.53874,0.511415,491.64000000000004,1.2923499999999999,0.2197,1.12065,-0.0817,1.00755,-0.2389,0.15213000000000002,0.019987,2.27233,223.51,-1.11212,0.35095,14.5644,2173.55,-1.4839,0.943255
0.45030000000000003,0.8647800000000001,0.30923500000000004,102.04,1.49565,-9.999999999998899e-5,1.10395,-0.4463,1.40835,0.46630000000000005,0.14779,0.011527,1.84125,230.51,-1.2882,0.5702499999999999,19.6908,954.05,-1.2694999999999999,0.965635
0.0597,0.4227,0.788945,334.20000000000005,1.24215,-0.4659,1.23225,-0.2121,1.19335,-0.12390000000000001,0.18441000000000002,0.013761,1.72737,212.77,-1.14524,0.67875,15.939599999999999,4871.75,-1.5405,0.9525849999999999
0.9295,0.61494,0.378865,260.03999999999996,1.32855,-0.2907,1.02925,-0.2561,1.36995,-0.4901,0.10995,0.017793,1.9637099999999998,206.25,-1.22404,0.46214999999999995,13.1772,3450.65,-1.5171000000000001,0.9453149999999999
0.9689,0.3537,0.596775,397.8,1.28855,-0.19790000000000002,1.39435,0.16670000000000007,1.19595,-0.08989999999999998,0.13913,0.017939,2.33577,179.45,-1.32708,0.72985,12.5028,2821.55,-1.5651,0.9497049999999999
0.6607000000000001,0.43974,0.256765,282.84000000000003,1.1976499999999999,0.31190000000000007,1.02505,-0.3393,1.37135,0.20810000000000006,0.17111,0.010007,2.3750299999999998,225.41,-1.3397999999999999,0.43784999999999996,17.5812,3006.05,-1.1599,0.9702649999999999
0.5273,0.79566,0.7957650000000001,339.8,1.03735,0.0695,1.35975,-0.09709999999999996,1.22795,0.48150000000000004,0.18365,0.014191,2.20291,215.43,-1.28724,0.33155,23.9772,1073.75,-1.6287,0.978345
0.8583000000000001,0.7660200000000001,0.631975,390.28000000000003,1.25035,-0.2707,1.40705,-0.45289999999999997,1.33115,-0.3627,0.12845,0.014145000000000001,2.02377,220.11,-1.35204,0.39825,21.178800000000003,4589.15,-1.4264999999999999,0.961025
