scen,nse10,rmse10,nse40,rmse40,nse60,rmse60,nse80,rmse80
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-2.6532830950902526,0.1741311861678117,-3.6314819116396873,0.1734647086711295,-2.626355999299416,0.1591278081700378,-3.3665475804967855,0.185953660253415
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-8.878642121963594,0.28634098920027884,-8.079846306000272,0.24287923907385683,-6.322232587686109,0.2261166916207842,-5.293599657345868,0.22324677283862077
5,-1.132225781273164,0.13303058162983036,-2.390897408011516,0.14842548274562523,-1.2953680950740942,0.12660096993054015,-1.527255863646313,0.14146865980815065
6,-2.6139496306826295,0.17319124828626054,-4.4920053789103465,0.18889332958883634,-3.187800831813753,0.1710030560927539,-2.629683698924677,0.16953915855923815
7,-2.9660177783706727,0.18143130447512734,-4.574860614089832,0.19031286692228994,-3.043858009269087,0.16803850595792993,-2.3397155018610913,0.16262614566364328
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.28034998938133204,0.07728506256726246,-0.09101154869129413,0.08419102923913811,0.48868401754645785,0.059752426524097395,0.5454931353213031,0.05999372891344263
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.6024700905860556,0.05744071003364529,0.5648172780513194,0.05317248618258324,0.6120036486317992,0.05205047335114156,0.525258190717966,0.06131466688914964
12,-8.878642121963594,0.28634098920027884,-7.684994205207493,0.23753954018334453,-5.988549984368048,0.22090441737001734,-5.025350694383349,0.2184372988561975
13,-1.7296076312049755,0.15051681039762768,-2.6221942778835095,0.15340411694089787,-1.3298756541373185,0.12754905174017622,-0.8602886395461911,0.12137403774222319
14,0.10214577682109349,0.08632524302494125,-0.31624739824176684,0.09247405625621938,0.22197623349620477,0.07370675550424402,0.06907564364706786,0.08586038458873778
15,-0.2202284029733843,0.10063648504468935,-2.026198752545433,0.1402167410436029,-0.9946139854321041,0.1180158374376333,-0.7038470656587552,0.11615848476088349
16,0.21833188604534592,0.08054639230189115,-0.12263524737243481,0.08540247988760805,0.35971135695954404,0.06686498660218099,0.35176079609764366,0.07164786921464719
17,0.1004161837005052,0.08640834989611197,-0.14615236385635155,0.0862923551405693,0.5271746645134192,0.0574594192571054,0.4860417948843654,0.0637968939227465
18,0.18588978051245864,0.08220088588907004,-0.3973677734391816,0.09528104387915318,0.10902698977743785,0.07887568369962078,0.2657485668411921,0.07625319307232929
19,-8.83913835149835,0.28576789020056764,-4.191718145068711,0.18365666695886826,-3.025061285621206,0.1676475114745389,-2.5637044432702782,0.16799117670067662
20,-8.878642121963594,0.28634098920027884,-7.027438839224056,0.22837031326497728,-5.423849048395045,0.2117914999397631,-4.526353854480991,0.20919677139063594
21,-8.878642121963594,0.28634098920027884,-4.319570354409002,0.18590429498225944,-3.1449845405578367,0.1701266381783943,-2.6112314794809808,0.16910766643982214
22,0.2877573530679035,0.07688628585650034,0.4820735868549707,0.05800763705110147,0.33327111444368507,0.0682315909945583,0.1655449496776472,0.08128999682663143
23,-1.5012349596966894,0.14408280007104227,-0.9157283375462018,0.11156246630950338,-1.471208193020181,0.1313607230118237,-2.0389891515938245,0.1551315771389356
24,-0.733015380243256,0.11993228366809741,-1.546541961139725,0.12862534816197307,-0.6314554081747921,0.10673293855679303,-0.3745315450743145,0.1043309083319094
25,-8.346988862408617,0.2785292164265416,-2.3770947656603045,0.14812309186911737,-1.5277721830036404,0.1328555885714485,-1.5969620040577213,0.14340636599088014
26,-1.546920403770915,0.14539269312068545,-3.0366808163001595,0.1619434362718707,-1.688639430877946,0.13701784867886116,-1.2200766469425606,0.13259270086331515
27,-5.348402026427044,0.2295446132501301,-6.948201442719964,0.22724041707661424,-5.258768880039051,0.209052477998504,-4.646454228157374,0.2114577169086589
28,-0.11559219167356183,0.09622493529096965,-1.0567645423072212,0.11559616687266742,0.00594417972619854,0.08331366675365336,0.29716170430577216,0.07460421093735477
29,0.5033311113023653,0.06420492945343025,0.017591802766632636,0.07989086689921134,0.4717521854076584,0.060733696810547286,0.6079889759218076,0.055716621359042935
30,-0.2797189556126334,0.10306048840004797,-1.7697704926977331,0.13414455128158095,-0.9340390477257068,0.11620999476776142,-0.9270694579564283,0.12353337792879206
31,0.15307409441023212,0.08384122272779926,0.32506138197146084,0.06621910153277381,0.3017416124744383,0.06982628604084888,-0.036321660530258315,0.0905905550646704
32,0.23208330061241378,0.07983474653295146,-0.07361920837077007,0.08351726840133768,0.36093761768410826,0.06680092705381324,0.4479436754265881,0.0661191600310882
33,0.5413195740907187,0.06170068681046208,0.3634306771418282,0.06430933189005322,0.6210860569337673,0.05143765435774171,0.6234185197965215,0.0546091116765786
34,-0.41068323074762847,0.1082055773600482,-0.3836132449334577,0.09481095046110143,0.08260766499317396,0.08003656035671992,-0.09940159116680847,0.09330691131433475
35,0.25796489983096915,0.07847785412005395,-1.051673177700911,0.11545300344901298,-0.4411435824709822,0.1003146791981783,-0.5317599674314324,0.11013642883051208
36,-8.878642121963594,0.28634098920027884,-4.247284881740262,0.18463688584472168,-3.0929407259074253,0.16905522192811678,-2.548424404457929,0.16763064327509
37,-0.18714721104887633,0.09926295118728971,-0.7398361328355219,0.10631763760520878,0.09923291469150552,0.0793080217002576,0.22534476392506986,0.07832309907590837
38,0.21735447699881782,0.08059673475298934,0.15402578973187653,0.07413609504240812,0.6063900026667923,0.05242566196110242,0.4910230848576552,0.06348698098883203
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.955647839929352,0.12740316618720862,-0.48317581267482934,0.09816291854088847,-0.9358179112941292,0.11626342549196528,-2.0024932957492836,0.15419725979763715
41,-0.015870759030995885,0.09182355963664286,0.18234803881464667,0.07288453482866702,0.5362624966996028,0.05690454725152242,0.2806352476937378,0.07547623187183357
42,-2.202019979903014,0.1630222615024114,-3.052904990674805,0.16226855038901042,-1.7625065409591727,0.1388872951581536,-1.260376815733025,0.13379073972802588
43,-1.3210056663528884,0.138794735994753,-0.8142778652552272,0.10856830210881135,-0.27057246625362286,0.09419125478518799,-0.26149460599356433,0.0999489720348197
44,-0.5939868329004714,0.11502103191839391,-1.5639673314955411,0.1290646739577727,-0.46546080130828615,0.10115747158834228,-0.2309385047556498,0.09873106264482348
45,-1.0361559675959238,0.1299991209175931,-0.7727709699954932,0.10731920840091874,0.0066511853591453285,0.08328403375533154,0.14107388095293316,0.08247333138085215
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.055245136960513475,0.08855120243165432,-1.425297687108579,0.12552599462074834,-0.6979918723537744,0.10888766030674091,-0.5796902596059472,0.11184629518113365
48,0.03377853457085833,0.08955157645549179,-1.6796792749671594,0.1319448833862296,-0.9413520452240629,0.11642949435834835,-0.9395025805024579,0.12393124533038449
49,-0.9337953041180524,0.12668936093766023,-0.3841989725863717,0.09483101658856385,-0.7954139943933285,0.11196780528663414,-1.1394042345187927,0.1301613542140977
50,-0.933143161911244,0.12666799713406854,-2.731594363540198,0.15570349431171754,-1.709225911101003,0.13754141021183874,-1.3693365578158128,0.1369774290453962
51,-1.3147068265285746,0.13860627463716851,-1.0932833729467615,0.11661788396319435,-1.7085605458639108,0.1375245196136435,-2.5448031504432462,0.16754508585257535
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-1.3578384487134305,0.13989169020681613,-0.40636190555427554,0.09558718939239814,-0.4568718424037279,0.10086059767740552,-0.6661882313154235,0.11486763094593115
54,0.2594021550145893,0.07840181501294578,-0.1495753351656608,0.08642111465779749,0.47857187076082197,0.06034038691638568,0.4659937785454299,0.0650292568995437
55,-8.878642121963594,0.28634098920027884,-8.01106717399281,0.24195759470444414,-6.266333789881829,0.22525193713871342,-5.248422529004598,0.2224440674492629
56,-0.40806362129623186,0.10810506292050939,-0.15833240609150456,0.08674965338775817,-0.5383897553096055,0.10364397290952092,-0.8069961597477389,0.11962287821995202
57,-1.1670134076474796,0.13411139932038474,-2.7403495026961533,0.15588604457960872,-1.68448878772723,0.13691204574959487,-1.4346145000464898,0.1388515509124054
58,0.10240021297032365,0.08631301062788735,-0.03209304307880001,0.08188617218969496,0.5371308028717752,0.05685124800342791,0.42418157398493694,0.0675271486467115
59,-0.8768599298311599,0.12481041463981325,-2.2126038741532796,0.14447068577967223,-1.0188999505983238,0.11873213064475467,-0.6483246368533786,0.11425021021430208
60,-1.9652591101051913,0.15687950820489752,-3.5981785190763125,0.17283992097421252,-2.3181890116581574,0.15221639177902277,-1.74990801200945,0.14756885788388785
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-3.509282093607011,0.19345884796592225,-1.81785540481735,0.13530395672058407,-2.3793041743505476,0.1536117741028054,-2.3991352250570825,0.16406647750591832
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-0.38081857737931424,0.10705407553057686,-0.038258811228623735,0.08213040372455672,0.07973225830586683,0.08016189256331488,-0.4484408875347363,0.10709914920253405
66,-8.506962483321152,0.2809026167065333,-6.565576002933284,0.22170329319281926,-4.939603127497774,0.20365242048199203,-4.598166980334002,0.21055160534231568
67,0.5737186914302818,0.059481654482439424,0.0769209214330665,0.07744093696102275,0.5016608992590997,0.05898931385967032,0.6187426514875309,0.05494709599169241
68,-0.09067804157316028,0.09514438858507443,-0.4152554537309283,0.09588895009980197,0.34643843619914916,0.0675544735984016,0.36924751412390255,0.07067488626603577
69,-8.878642121963594,0.28634098920027884,-4.722465513532613,0.19281585254531894,-3.488596212045774,0.17703785209202472,-2.881641721816304,0.17532480174723755
70,-8.105093029308136,0.27490148666717523,-5.286117222900788,0.2020888640267323,-3.907174677725064,0.18510861072221482,-3.588125465172011,0.19061333310831946
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
