scen,swc_nse10,swc_rmse10,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8064402681824159,0.014975815395454293,0.6933911519932795,0.020054170209679142,0.6832432004325986,0.5517150689626724,6.26360162879493,2.652374437844075,1.610707733354625,1.8945654410286707,0.7338006608086364,-2.1483319934431453,3.8709689642789726,306.40886230147566
3,0.8162084628586976,0.01459303846122235,0.6198859619409077,0.022329001836994405,0.6030586548439085,0.5820359828992183,6.12843565894329,2.7394009097128547,1.9568101009376864,1.926164122944465,0.7620571005220084,-3.724189110821638,4.488578447353435,348.68650942271853
4,0.665393653678364,0.019690196896032897,0.6069738305092874,0.022705082763998245,0.6852005565298543,0.5936856818464078,5.971743487209677,2.7162092102275883,1.781630321551825,1.9294987316671723,0.7526191443476413,-2.1285249531188812,3.8625173465554807,308.9080447718051
5,0.8720268511910921,0.012177058714403595,0.7010010745666542,0.019803737849188572,0.6668530479839,0.5077864962231269,6.083290913860902,2.7921716216518133,4.8502391919350565,2.116238249401961,0.7363926071303513,-1.375295876031565,3.3882748117422765,287.10817896685097
6,0.8242106339365354,0.014271817122978635,0.6644064699776644,0.020980659940577632,0.7068914998736127,0.5344655863252971,6.332500236652836,2.6377573813535387,1.5745260371791385,1.8560478615378584,0.7463663336564641,-2.2827713703079486,3.9872123152109378,312.7923397029418
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8817914705927745,0.011703274171290993,0.4144722564183415,0.02771316285257953,0.6924527305624345,0.49047493371984685,6.294270730996456,2.8538263017399386,2.4671446366898433,2.119357063761598,0.7473447378164305,-2.015774454935417,3.7668459347411347,309.24268485917906
9,0.8431077283772931,0.013482913480208554,0.6028896098270454,0.02282275037316801,0.6129479463132665,0.5390350380063833,6.071660801476741,2.4643299758195494,1.6854921683301287,1.9700538539006733,0.7636077800596593,-3.900934585563075,4.746833151905259,344.78182044448937
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.8649710477826782,0.012508246201504564,0.5323271758705992,0.02476757131493294,0.6484071709419659,0.5551432412112912,6.138831305277048,2.54413732147777,1.70473330494618,2.058694019922527,0.7706813605844116,-5.400229479349926,5.007408879680211,381.7509523159477
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.8757546819984271,0.011998390380841094,0.6349754840131145,0.02188131266523617,0.6751140525933951,0.5799063587198154,6.127594285307298,2.7314933868026183,1.6932377210737481,1.9129801193766764,0.7527226919265978,-2.9379657356368343,4.176227700772669,329.16571986826676
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.8252787255705488,0.014228393466678119,0.730763720007033,0.018792265762236245,0.6977861451094403,0.5607868001654419,6.173375261662869,2.7332464676593857,2.127848946009147,1.8224805196442382,0.7451951321919682,-2.2041546500141846,3.8392663059971643,312.91043844841664
18,0.8983052536932882,0.01085506006012558,0.5394512139112091,0.02457820577642793,0.7028524772732836,0.5850562070811529,6.300100498868555,2.6339210111292743,1.6076982019133264,1.9239656476197173,0.7460545747097913,-2.779796943605095,4.11671962372915,324.96551434416654
19,0.8121778608265375,0.014752185453763288,0.5371352238576295,0.02463992724688295,0.7070839411712769,0.5644168840146463,6.267954345365604,2.6124698872786243,1.640280258456753,1.9243760971270172,0.7528705052301194,-2.740910177012831,4.117729397807033,323.4651029618069
20,0.8449170996871357,0.01340494169394506,0.631220626620985,0.021993566767564903,0.6906816631771042,0.5824554694037403,6.336120593673204,2.7149458724006745,5.29373387598239,2.4583082253831816,0.7624075581124466,-3.6379804621690344,4.589479402117243,345.77106326332427
21,0.823739466852351,0.014290930652967462,0.536045052235967,0.024668927024741837,0.7212568410637872,0.5810625415436368,6.174914302480779,2.7882650556771833,1.8077182043051843,1.9319144022934727,0.7390055790050971,-2.560828657518709,3.9388636794002188,323.1566966169595
22,0.8160633894957686,0.014598796733867126,0.5076369600457238,0.02541294972061794,0.5827108905924616,0.4863631117258641,5.975911947263255,2.5521827037865346,1.7010259784048771,2.0803410818363286,0.751876887201815,-4.205592058217753,4.7975964172545105,345.62782934348377
23,0.7992555831656545,0.015251224352191433,0.5473911775327635,0.02436541779086577,0.6523030582284927,0.5823631721631878,5.821933389237542,2.6916527394299097,1.7260255514917373,1.9774535467594505,0.765572852688573,-4.198588273432632,4.7252051466049165,356.73640773584094
24,0.83870086031876,0.01367095952772387,0.6922556560037223,0.020091270224895978,0.7025118159570408,0.5189815245316055,6.306528900860557,2.576232663386611,1.6532671300261235,1.7923520363459866,0.7289726474576355,-1.5154444185394067,3.420971214401069,290.55783314230854
25,0.8347746017098511,0.013836344792793607,0.6274896094131868,0.02210454351262001,0.6957178094141028,0.531887971338677,6.211377022200482,2.5169141606162504,1.6772860930728215,1.8530677344904614,0.7373844840138184,-2.085304482352359,3.8899597925823866,300.4503057755142
26,0.8581477368763909,0.0128203861571733,0.673428782407108,0.020696709680765393,0.6743393560343096,0.5723647711136945,6.134801896071359,2.765250053524509,5.200132635396844,2.1823428309899855,0.7569810842554413,-3.3315620041959573,4.435384371420287,337.6595611154515
27,0.8198507805239355,0.01444771494909924,0.5918997056856641,0.023136401325354244,0.5615319811382598,0.5342947351811876,6.081233379616969,2.5648439406547934,1.8313156931999368,2.006839338428959,0.7615196072367267,-4.619417643035397,4.996369395039611,357.40745599100916
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8735706431530194,0.012103387461386153,0.6500531334061195,0.02142463390382056,0.6825081949635075,0.523720629916064,5.950964725890198,2.6609666884320218,1.761501789778371,1.8136537487718531,0.748132632850672,-2.210744796670181,3.966096757560698,308.51484842724915
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.8814561325973799,0.011719862539044975,0.5576560010946909,0.024087538669350393,0.628068020110299,0.5236828208730466,6.3182545937068175,2.511873268551132,1.7804615581080576,2.0975125898483697,0.7642315132079219,-6.08471579088998,5.383449102024381,385.79790204500836
32,0.8802925729252193,0.01177723986380164,0.5829846603249387,0.023387746090288805,0.6804186591069679,0.5104364245797552,6.217457243860958,2.5926068151821484,1.6439122199794234,1.956751195855804,0.7577013577525066,-3.088305079593278,4.303418964108047,330.8185792429889
33,0.6379516957649188,0.020481710860374702,0.7055396204292881,0.01965286128388145,0.7251862804418102,0.5443380128943873,6.225856575931759,2.6394428850804794,1.861402365929435,1.83619865294846,0.7436032028806627,-1.8825076989876561,3.6898082284792295,300.604300466878
34,0.7615377450536006,0.016622364265937592,0.5436403916028789,0.024466168047173567,0.5807406622055913,0.5979629101660737,5.899492238150183,2.66016548676935,1.7747868744708986,2.0258096480620282,0.7661694480116119,-4.097056968014146,4.681050336076612,352.8361380513447
35,0.6658941355877939,0.01967546574229747,0.6863309238447455,0.020283748048759032,0.660242208021318,0.5760258265511076,6.095965728309966,2.796555769998622,2.6076710807050762,2.0030351227659318,0.7580756548675919,-3.52270884826748,4.396509787563772,342.65221699062903
36,0.8697307933469076,0.012285811741362625,0.6423833912224861,0.021658141922214533,0.7125190228952583,0.44965015460768853,6.165615840557983,2.6695287699103196,1.8328200324999975,1.9710411673558212,0.7422538715883374,-1.0721145322146524,3.3709788473935287,271.9767440061629
37,0.7461888356112238,0.017148981539315423,0.6822605005609469,0.02041493297913733,0.7075468936485672,0.570366166371503,6.093734119774072,2.6747784654424698,2.5814959022565307,1.9713336699963737,0.7432365664284997,-1.8751267399410705,3.649389413651899,302.7298166953214
38,0.7751503849337198,0.016140948294089512,0.6260913790584786,0.022145989732584026,0.5929404425396233,0.5642786587169412,5.95223960201468,2.476369532757934,118.1295967140927,26.79646184923569,0.7629833015924448,-4.3326509931095005,4.882508212999161,353.5121983019536
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.8412678338641411,0.013561740921979617,0.6391759972424544,0.02175504895855153,0.6508496696355416,0.5831047594381473,6.203050299503051,2.6113489683086657,1.768774055588637,1.9330511067328688,0.7634004816502266,-3.72732922542503,4.484084918551429,348.92558158878546
41,0.8675455743135654,0.012388428226429759,0.6015286502258141,0.02286182549550971,0.6696034320629001,0.54301174505266,6.210248554939892,2.639040127148134,1.7990537594045224,1.930551256210403,0.757573986483973,-3.3090763462337875,4.27853718020663,338.5439587735971
42,0.8528623635184858,0.013057043767137014,0.5967277013695079,0.022999137535487702,0.6759212113785381,0.565493445652602,6.091717142085577,2.6905055029804448,1.9005970625450477,1.885544201204234,0.7609347957995766,-2.7392710482370504,4.233190305285531,324.9766827218334
43,0.8495491480849507,0.013203233312589695,0.44176000161185125,0.027059690839122318,0.6609122855382301,0.4485370682375107,6.206273314498157,2.679335593360992,1.6199855265060947,1.8911168639338334,0.7106712932519588,-1.1520575260716122,3.1975292272654117,277.02704779351336
44,0.8298721708145121,0.014040114589424052,0.5864046289648683,0.023291646477517646,0.6752598720710561,0.5759073711358329,6.345494338515781,2.5931619397019827,1.6763860846081071,1.8884499669292862,0.7550614677818981,-3.0415030390879503,4.339656433583589,330.9572080028442
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.8163441525507855,0.014587650589362023,0.5578587765489974,0.024082017037431826,0.6618443560751865,0.52304640293596,6.123198654835153,2.524628657359071,1.8915503059044534,1.970763273653127,0.7616222662033311,-3.9473975169254905,4.587162728328004,351.0019454588451
47,0.7679732145384597,0.016396533237980283,0.5947728573684552,0.023054813778063746,0.6525188867032061,0.5584655358792534,6.028238939166017,2.5967871395102984,1.7177670370162403,2.0339773887876254,0.7685105950914617,-4.499795209014341,4.840136818642907,360.3132081528696
