scen,swc_nse10,swc_rmse10,swc_nse40,swc_rmse40,swc_nse60,swc_rmse60,swc_nse80,swc_rmse80,swp_nse10,swp_nse80,iso_rmse5,iso_rmse20,iso_rmse40,iso_rmse_xy,trans_cor,trans_nse,max_trans,ann_trans
1,-7.3006009285024795,0.08532032312121694,-6.398594186320386,0.05584511728467152,-3.7983196570136,0.05689560240866466,-3.5701940930948535,0.04790344824813536,-1.1757512721427767e60,-5.100433138682874,NaN,NaN,NaN,109641.20484504041,0.7164227835759411,-21.00703639166778,10.735130247473414,917.0636940983253
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-90.565249572596,0.28337600015820985,-3.8874746697807288,0.045389235064937625,-4.6448632494560265,0.061710749968028146,-5.958433337729274,0.05910921471853767,-1067.0692683997077,-0.6595003981995586,NaN,NaN,NaN,221.33095476860666,0.7562471250587647,-6.39319330143755,7.105626987944895,609.0150444108343
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-30.744859503574386,0.16685315722892885,-0.6299478815932544,0.026211837256418676,-0.45978998361638035,0.031381904861736955,-0.8241041918384144,0.030263856905276127,-1.3209161463753176,-0.6425196938278483,3.955452554635059,3.2304432346003096,2.8046547237684525,3.66740532741842,0.7620486493727223,-11.147040020349108,7.879397958663244,724.7554554703603
9,-28.994840427389057,0.16218885286993864,-185.93320492590044,0.28070737947615576,-136.66509436401824,0.3047516250702942,-186.1021917211856,0.306505937283886,-0.5576701015512913,-0.7425078391289472,3.8314083036053854,3.116066754715445,2.8225002719265313,3.566069611474359,0.7373544175871748,0.4521697417818351,2.640107145999206,197.84548087701805
10,-0.39291215550746794,0.03495099857769593,-28.934201621486928,0.11232965982686474,-25.15032769265088,0.13282281474904978,-33.12817031662371,0.1309049161647138,-7.24173267364066e7,-0.4367405045494879,NaN,NaN,NaN,2.4921226864986252,0.7869551120664086,-10.848921941438297,8.190050505095513,778.6792054332565
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
