"series_id","data_format","extracted_from","extracted_until","timezone","measure_point","series_start","series_stop","series_cutout","series_past_sensor_ids","series_past_sensor_names","series_active","series_display","variable_id","variable_name","variable_resolution","variable_units","sensor_id","current_sensor","sensor_class","tree_id","tree_name","tree_xcor","tree_ycor","tree_altitude","tree_genus","tree_species","tree_genus_species","tree_dbh","tree_height","tree_status","tree_age","tree_phloem_thickness_mm","tree_totalbark_thickness_mm","tree_sapwood_thickness_cm","tree_sapwood_area","position_id","series_height","series_exposition","series_distance_to_tree","series_dsri_max","series_dsri_min","series_twd_max_gp","series_twd_med_gp","series_twd_min_gp","series_twd_max_nogp","series_twd_med_nogp","series_twd_min_nogp","series_twd_max_frost","series_twd_med_frost","series_twd_min_frost","series_gro_start_doy_med","series_gro_end_doy_med","series_gro_max_yr","series_gro_med_yr","series_gro_min_yr","series_gro_max_month","series_gro_med_month","series_gro_min_month","series_gro_max_week","series_gro_med_week","series_gro_min_week","series_gro_max_day","series_gro_med_day","series_gro_min_day","series_gro_max_hr","series_gro_med_hr","series_gro_min_hr","series_timing_gro_year_max","series_timing_gro_year_min","series_timing_gro_month_max","series_timing_gro_week_max","series_timing_gro_doy_max","series_timing_gro_hour_max","series_timing_gro_hour_min","series_grohours_med","series_grohours_gp_med","series_grohours_percent_med","series_mds_gp_med","series_mds_gp_max","series_twd_gp_morning","series_proc_tol","series_proc_tol_out","series_proc_tol_jump","series_proc_frost_thr","site_id","site_name","site_subplot","site_exposition","site_xcor","site_ycor","site_altitude","site_forest_type","site_soil_type","site_affiliation","site_area","region","country","site_annual_temp","site_growth_temp","site_annual_precip","site_growth_precip","site_annual_rad","site_growth_rad","site_annual_relh","site_growth_relh","site_annual_vpd","site_growth_vpd","site_n_depo","site_ozon","site_nfk","site_temp_ref"
1366,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1366_tree-stem-radius-change_1.5_6197.dendrometer-position_fexcelsior",2011-04-06,NA,NA,"1728","Visp-0.dendrometer.ch6","yes","yes",3,"tree stem radius change",10,"µm",745,"6197.dendrometer-position","Dendrometer",637,"Baum 398",7.857439,46.29677,712.519,"Fraxinus","excelsior","Fraxinus excelsior",23.9,8,"1",NA,NA,12,NA,NA,976,1.5,"East",0,64,-61,1660.09,130.64,0,2070.78,306.81,0,2006.41,343.16,0,117,181,832.94,561.14,155.15,444.69,117.05,1.22,216.53,43.88,0.17,157.37,14.71,0.05,28.62,2.28,0,2019,2021,5,18,119,5,16,128.5,2160,5.99,48,127.2,56.4,100,15,100,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
1368,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1368_tree-stem-radius-change_1.5_6193.dendrometer-position_fexcelsior",2015-03-19,NA,NA,"1723","Visp-0.dendrometer.ch1","yes","yes",3,"tree stem radius change",10,"µm",741,"6193.dendrometer-position","Dendrometer",640,"Baum 530",7.857054,46.29677,710.544,"Fraxinus","excelsior","Fraxinus excelsior",14.4,9,"1",NA,NA,11,NA,NA,979,1.5,"East",0,81,-62,1097.85,67.41,0,1500.2,323.91,0,1402.58,423.85,0,109,163,905.47,668.48,340.2,547.19,182.97,1.82,196.25,53.21,0.7,110.82,14.04,0.03,31.29,2.07,0,2016,2025,5,17,119,5,14,168.8,1356,11.08,92,200.6,21.5,100,15,60,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
1369,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1369_tree-stem-radius-change_1.5_6194.dendrometer-position_qpubescens",2015-03-19,NA,NA,"1724","Visp-0.dendrometer.ch2","yes","yes",3,"tree stem radius change",10,"µm",742,"6194.dendrometer-position","Dendrometer",641,"Baum X1",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",24,6,"1",NA,NA,26,NA,NA,980,1.5,"East",0,39,-13,528.47,107.97,0,789.18,140.85,0,666.5,114.44,0,113,182,1548.46,554.82,267.69,691.52,67.75,2.98,281.96,27.99,0.02,175.5,10.63,0.02,58.72,1.26,0,2016,2020,6,24,161,21,11,244.7,2496,12.43,50.8,126.6,102.6,100,15,60,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
1370,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1370_tree-stem-radius-change_1.5_6198.dendrometer-position_qpubescens",2011-04-06,NA,NA,"1727","Visp-0.dendrometer.ch5","yes","yes",3,"tree stem radius change",10,"µm",746,"6198.dendrometer-position","Dendrometer",642,"Flaumeiche 445",7.857102,46.29672,714.199,"Quercus","pubescens","Quercus pubescens",30.6,8,"1",NA,NA,27,NA,NA,981,1.5,"East",0,66,-59,693.97,66.53,0,855.79,115.1,0,784.55,100.71,0,110,221,2726.33,1339.57,783.22,1165,180.97,0.61,358.22,63.74,0,206.68,17.7,0,74.45,2.44,0,2021,2012,6,23,174,5,14,324.3,2796,10.21,64.1,201.2,108.4,100,15,60,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
1371,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1371_tree-stem-radius-change_1.5_6196.dendrometer-position_psylvestris",2020-03-28,NA,NA,NA,NA,"yes","yes",3,"tree stem radius change",10,"µm",744,"6196.dendrometer-position","Dendrometer",1115,"F√∂hre 435",7.857372,46.29667,718.58,"Pinus","sylvestris","Pinus sylvestris",20,7,"1",NA,NA,25,NA,NA,983,1.5,"East",0,NA,NA,33.35,3.09,0,532.6,2.78,0,430.79,2.38,0,118,276,1984.64,1508.02,1219.07,1051.58,75.55,0.74,360.79,18.32,0.05,160.04,2.43,0,28.15,0.37,0,2023,2025,5,18,122,6,15,480.8,3792,10.33,12.4,126.5,201.8,100,15,60,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
1373,"LM",2025-01-01,2025-01-31,"Etc/GMT-1","visp-forest_1373_tree-stem-radius-change_1.5_6195.dendrometer-position_psylvestris",2020-03-28,NA,NA,NA,NA,"yes","yes",3,"tree stem radius change",10,"µm",743,"6195.dendrometer-position","Dendrometer",1117,"F√∂hre 495",7.857203,46.29675,711.271,"Pinus","sylvestris","Pinus sylvestris",21,9,"1",NA,NA,15,NA,NA,985,1.5,"East",0,NA,NA,479.65,56.2,0,555.85,136.55,0,555.85,105.14,0,109,220,5865.02,3870.69,373.4,2218.45,92.56,0.24,636.27,97.73,0.24,174.51,29.05,0.11,39.14,2.56,0,2021,2025,5,19,135,2,14,846.7,2688,33.16,76.8,174.6,17.2,100,15,60,2,119,"Visp-Forest","Forest","North",7.85667,46.29692,695,"Mixed","Pararendzina","WSL_LWF","Visp","Alps","Switzerland",8.127409728,14.38041977,1.910407668,1.98185445,145.3475313,257.5767514,69.92751646,64.25303511,0.393752948,0.624372395,NA,NA,NA,1376
