date,PLPSI_pd,PLPSI_md,PLFL,PLRF,RWU,PLSTOR,ks
2024-01-01,0.0,0.0,0.0,0.0,0.0,9.80717068,2.4
2024-01-02,-50.510585387734075,-54.3373718203579,0.007653572865247646,0.09180814922453184,0.0,9.891325256359284,2.4
2024-01-03,-54.3373718203579,-59.24315630562633,0.009811568970536859,0.0,0.0014432690876334633,9.881513687388747,2.4
2024-01-04,-59.24315630562633,-59.821202288119196,0.0011560919649857306,0.0,0.00037094960672665386,9.880357595423762,2.4
2024-01-05,-59.821202288119196,-61.16554605717224,0.0026886875381060917,0.0,0.0019309003770787187,9.877668907885656,2.4
2024-01-06,-61.16554605717224,-62.010563591811035,0.001690035069277591,0.0,4.466410861259653e-5,9.875978872816379,2.4
2024-01-07,-62.010563591811035,-62.891095720659465,0.0017610642576968642,0.0,0.000713159307715391,9.874217808558683,2.4
2024-01-08,-62.891095720659465,-70.57352055873608,0.015364849676153224,0.0,0.008026449299179141,9.85885295888253,2.4
2024-01-09,-70.57352055873608,-75.66245740005756,0.010177873682642969,0.0,0.0060257532058021115,9.848675085199886,2.4
2024-01-10,-75.66245740005756,-79.73311742873267,0.0081413200573502,0.0,0.010831021000335842,9.840533765142537,2.4
2024-01-11,-79.73311742873267,-83.02152541139255,0.006576815965319763,0.0,0.013711363421874784,9.833956949177217,2.4
2024-01-12,-83.02152541139255,-84.73411652281074,0.003425182222836375,0.0,0.004181041597536858,9.830531766954381,2.4
2024-01-13,-84.73411652281074,-86.01304626458918,0.0025578594835568695,0.0,0.0024206957670382385,9.827973907470824,2.4
2024-01-14,-86.01304626458918,-87.48178767907486,0.0029374828289713633,0.0,0.004468633419319328,9.825036424641853,2.4
2024-01-15,-87.48178767907486,-90.00297488453879,0.005042374410927866,0.0,0.017534152166740792,9.819994050230925,2.4
2024-01-16,-90.00297488453879,-90.75751695009858,0.0015090841311195848,0.0,0.0062976025671586874,9.818484966099804,2.4
2024-01-17,-87.45842525052609,-89.20021535082074,0.003483580200589309,0.0065981833991449685,0.015468738302367677,9.82159956929836,2.4
2024-01-18,-89.20021535082074,-90.03549212525351,0.0016705535488655303,0.0,0.0073268495847898865,9.819929015749494,2.4
2024-01-19,-54.144656573725776,-54.144656573725776,0.0,0.07178167110305547,0.0,9.89171068685255,2.4
2024-01-20,-54.144656573725776,-57.72015856012797,0.007151003972804393,0.0,0.0,9.884559682879745,2.4
2024-01-21,-57.72015856012797,-63.516069024163436,0.01159182092807093,0.0,0.0,9.872967861951674,2.4
2024-01-22,-63.516069024163436,-73.18931563811819,0.019346493227909503,0.0,0.007349280005926684,9.853621368723765,2.4
2024-01-23,-73.18931563811819,-75.89288196333858,0.005407132650440793,0.0,0.011350032804009796,9.848214236073325,2.4
2024-01-24,-75.89288196333858,-77.69212913335433,0.003598494340031497,0.0,0.017102415503265442,9.844615741733293,2.4
2024-01-25,-77.69212913335433,-82.13370890138769,0.008883159536066736,0.0,0.0494326510558208,9.835732582197226,2.4
2024-01-26,-81.02133375307598,-84.02686382853578,0.006011060150919597,0.0022247502966234165,0.03519668696285959,9.831946272342929,2.4
2024-01-27,-82.98294072166335,-84.09987404940141,0.0022338666554760924,0.0020878462137448595,0.012727930197415822,9.831800251901198,2.4
2024-01-28,-80.45371010468578,-81.66821276552653,0.0024290053216814928,0.00729232788943124,0.009597677006506985,9.836663574468947,2.4
2024-01-29,-81.66821276552653,-86.83289325925585,0.010329360987458638,0.0,0.03668700393260002,9.826334213481488,2.4
2024-01-30,-85.03783172633632,-90.70330382158679,0.011330944190500927,0.003590123065839075,0.06616932877821093,9.818593392356826,2.4
2024-01-31,-86.95827455941343,-92.05776312583282,0.010198977132838783,0.007490058524346727,0.05152741637759084,9.815884473748334,2.4
2024-02-01,-89.6559263542401,-93.8373951514474,0.008362937594414612,0.004803673543185455,0.04975788854247227,9.812325209697104,2.4
2024-02-02,-92.09570776785776,-94.7105817198553,0.005229747903995086,0.0034833747671792733,0.03258757043287207,9.810578836560289,2.4
2024-02-03,-94.18845445772173,-96.62369377509816,0.004870478634752851,0.0010442545242671365,0.034159946598187864,9.806752612449802,2.4
2024-02-04,-95.8263515531995,-98.64545409626886,0.005638205086138717,0.001594684443797323,0.040040029297928964,9.80270909180746,2.4
2024-02-05,-97.71893945915855,-100.85920586815625,0.00628053281799542,0.0018530292742206236,0.04958583521470885,9.798281588263684,2.4
2024-02-06,-99.95661402108796,-104.02472312083363,0.008136218199491332,0.001805183694136576,0.07137060549003114,9.79195055375833,2.4
2024-02-07,-100.03025414928037,-106.43221792234291,0.012803927546125093,0.007988937943106523,0.070098455701858,9.787135564155312,2.4
2024-02-08,-100.15372514269602,-104.04193880245036,0.007776427319508681,0.012556985559293795,0.03390876084092115,9.791916122395097,2.4
2024-02-09,-104.04193880245036,-108.85344600463073,0.009623014404360739,0.0,0.08521858164000201,9.782293107990737,2.4
2024-02-10,-102.70013633959007,-111.50755702257513,0.017614841365970097,0.012306619330081318,0.0758357415934072,9.776984885954848,2.4
2024-02-11,-101.60502547478634,-116.73382566487423,0.030257600380175775,0.019805063095577575,0.14110893359858917,9.76653234867025,2.4
2024-02-12,-97.6516396996442,-115.21818230359374,0.03513308520789907,0.038164371930460045,0.07474586563023167,9.76956363539281,2.4
2024-02-13,-104.33714885303264,-112.51093558299195,0.016347573459918597,0.021762066901122173,0.06802428500868496,9.774978128834013,2.4
2024-02-14,-110.03073345134467,-118.09620701816826,0.016130947133647176,0.004960404263294547,0.08667521172144982,9.763807585963661,2.4
2024-02-15,-106.3807575590674,-120.3195201860321,0.027877525253929385,0.023430898918201708,0.09379293700304468,9.759360959627934,2.4
2024-02-16,-106.70142084531182,-122.1377167379527,0.03087259178528178,0.027236198681440567,0.1226919794234187,9.755724566524092,2.4
2024-02-17,-107.9080678266789,-123.76911338260763,0.031722091111857455,0.028459297822547597,0.1171176940695582,9.752461773234781,2.4
2024-02-18,-109.32675462572844,-122.5127510117928,0.026371992772128733,0.028884717513758366,0.12025138705232008,9.754974497976411,2.4
2024-02-19,-114.04104810263156,-125.55230081000713,0.02302250541475113,0.01694340581832248,0.11706155143953895,9.748895398379982,2.4
2024-02-20,-113.66940418050493,-126.21691834339438,0.02509502832577891,0.02376579325900441,0.10292913067162338,9.747566163313207,2.4
2024-02-21,-84.84621936767397,-100.93142095107262,0.0321704031667973,0.08274139795144084,0.08431130896948119,9.798137158097852,2.4
2024-02-22,-100.93142095107262,-111.49792504148915,0.021133008180833055,0.0,0.12675063906197576,9.777004149917019,2.4
2024-02-23,-110.6908695831744,-111.8914430305303,0.0024011468947117798,0.001614110916629499,0.01418981107523331,9.776217113938936,2.4
2024-02-24,-12.04513274921699,-49.74886143269444,0.0754074573669549,0.19969262056262663,0.07293787217806548,9.900502277134606,2.4
2024-02-25,-49.74886143269444,-72.44804184946268,0.04539836083353649,0.0,0.11159531706289949,9.85510391630107,2.4
2024-02-26,-72.44804184946268,-85.4811814898993,0.026066279280873232,0.0,0.13172531427343423,9.829037637020198,2.4
2024-02-27,-84.87192779739006,-94.5077481087673,0.01927164062275449,0.0012185073850184945,0.14918415786904887,9.810984503782462,2.4
2024-02-28,-85.2931913129126,-92.77206806296411,0.014957753500103038,0.018429113591709415,0.0731905757527119,9.81445586387407,2.4
2024-02-29,-87.85558882447894,-94.49076084350634,0.013270344038054802,0.00983295847697033,0.10303347784045266,9.811018478312985,2.4
2024-03-01,-88.91545341137932,-101.14875231037516,0.02446659779799167,0.011150614864254036,0.22727520046007377,9.797702495379248,2.4
2024-03-02,-87.62839945635265,-89.86666322757331,0.0044765275424413125,0.027040705708045006,0.006482766279675192,9.82026667354485,2.4
2024-03-03,-75.41411867710725,-87.22800030744062,0.023627763260666724,0.028905089100932122,0.13704661346238664,9.825543999385117,2.4
2024-03-04,-81.79083214570167,-93.471049265035,0.023360434238666673,0.010874336323477918,0.15831318195944208,9.813057901469929,2.4
2024-03-05,-84.24943056425069,-91.63509593933682,0.014771330750172281,0.018443237401568637,0.0964644500033155,9.816729808121325,2.4
2024-03-06,-85.69415819893824,-92.88488801103601,0.01438145962419553,0.011881875480797164,0.09660729361852734,9.814230223977928,2.4
